team_id,team_url,team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2018-2019/Alaves-Stats,Alavés,26,42.7,38.0,18475,2174,6367,8264,4063,609,18472,489,276,56.4,213,43.6,8348,47885,24646,511,366,103,587,341,9540,1102,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
2b390eca,/en/squads/2b390eca/2018-2019/Athletic-Club-Stats,Athletic Club,27,50.0,38.0,21553,1935,6265,10194,5320,703,21546,542,288,53.1,254,46.9,10781,59362,31442,626,533,124,522,344,13087,1434,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
db3b9613,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats,Atlético Madrid,29,49.2,38.0,23123,1928,6339,10785,6196,765,23119,572,366,64.0,205,35.8,12778,67129,34534,677,581,169,497,412,14831,1369,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
206d90db,/en/squads/206d90db/2018-2019/Barcelona-Stats,Barcelona,30,64.4,38.0,30394,2182,7325,14901,8400,1045,30385,753,446,59.2,307,40.8,19443,96850,52422,851,840,266,456,435,23143,2095,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
fc536746,/en/squads/fc536746/2018-2019/Real-Betis-Stats,Betis,25,61.8,38.0,26762,2351,7748,12726,6515,826,26755,717,449,62.6,267,37.2,16024,89234,48124,887,705,218,569,392,19278,1622,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
f25da7fb,/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats,Celta Vigo,28,51.6,38.0,22889,2297,7252,10891,4967,670,22882,626,380,60.7,246,39.3,12743,68374,34962,673,588,141,499,371,14866,1278,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
bea5c710,/en/squads/bea5c710/2018-2019/Eibar-Stats,Eibar,25,54.0,38.0,22528,1611,4998,10759,6998,907,22520,592,344,58.1,248,41.9,11159,58787,28489,565,523,135,576,387,12814,1596,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
a8661628,/en/squads/a8661628/2018-2019/Espanyol-Stats,Espanyol,25,49.4,38.0,21903,2499,7590,9658,4910,689,21899,523,318,60.8,204,39.0,12023,66105,34689,642,500,139,565,374,13752,1482,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
7848bd64,/en/squads/7848bd64/2018-2019/Getafe-Stats,Getafe,26,40.7,38.0,17357,1810,5155,7727,4688,688,17351,576,299,51.9,277,48.1,7394,42933,20707,448,383,117,589,366,8009,1121,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
9024a00a,/en/squads/9024a00a/2018-2019/Girona-Stats,Girona,26,48.0,38.0,21363,2422,7551,9834,4221,633,21357,537,316,58.8,221,41.2,11343,59837,31729,634,487,102,502,370,13037,1303,12,2018-2019,f9e535b3-78ff-484b-a7cc-f83c9c69b942
