team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2016-2017/Alaves-Stats,Alavés,25,38.0,41,394,136,34.5,10.37,3.58,0.09,0.27,,4,4,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
2b390eca,/en/squads/2b390eca/2016-2017/Athletic-Club-Stats,Athletic Club,25,38.0,53,488,187,38.3,12.84,4.92,0.09,0.24,,8,8,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
db3b9613,/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats,Atlético Madrid,22,38.0,70,503,199,39.6,13.24,5.24,0.14,0.34,,2,7,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
206d90db,/en/squads/206d90db/2016-2017/Barcelona-Stats,Barcelona,25,38.0,113,649,268,41.3,17.08,7.05,0.16,0.39,,8,9,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
fc536746,/en/squads/fc536746/2016-2017/Real-Betis-Stats,Betis,27,38.0,41,440,153,34.8,11.58,4.03,0.09,0.25,,2,2,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
f25da7fb,/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats,Celta Vigo,27,38.0,52,404,148,36.6,10.63,3.89,0.11,0.30,,7,7,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
bea5c710,/en/squads/bea5c710/2016-2017/Eibar-Stats,Eibar,24,38.0,53,451,182,40.4,11.87,4.79,0.10,0.26,,6,8,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
a8661628,/en/squads/a8661628/2016-2017/Espanyol-Stats,Espanyol,27,38.0,48,345,131,38.0,9.08,3.45,0.13,0.35,,2,4,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
a0435291,/en/squads/a0435291/2016-2017/Granada-Stats,Granada,35,38.0,30,385,125,32.5,10.13,3.29,0.08,0.24,,0,1,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
2a60ed82,/en/squads/2a60ed82/2016-2017/Deportivo-La-Coruna-Stats,La Coruña,28,38.0,42,462,146,31.6,12.16,3.84,0.08,0.27,,3,7,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
0049d422,/en/squads/0049d422/2016-2017/Las-Palmas-Stats,Las Palmas,29,38.0,52,437,182,41.6,11.50,4.79,0.11,0.25,,6,6,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
7c6f2c78,/en/squads/7c6f2c78/2016-2017/Leganes-Stats,Leganés,31,38.0,36,411,135,32.8,10.82,3.55,0.08,0.24,,3,4,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
1c896955,/en/squads/1c896955/2016-2017/Malaga-Stats,Málaga,29,38.0,48,492,168,34.1,12.95,4.42,0.09,0.27,,3,5,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
03c57e2b,/en/squads/03c57e2b/2016-2017/Osasuna-Stats,Osasuna,35,38.0,37,395,147,37.2,10.39,3.87,0.08,0.22,,4,6,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
53a2f082,/en/squads/53a2f082/2016-2017/Real-Madrid-Stats,Real Madrid,24,38.0,106,662,265,40.0,17.42,6.97,0.15,0.38,,6,8,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
e31d1cd9,/en/squads/e31d1cd9/2016-2017/Real-Sociedad-Stats,Real Sociedad,27,38.0,56,493,167,33.9,12.97,4.39,0.10,0.29,,7,8,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
ad2be733,/en/squads/ad2be733/2016-2017/Sevilla-Stats,Sevilla,28,38.0,67,487,200,41.1,12.82,5.26,0.13,0.32,,3,5,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
bb9efd50,/en/squads/bb9efd50/2016-2017/Sporting-Gijon-Stats,Sporting Gijón,29,38.0,42,377,135,35.8,9.92,3.55,0.10,0.28,,4,7,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
dcc91a7b,/en/squads/dcc91a7b/2016-2017/Valencia-Stats,Valencia,31,38.0,53,454,176,38.8,11.95,4.63,0.11,0.28,,4,6,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
2a8183b3,/en/squads/2a8183b3/2016-2017/Villarreal-Stats,Villarreal,27,38.0,55,430,170,39.5,11.32,4.47,0.11,0.29,,6,8,12,2016-2017,4b07100c-0b03-454a-aa2b-80008b7bd270
