team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,competition_id,season_id,id
squads,/en/squads/8d6fd021/Alaves-Stats,Alavés,29,38.0,38,393,123,31.3,10.34,3.24,0.07,0.24,17.8,10,9,11,42.8,34.1,0.09,-4.8,-5.1,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
2b390eca,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats,Athletic Club,31,38.0,53,462,148,32.0,12.16,3.89,0.11,0.34,17.4,8,3,6,53.0,48.2,0.11,0.0,+1.8,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
db3b9613,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats,Atlético Madrid,24,38.0,68,463,174,37.6,12.18,4.58,0.13,0.36,17.0,13,6,7,64.6,59.3,0.13,+3.4,+2.7,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
206d90db,/en/squads/206d90db/2024-2025/Barcelona-Stats,Barcelona,28,38.0,99,670,240,35.8,17.63,6.32,0.14,0.38,17.1,27,7,8,91.5,85.2,0.13,+7.5,+6.8,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/fc536746/Real-Betis-Stats,Betis,36,38.0,55,518,176,34.0,13.63,4.63,0.09,0.27,18.1,14,7,10,54.7,46.9,0.09,+0.3,+1.1,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/f25da7fb/Celta-Vigo-Stats,Celta Vigo,30,38.0,58,442,167,37.8,11.63,4.39,0.11,0.30,17.9,19,8,9,54.2,47.3,0.11,+3.8,+2.7,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/a8661628/Espanyol-Stats,Espanyol,27,38.0,38,351,98,27.9,9.24,2.58,0.09,0.34,18.4,15,5,5,34.4,30.5,0.09,+3.6,+2.5,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/7848bd64/Getafe-Stats,Getafe,30,38.0,34,430,122,28.4,11.32,3.21,0.07,0.24,19.4,17,5,5,36.8,33.0,0.08,-2.8,-4.0,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/9024a00a/Girona-Stats,Girona,30,38.0,43,397,134,33.8,10.45,3.53,0.10,0.29,17.7,13,4,5,42.5,38.6,0.10,+0.5,+0.4,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/0049d422/Las-Palmas-Stats,Las Palmas,34,38.0,38,409,134,32.8,10.76,3.53,0.09,0.26,19.2,21,3,4,36.3,33.2,0.08,+1.7,+1.8,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/7c6f2c78/Leganes-Stats,Leganés,26,38.0,38,345,110,31.9,9.08,2.89,0.10,0.30,20.1,19,5,7,36.0,30.6,0.09,+2.0,+2.4,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/2aa12281/Mallorca-Stats,Mallorca,28,38.0,34,382,107,28.0,10.05,2.82,0.08,0.28,16.3,7,4,5,38.8,34.9,0.09,-4.8,-4.9,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/03c57e2b/Osasuna-Stats,Osasuna,25,38.0,46,409,123,30.1,10.76,3.24,0.09,0.30,16.7,9,9,9,44.0,37.8,0.09,+2.0,-0.8,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/98e8af82/Rayo-Vallecano-Stats,Rayo Vallecano,26,38.0,38,514,162,31.5,13.53,4.26,0.07,0.23,19.3,25,0,1,45.4,44.6,0.09,-7.4,-6.6,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
53a2f082,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats,Real Madrid,30,38.0,78,621,229,36.9,16.34,6.03,0.11,0.30,18.1,15,10,14,75.3,64.5,0.11,+2.7,+3.5,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/e31d1cd9/Real-Sociedad-Stats,Real Sociedad,31,38.0,34,385,122,31.7,10.13,3.21,0.08,0.25,17.5,10,4,4,42.5,39.3,0.10,-8.5,-9.3,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/ad2be733/Sevilla-Stats,Sevilla,35,38.0,39,472,148,31.4,12.42,3.89,0.08,0.25,18.8,14,2,3,42.7,40.3,0.09,-3.7,-3.3,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/dcc91a7b/Valencia-Stats,Valencia,32,38.0,43,382,116,30.4,10.05,3.05,0.10,0.33,17.2,6,5,5,43.2,39.3,0.11,-0.2,-1.3,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
squads,/en/squads/17859612/Valladolid-Stats,Valladolid,38,38.0,26,331,97,29.3,8.71,2.55,0.06,0.22,18.0,11,5,5,34.6,30.7,0.09,-8.6,-9.7,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
2a8183b3,/en/squads/2a8183b3/2024-2025/Villarreal-Stats,Villarreal,31,38.0,69,530,171,32.3,13.95,4.50,0.12,0.37,16.0,9,5,7,64.8,59.1,0.12,+4.2,+4.9,12,2024-2025,d7cec281-2cea-4ea2-b923-e61747539af0
