team_id,team_url,team,players_used_away,avg_age_away,possession_away,games_away,games_starts_away,minutes_away,minutes_90s_away,goals_away,assists_away,goals_assists_away,goals_pens_away,pens_made_away,pens_att_away,cards_yellow_away,cards_red_away,xg_away,npxg_away,xg_assist_away,npxg_xg_assist_away,progressive_carries_away,progressive_passes_away,goals_per90_away,assists_per90_away,goals_assists_per90_away,goals_pens_per90_away,goals_assists_pens_per90_away,xg_per90_away,xg_assist_per90_away,xg_xg_assist_per90_away,npxg_per90_away,npxg_xg_assist_per90_away,competition_id,season_id,id
8d6fd021,/en/squads/8d6fd021/2019-2020/Alaves-Stats,vs Alavés,32,27.3,58.5,38,418,"3,420",38.0,59,36,95,47,12,15,87,3,57.8,46.3,37.1,83.5,656,1548,1.55,0.95,2.50,1.24,2.18,1.52,0.98,2.50,1.22,2.20,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
2b390eca,/en/squads/2b390eca/2019-2020/Athletic-Club-Stats,vs Athletic Club,26,27.1,51.3,38,418,"3,420",38.0,36,26,62,31,5,7,89,0,48.8,43.7,34.6,78.3,615,1390,0.95,0.68,1.63,0.82,1.50,1.28,0.91,2.19,1.15,2.06,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
db3b9613,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats,vs Atlético Madrid,30,27.4,51.4,38,418,"3,420",38.0,24,15,39,21,3,4,113,4,32.5,29.5,22.9,52.5,619,1523,0.63,0.39,1.03,0.55,0.95,0.85,0.60,1.46,0.78,1.38,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
206d90db,/en/squads/206d90db/2019-2020/Barcelona-Stats,vs Barcelona,28,27.0,33.6,38,418,"3,420",38.0,38,21,59,32,6,7,89,4,38.3,32.9,23.6,56.5,576,1003,1.00,0.55,1.55,0.84,1.39,1.01,0.62,1.63,0.87,1.49,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
fc536746,/en/squads/fc536746/2019-2020/Real-Betis-Stats,vs Betis,27,27.0,43.3,38,418,"3,420",38.0,59,40,99,48,11,11,111,5,54.8,46.2,36.1,82.3,613,1263,1.55,1.05,2.61,1.26,2.32,1.44,0.95,2.39,1.22,2.16,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
f25da7fb,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats,vs Celta Vigo,30,27.2,48.4,38,418,"3,420",38.0,49,31,80,44,5,5,119,5,45.3,41.4,33.4,74.7,679,1436,1.29,0.82,2.11,1.16,1.97,1.19,0.88,2.07,1.09,1.97,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
bea5c710,/en/squads/bea5c710/2019-2020/Eibar-Stats,vs Eibar,26,27.0,53.7,38,418,"3,420",38.0,55,38,93,51,4,6,70,2,53.0,48.4,40.0,88.5,561,1177,1.45,1.00,2.45,1.34,2.34,1.39,1.05,2.45,1.27,2.33,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
a8661628,/en/squads/a8661628/2019-2020/Espanyol-Stats,vs Espanyol,31,27.3,52.6,38,418,"3,420",38.0,56,35,91,50,6,7,75,6,51.0,45.8,34.9,80.8,688,1452,1.47,0.92,2.39,1.32,2.24,1.34,0.92,2.26,1.21,2.13,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
7848bd64,/en/squads/7848bd64/2019-2020/Getafe-Stats,vs Getafe,30,27.2,55.0,38,418,"3,420",38.0,35,21,56,30,5,6,122,11,41.4,36.7,29.5,66.1,376,1089,0.92,0.55,1.47,0.79,1.34,1.09,0.78,1.87,0.96,1.74,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
a0435291,/en/squads/a0435291/2019-2020/Granada-Stats,vs Granada,27,27.4,56.2,38,418,"3,420",38.0,45,37,82,41,4,5,116,7,42.6,38.6,33.1,71.7,672,1397,1.18,0.97,2.16,1.08,2.05,1.12,0.87,1.99,1.02,1.89,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
7c6f2c78,/en/squads/7c6f2c78/2019-2020/Leganes-Stats,vs Leganés,29,27.2,56.1,38,418,"3,420",38.0,50,34,84,44,6,7,105,5,42.8,37.4,29.7,67.1,632,1423,1.32,0.89,2.21,1.16,2.05,1.13,0.78,1.91,0.98,1.77,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
9800b6a1,/en/squads/9800b6a1/2019-2020/Levante-Stats,vs Levante,29,27.2,51.7,38,418,"3,420",38.0,51,40,91,48,3,7,96,1,62.9,57.4,47.2,104.7,741,1499,1.34,1.05,2.39,1.26,2.32,1.65,1.24,2.90,1.51,2.75,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
2aa12281,/en/squads/2aa12281/2019-2020/Mallorca-Stats,vs Mallorca,32,27.2,55.0,38,418,"3,420",38.0,64,39,103,49,15,16,118,4,63.5,51.2,43.2,94.4,774,1681,1.68,1.03,2.71,1.29,2.32,1.67,1.14,2.81,1.35,2.48,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
03c57e2b,/en/squads/03c57e2b/2019-2020/Osasuna-Stats,vs Osasuna,31,27.0,52.6,38,418,"3,420",38.0,54,39,93,49,5,5,83,4,49.4,45.5,35.9,81.4,581,1311,1.42,1.03,2.45,1.29,2.32,1.30,0.94,2.24,1.20,2.14,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
53a2f082,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats,vs Real Madrid,26,27.0,41.2,38,418,"3,420",38.0,25,21,46,23,2,2,87,1,33.3,31.7,23.9,55.6,604,1211,0.66,0.55,1.21,0.61,1.16,0.88,0.63,1.51,0.83,1.46,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
e31d1cd9,/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats,vs Real Sociedad,27,27.3,43.8,38,418,"3,420",38.0,47,33,80,40,7,9,101,7,43.0,36.0,27.7,63.7,546,1133,1.24,0.87,2.11,1.05,1.92,1.13,0.73,1.86,0.95,1.68,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
ad2be733,/en/squads/ad2be733/2019-2020/Sevilla-Stats,vs Sevilla,26,27.2,42.1,38,418,"3,420",38.0,33,21,54,30,3,4,100,5,36.1,33.0,24.4,57.4,552,1138,0.87,0.55,1.42,0.79,1.34,0.95,0.64,1.59,0.87,1.51,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
dcc91a7b,/en/squads/dcc91a7b/2019-2020/Valencia-Stats,vs Valencia,28,27.1,51.0,38,418,"3,420",38.0,52,31,83,45,7,9,90,4,56.0,49.1,35.3,84.4,863,1698,1.37,0.82,2.18,1.18,2.00,1.47,0.93,2.40,1.29,2.22,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
17859612,/en/squads/17859612/2019-2020/Valladolid-Stats,vs Valladolid,30,27.3,55.3,38,418,"3,420",38.0,43,26,69,36,7,8,95,4,54.5,48.4,38.7,87.1,797,1764,1.13,0.68,1.82,0.95,1.63,1.43,1.02,2.45,1.27,2.29,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
2a8183b3,/en/squads/2a8183b3/2019-2020/Villarreal-Stats,vs Villarreal,25,27.2,47.1,38,418,"3,420",38.0,47,35,82,39,8,9,84,5,46.3,39.3,31.9,71.1,676,1465,1.24,0.92,2.16,1.03,1.95,1.22,0.84,2.06,1.03,1.87,12,2019-2020,0f599b6a-e195-4b70-838f-116807158334
