team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,competition_id,season_id,id
2b390eca,/en/squads/2b390eca/2015-2016/Athletic-Club-Stats,Athletic Club,25,27.7,49.9,38,418,"3,420",38.0,57,42,99,54,3,5,86,6,1.50,1.11,2.61,1.42,2.53,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
db3b9613,/en/squads/db3b9613/2015-2016/Atletico-Madrid-Stats,Atlético Madrid,25,25.9,48.5,38,418,"3,420",38.0,62,47,109,61,1,2,94,3,1.63,1.24,2.87,1.61,2.84,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
206d90db,/en/squads/206d90db/2015-2016/Barcelona-Stats,Barcelona,25,28.0,67.1,38,418,"3,420",38.0,109,74,183,98,11,19,67,1,2.87,1.95,4.82,2.58,4.53,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
fc536746,/en/squads/fc536746/2015-2016/Real-Betis-Stats,Betis,29,27.4,46.7,38,418,"3,420",38.0,34,25,59,31,3,4,114,5,0.89,0.66,1.55,0.82,1.47,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
f25da7fb,/en/squads/f25da7fb/2015-2016/Celta-Vigo-Stats,Celta Vigo,27,26.1,56.4,38,418,"3,420",38.0,50,41,91,46,4,5,115,8,1.32,1.08,2.39,1.21,2.29,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
bea5c710,/en/squads/bea5c710/2015-2016/Eibar-Stats,Eibar,28,25.6,45.2,38,419,"3,420",38.0,47,31,78,41,6,8,108,4,1.24,0.82,2.05,1.08,1.89,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
a8661628,/en/squads/a8661628/2015-2016/Espanyol-Stats,Espanyol,26,24.9,46.2,38,418,"3,420",38.0,38,29,67,37,1,3,132,5,1.00,0.76,1.76,0.97,1.74,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
7848bd64,/en/squads/7848bd64/2015-2016/Getafe-Stats,Getafe,27,26.7,46.1,38,418,"3,420",38.0,36,31,67,35,1,2,129,6,0.95,0.82,1.76,0.92,1.74,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
a0435291,/en/squads/a0435291/2015-2016/Granada-Stats,Granada,28,25.9,44.6,38,418,"3,420",38.0,45,26,71,38,7,7,141,7,1.18,0.68,1.87,1.00,1.68,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
2a60ed82,/en/squads/2a60ed82/2015-2016/Deportivo-La-Coruna-Stats,La Coruña,25,28.2,47.1,38,418,"3,420",38.0,41,31,72,40,1,1,86,4,1.08,0.82,1.89,1.05,1.87,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
0049d422,/en/squads/0049d422/2015-2016/Las-Palmas-Stats,Las Palmas,27,27.6,54.6,38,418,"3,420",38.0,42,31,73,38,4,5,100,4,1.11,0.82,1.92,1.00,1.82,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
9800b6a1,/en/squads/9800b6a1/2015-2016/Levante-Stats,Levante,27,27.2,45.9,38,418,"3,420",38.0,36,23,59,34,2,2,134,7,0.95,0.61,1.55,0.89,1.50,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
1c896955,/en/squads/1c896955/2015-2016/Malaga-Stats,Málaga,30,28.0,48.8,38,418,"3,420",38.0,37,27,64,35,2,4,110,5,0.97,0.71,1.68,0.92,1.63,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
98e8af82,/en/squads/98e8af82/2015-2016/Rayo-Vallecano-Stats,Rayo Vallecano,29,28.5,55.6,38,418,"3,420",38.0,52,38,90,50,2,3,115,10,1.37,1.00,2.37,1.32,2.32,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
53a2f082,/en/squads/53a2f082/2015-2016/Real-Madrid-Stats,Real Madrid,24,26.5,57.3,38,418,"3,420",38.0,108,86,194,102,6,9,75,5,2.84,2.26,5.11,2.68,4.95,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
e31d1cd9,/en/squads/e31d1cd9/2015-2016/Real-Sociedad-Stats,Real Sociedad,27,25.3,51.8,38,418,"3,420",38.0,44,31,75,43,1,1,109,5,1.16,0.82,1.97,1.13,1.95,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
ad2be733,/en/squads/ad2be733/2015-2016/Sevilla-Stats,Sevilla,33,26.9,50.0,38,418,"3,420",38.0,50,35,85,44,6,7,106,8,1.32,0.92,2.24,1.16,2.08,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
bb9efd50,/en/squads/bb9efd50/2015-2016/Sporting-Gijon-Stats,Sporting Gijón,28,24.5,43.1,38,418,"3,420",38.0,39,29,68,38,1,2,107,6,1.03,0.76,1.79,1.00,1.76,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
dcc91a7b,/en/squads/dcc91a7b/2015-2016/Valencia-Stats,Valencia,30,24.7,50.1,38,419,"3,420",38.0,42,27,69,38,4,5,110,7,1.11,0.71,1.82,1.00,1.71,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
2a8183b3,/en/squads/2a8183b3/2015-2016/Villarreal-Stats,Villarreal,26,25.3,45.9,38,418,"3,420",38.0,42,32,74,39,3,3,103,4,1.11,0.84,1.95,1.03,1.87,12,2015-2016,329d9ea8-c4f7-486b-a848-56568e90db1e
