rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,e2d8892c,/en/squads/e2d8892c/2015-2016/Paris-Saint-Germain-Stats,Paris S-G,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2d8892c.png,19,15,3,1,59,12,+47,48,2.53,19,15,3,1,43,7,+36,48,2.53,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
2,d53c0b06,/en/squads/d53c0b06/2015-2016/Lyon-Stats,Lyon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d53c0b06.png,19,12,4,3,42,16,+26,40,2.11,19,7,4,8,25,27,-2,25,1.32,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
3,fd6114db,/en/squads/fd6114db/2015-2016/Monaco-Stats,Monaco,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd6114db.png,19,10,6,3,30,19,+11,36,1.89,19,7,8,4,27,31,-4,29,1.53,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
4,132ebc33,/en/squads/132ebc33/2015-2016/Nice-Stats,Nice,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.132ebc33.png,19,12,2,5,32,16,+16,38,2.00,19,6,7,6,26,25,+1,25,1.32,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
5,cb188c0c,/en/squads/cb188c0c/2015-2016/Lille-Stats,Lille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cb188c0c.png,19,9,6,4,21,11,+10,33,1.74,19,6,9,4,18,16,+2,27,1.42,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
6,d298ef2c,/en/squads/d298ef2c/2015-2016/Saint-Etienne-Stats,Saint-Étienne,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d298ef2c.png,19,10,4,5,25,15,+10,34,1.79,19,7,3,9,17,22,-5,24,1.26,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
7,74229020,/en/squads/74229020/2015-2016/Caen-Stats,Caen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.74229020.png,19,9,3,7,19,23,-4,30,1.58,19,7,3,9,20,29,-9,24,1.26,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
8,b3072e00,/en/squads/b3072e00/2015-2016/Rennes-Stats,Rennes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b3072e00.png,19,6,7,6,25,25,0,25,1.32,19,7,6,6,27,29,-2,27,1.42,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
9,69236f98,/en/squads/69236f98/2015-2016/Angers-Stats,Angers,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.69236f98.png,19,6,8,5,20,15,+5,26,1.37,19,7,3,9,20,23,-3,24,1.26,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
10,6283be2c,/en/squads/6283be2c/2015-2016/Bastia-Stats,Bastia,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.6283be2c.png,19,11,2,6,23,14,+9,35,1.84,19,3,6,10,13,28,-15,15,0.79,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
11,123f3efe,/en/squads/123f3efe/2015-2016/Bordeaux-Stats,Bordeaux,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.123f3efe.png,19,8,7,4,27,20,+7,31,1.63,19,4,7,8,23,37,-14,19,1.00,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
12,281b0e73,/en/squads/281b0e73/2015-2016/Montpellier-Stats,Montpellier,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.281b0e73.png,19,9,0,10,26,23,+3,27,1.42,19,5,7,7,23,24,-1,22,1.16,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
13,5725cc7b,/en/squads/5725cc7b/2015-2016/Marseille-Stats,Marseille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5725cc7b.png,19,3,11,5,27,24,+3,20,1.05,19,7,7,5,21,18,+3,28,1.47,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
14,d7a486cd,/en/squads/d7a486cd/2015-2016/Nantes-Stats,Nantes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d7a486cd.png,19,8,5,6,20,20,0,29,1.53,19,4,7,8,13,24,-11,19,1.00,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
15,d2c87802,/en/squads/d2c87802/2015-2016/Lorient-Stats,Lorient,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d2c87802.png,19,7,7,5,26,21,+5,28,1.47,19,4,6,9,21,37,-16,18,0.95,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
16,d41b5f53,/en/squads/d41b5f53/2015-2016/Guingamp-Stats,Guingamp,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d41b5f53.png,19,6,7,6,31,28,+3,25,1.32,19,5,4,10,16,28,-12,19,1.00,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
17,3f8c4b5f,/en/squads/3f8c4b5f/2015-2016/Toulouse-Stats,Toulouse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3f8c4b5f.png,19,6,7,6,29,21,+8,25,1.32,19,3,6,10,16,34,-18,15,0.79,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
18,7fdd64e0,/en/squads/7fdd64e0/2015-2016/Reims-Stats,Reims,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7fdd64e0.png,19,7,5,7,28,23,+5,26,1.37,19,3,4,12,16,34,-18,13,0.68,13,2015-2016,07a023cc-6cf5-48a8-a920-299980684055
