rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,e2d8892c,/en/squads/e2d8892c/2015-2016/Paris-Saint-Germain-Stats,Paris S-G,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2d8892c.png,38,30,6,2,102,19,+83,96,2.53,"46,160",Zlatan Ibrahimović-38,Kevin Trapp,→ Champions League via league finish,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
2,d53c0b06,/en/squads/d53c0b06/2015-2016/Lyon-Stats,Lyon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d53c0b06.png,38,19,8,11,67,43,+24,65,1.71,"40,325",Alexandre Lacazette-21,Anthony Lopes,→ Champions League via league finish,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
3,fd6114db,/en/squads/fd6114db/2015-2016/Monaco-Stats,Monaco,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd6114db.png,38,17,14,7,57,50,+7,65,1.71,"7,846",Bernardo Silva-7,Danijel Subašić,→ Champions League via league finish,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
4,132ebc33,/en/squads/132ebc33/2015-2016/Nice-Stats,Nice,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.132ebc33.png,38,18,9,11,58,41,+17,63,1.66,"19,187",Hatem Ben Arfa-17,Yoan Cardinale,→ Europa League via league finish1,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
5,cb188c0c,/en/squads/cb188c0c/2015-2016/Lille-Stats,Lille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cb188c0c.png,38,15,15,8,39,27,+12,60,1.58,"30,274",Sofiane Boufal-11,Vincent Enyeama,→ Europa League via league finish2,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
6,d298ef2c,/en/squads/d298ef2c/2015-2016/Saint-Etienne-Stats,Saint-Étienne,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d298ef2c.png,38,17,7,14,42,37,+5,58,1.53,"30,328",Nolan Roux-9,Stéphane Ruffier,→ Europa League via league finish,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
7,74229020,/en/squads/74229020/2015-2016/Caen-Stats,Caen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.74229020.png,38,16,6,16,39,52,-13,54,1.42,"17,661",Andy Delort-12,Rémy Vercoutre,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
8,b3072e00,/en/squads/b3072e00/2015-2016/Rennes-Stats,Rennes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b3072e00.png,38,13,13,12,52,54,-2,52,1.37,"23,180",Ousmane Dembélé-12,Benoît Costil,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
9,69236f98,/en/squads/69236f98/2015-2016/Angers-Stats,Angers,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.69236f98.png,38,13,11,14,40,38,+2,50,1.32,"13,502",Cheikh N'Doye-9,Ludovic Butelle,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
10,6283be2c,/en/squads/6283be2c/2015-2016/Bastia-Stats,Bastia,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.6283be2c.png,38,14,8,16,36,42,-6,50,1.32,"11,559",Floyd Ayité-8,Jean-Louis Leca,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
11,123f3efe,/en/squads/123f3efe/2015-2016/Bordeaux-Stats,Bordeaux,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.123f3efe.png,38,12,14,12,50,57,-7,50,1.32,"25,089",Cheick Diabaté-10,Cédric Carrasso,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
12,281b0e73,/en/squads/281b0e73/2015-2016/Montpellier-Stats,Montpellier,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.281b0e73.png,38,14,7,17,49,47,+2,49,1.29,"12,808","Souleymane Camara,Casimir Ninga-7",Laurent Pionnier,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
13,5725cc7b,/en/squads/5725cc7b/2015-2016/Marseille-Stats,Marseille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5725cc7b.png,38,10,18,10,48,42,+6,48,1.26,"43,976",Michy Batshuayi-17,Steve Mandanda,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
14,d7a486cd,/en/squads/d7a486cd/2015-2016/Nantes-Stats,Nantes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d7a486cd.png,38,12,12,14,33,44,-11,48,1.26,"25,226",Emiliano Sala-6,Rémy Riou,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
15,d2c87802,/en/squads/d2c87802/2015-2016/Lorient-Stats,Lorient,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d2c87802.png,38,11,13,14,47,58,-11,46,1.21,"11,993",Benjamin Moukandjo-13,Benjamin Lecomte,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
16,d41b5f53,/en/squads/d41b5f53/2015-2016/Guingamp-Stats,Guingamp,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d41b5f53.png,38,11,11,16,47,56,-9,44,1.16,"14,804","Jimmy Briand,Yannis Salibur... -7",Jonas Lössl,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
17,3f8c4b5f,/en/squads/3f8c4b5f/2015-2016/Toulouse-Stats,Toulouse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3f8c4b5f.png,38,9,13,16,45,55,-10,40,1.05,"16,318",Wissam Ben Yedder-17,Alban Lafont,,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
18,7fdd64e0,/en/squads/7fdd64e0/2015-2016/Reims-Stats,Reims,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7fdd64e0.png,38,10,9,19,44,57,-13,39,1.03,"13,483",Nicolas de Préville-6,Johny Placide,Relegated,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
19,73905dde,/en/squads/73905dde/2015-2016/Gazelec-Ajaccio-Stats,Gazélec Ajaccio,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.73905dde.png,38,8,13,17,37,58,-21,37,0.97,"3,719",Mohamed Larbi-8,Clément Maury,Relegated,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
20,54195385,/en/squads/54195385/2015-2016/Troyes-Stats,Troyes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.54195385.png,38,3,9,26,28,83,-55,18,0.47,"12,472",Fabien Camus-5,Matthieu Dreyer,Relegated,13,2015-2016,2ed1e175-1950-4a7f-8ace-b075aff3e567
