rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,e2d8892c,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats,Paris S-G,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2d8892c.png,17,14,2,1,45,16,+29,44,2.59,48.1,16.1,+32.1,+1.89,17,12,4,1,47,19,+28,40,2.35,40.7,15.1,+25.6,+1.51,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
2,5725cc7b,/en/squads/5725cc7b/2024-2025/Marseille-Stats,Marseille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5725cc7b.png,17,10,4,3,41,23,+18,34,2.00,38.5,20.8,+17.6,+1.04,17,10,1,6,33,24,+9,31,1.82,25.3,24.4,+0.9,+0.05,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
3,fd6114db,/en/squads/fd6114db/2024-2025/Monaco-Stats,Monaco,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd6114db.png,17,12,3,2,38,16,+22,39,2.29,40.4,15.5,+24.9,+1.47,17,6,4,7,25,25,0,22,1.29,32.4,19.3,+13.1,+0.77,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
4,squads,/en/squads/132ebc33/Nice-Stats,Nice,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.132ebc33.png,17,11,4,2,38,15,+23,37,2.18,35.4,15.4,+20.0,+1.18,17,6,5,6,28,26,+2,23,1.35,26.2,24.8,+1.4,+0.08,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
5,squads,/en/squads/cb188c0c/Lille-Stats,Lille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cb188c0c.png,17,11,4,2,31,18,+13,37,2.18,27.3,22.3,+5.1,+0.30,17,6,5,6,21,18,+3,23,1.35,27.4,20.2,+7.1,+0.42,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
6,squads,/en/squads/d53c0b06/Lyon-Stats,Lyon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d53c0b06.png,17,11,2,4,37,21,+16,35,2.06,35.8,22.3,+13.5,+0.80,17,6,4,7,28,25,+3,22,1.29,24.5,23.4,+1.1,+0.06,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
7,squads,/en/squads/c0d3eab4/Strasbourg-Stats,Strasbourg,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.c0d3eab4.png,17,10,5,2,33,20,+13,35,2.06,24.6,26.3,-1.7,-0.10,17,6,4,7,23,24,-1,22,1.29,24.7,29.9,-5.1,-0.30,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
8,squads,/en/squads/fd4e0f7d/Lens-Stats,Lens,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd4e0f7d.png,17,7,2,8,19,22,-3,23,1.35,28.9,21.7,+7.2,+0.42,17,8,5,4,23,17,+6,29,1.71,22.8,23.5,-0.7,-0.04,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
9,squads,/en/squads/fb08dbb3/Brest-Stats,Brest,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb08dbb3.png,17,10,3,4,31,21,+10,33,1.94,24.7,25.0,-0.3,-0.02,17,5,2,10,21,38,-17,17,1.00,20.7,32.4,-11.7,-0.69,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
10,squads,/en/squads/3f8c4b5f/Toulouse-Stats,Toulouse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3f8c4b5f.png,17,5,5,7,20,22,-2,20,1.18,21.3,18.4,+3.0,+0.17,17,6,4,7,24,21,+3,22,1.29,27.8,18.4,+9.4,+0.55,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
11,squads,/en/squads/5ae09109/Auxerre-Stats,Auxerre,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5ae09109.png,17,7,6,4,24,17,+7,27,1.59,22.1,23.0,-0.9,-0.05,17,4,3,10,24,34,-10,15,0.88,18.9,35.6,-16.7,-0.98,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
12,squads,/en/squads/b3072e00/Rennes-Stats,Rennes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b3072e00.png,17,9,1,7,25,17,+8,28,1.65,24.9,19.2,+5.7,+0.33,17,4,1,12,26,33,-7,13,0.76,23.7,26.8,-3.1,-0.18,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
13,squads,/en/squads/d7a486cd/Nantes-Stats,Nantes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d7a486cd.png,17,5,6,6,19,18,+1,21,1.24,22.2,21.0,+1.2,+0.07,17,3,6,8,20,34,-14,15,0.88,17.0,34.6,-17.6,-1.04,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
14,squads,/en/squads/69236f98/Angers-Stats,Angers,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.69236f98.png,17,5,2,10,18,33,-15,17,1.00,17.5,30.1,-12.6,-0.74,17,5,4,8,14,20,-6,19,1.12,18.5,27.7,-9.2,-0.54,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
15,squads,/en/squads/5c2737db/Le-Havre-Stats,Le Havre,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5c2737db.png,17,3,2,12,15,41,-26,11,0.65,20.5,34.9,-14.5,-0.85,17,7,2,8,25,30,-5,23,1.35,20.9,27.9,-7.0,-0.41,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
16,squads,/en/squads/7fdd64e0/Reims-Stats,Reims,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7fdd64e0.png,17,4,4,9,17,25,-8,16,0.94,19.4,25.6,-6.2,-0.37,17,4,5,8,16,22,-6,17,1.00,18.0,31.7,-13.7,-0.81,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
17,squads,/en/squads/d298ef2c/Saint-Etienne-Stats,Saint-Étienne,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d298ef2c.png,17,6,3,8,24,33,-9,21,1.24,21.5,31.0,-9.5,-0.56,17,2,3,12,15,44,-29,9,0.53,14.9,43.3,-28.4,-1.77,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
18,squads,/en/squads/281b0e73/Montpellier-Stats,Montpellier,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.281b0e73.png,17,3,4,10,17,41,-24,13,0.76,21.2,28.0,-6.7,-0.42,17,1,0,16,6,38,-32,3,0.18,12.2,35.4,-23.1,-1.36,13,2024-2025,ddf43398-aafe-4373-8f1e-bf56db1ede40
