team_id,team_url,team,players_used_away,minutes_90s_away,sca_away,sca_per90_away,sca_passes_live_away,sca_passes_dead_away,sca_take_ons_away,sca_shots_away,sca_fouled_away,sca_defense_away,gca_away,gca_per90_away,gca_passes_live_away,gca_passes_dead_away,gca_take_ons_away,gca_shots_away,gca_fouled_away,gca_defense_away,competition_id,season_id,id
fb08dbb3,/en/squads/fb08dbb3/2023-2024/Brest-Stats,vs Brest,25,34.0,615,18.09,446,47,49,36,29,8,61,1.79,42,5,5,5,4,0,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
d9676424,/en/squads/d9676424/2023-2024/Clermont-Foot-Stats,vs Clermont Foot,31,34.0,940,27.65,715,59,51,59,35,21,102,3.00,78,1,6,11,5,1,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
5c2737db,/en/squads/5c2737db/2023-2024/Le-Havre-Stats,vs Le Havre,27,34.0,803,23.62,578,80,34,56,44,11,75,2.21,50,6,9,7,3,0,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
fd4e0f7d,/en/squads/fd4e0f7d/2023-2024/Lens-Stats,vs Lens,27,34.0,679,19.97,471,59,45,48,43,13,64,1.88,42,5,3,8,6,0,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
cb188c0c,/en/squads/cb188c0c/2023-2024/Lille-Stats,vs Lille,28,34.0,559,16.44,383,60,38,27,37,14,54,1.59,41,1,6,2,3,1,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
d2c87802,/en/squads/d2c87802/2023-2024/Lorient-Stats,vs Lorient,38,34.0,930,27.35,702,59,55,45,44,25,115,3.38,78,7,10,6,11,3,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
d53c0b06,/en/squads/d53c0b06/2023-2024/Lyon-Stats,vs Lyon,35,34.0,817,24.03,602,55,51,46,38,25,90,2.65,59,6,8,9,6,2,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
5725cc7b,/en/squads/5725cc7b/2023-2024/Marseille-Stats,vs Marseille,33,34.0,649,19.09,467,52,40,39,33,18,70,2.06,44,8,3,8,6,1,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
f83960ae,/en/squads/f83960ae/2023-2024/Metz-Stats,vs Metz,30,34.0,943,27.74,722,59,48,57,44,13,95,2.79,64,4,4,14,6,3,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
fd6114db,/en/squads/fd6114db/2023-2024/Monaco-Stats,vs Monaco,30,34.0,687,20.21,484,60,53,35,42,13,74,2.18,51,5,5,5,7,1,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
281b0e73,/en/squads/281b0e73/2023-2024/Montpellier-Stats,vs Montpellier,31,34.0,948,27.88,689,77,59,56,49,18,81,2.38,57,6,4,5,8,1,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
d7a486cd,/en/squads/d7a486cd/2023-2024/Nantes-Stats,vs Nantes,35,34.0,752,22.12,530,64,49,52,47,10,99,2.91,69,2,6,13,9,0,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
132ebc33,/en/squads/132ebc33/2023-2024/Nice-Stats,vs Nice,27,34.0,638,18.76,468,49,33,38,34,16,47,1.38,34,2,0,7,3,1,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
e2d8892c,/en/squads/e2d8892c/2023-2024/Paris-Saint-Germain-Stats,vs Paris S-G,29,34.0,704,20.71,486,67,55,51,27,18,59,1.74,39,4,4,7,4,1,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
7fdd64e0,/en/squads/7fdd64e0/2023-2024/Reims-Stats,vs Reims,29,34.0,757,22.26,527,74,48,58,38,12,80,2.35,54,6,4,7,9,0,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
b3072e00,/en/squads/b3072e00/2023-2024/Rennes-Stats,vs Rennes,29,34.0,677,19.91,483,61,39,47,36,11,67,1.97,49,3,2,8,5,0,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
c0d3eab4,/en/squads/c0d3eab4/2023-2024/Strasbourg-Stats,vs Strasbourg,30,34.0,706,20.76,505,66,27,61,35,12,78,2.29,61,3,3,6,4,1,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
3f8c4b5f,/en/squads/3f8c4b5f/2023-2024/Toulouse-Stats,vs Toulouse,26,34.0,808,23.76,530,70,68,65,55,20,74,2.18,43,4,8,10,6,3,13,2023-2024,6dcb0d6b-9c9d-4e00-b912-32f6a2d9c8d3
