team_id,team_url,team,players_used_away,minutes_90s_away,gk_goals_against_away,gk_pens_allowed_away,gk_free_kick_goals_against_away,gk_corner_kick_goals_against_away,gk_own_goals_against_away,gk_psxg_away,gk_psnpxg_per_shot_on_target_against_away,gk_psxg_net_away,gk_psxg_net_per90_away,gk_passes_completed_launched_away,gk_passes_launched_away,gk_passes_pct_launched_away,gk_passes_away,gk_passes_throws_away,gk_pct_passes_launched_away,gk_passes_length_avg_away,gk_goal_kicks_away,gk_pct_goal_kicks_launched_away,gk_goal_kick_length_avg_away,gk_crosses_away,gk_crosses_stopped_away,gk_crosses_stopped_pct_away,gk_def_actions_outside_pen_area_away,gk_def_actions_outside_pen_area_per90_away,gk_avg_distance_def_actions_away,competition_id,season_id,id
25622401,/en/squads/25622401/2018-2019/Amiens-Stats,vs Amiens,1,38.0,31,2,1,3,1,34.9,0.28,+4.9,+0.13,230,579,39.7,912,161,43.9,36.7,271,66.1,48.4,453,23,5.1,35,0.92,15.8,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
69236f98,/en/squads/69236f98/2018-2019/Angers-Stats,vs Angers,2,38.0,44,5,0,7,2,46.2,0.24,+4.2,+0.11,154,368,41.8,852,198,29.9,31.7,269,42.0,40.6,501,33,6.6,32,0.84,13.0,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
123f3efe,/en/squads/123f3efe/2018-2019/Bordeaux-Stats,vs Bordeaux,2,38.0,34,5,0,2,0,40.3,0.26,+6.3,+0.17,224,599,37.4,921,143,45.6,37.6,281,63.7,49.0,525,25,4.8,39,1.03,14.2,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
74229020,/en/squads/74229020/2018-2019/Caen-Stats,vs Caen,1,38.0,29,4,1,1,0,26.2,0.24,-2.8,-0.07,201,516,39.0,843,160,42.3,36.5,251,63.3,48.1,508,19,3.7,36,0.95,15.9,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
8dfb7350,/en/squads/8dfb7350/2018-2019/Dijon-Stats,vs Dijon,2,38.0,31,3,0,4,2,34.9,0.22,+5.9,+0.16,238,534,44.6,884,190,41.0,36.3,286,60.1,47.3,481,23,4.8,29,0.76,14.1,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
d41b5f53,/en/squads/d41b5f53/2018-2019/Guingamp-Stats,vs Guingamp,2,38.0,28,5,0,5,0,32.0,0.23,+4.0,+0.10,281,571,49.2,869,151,41.5,36.2,309,68.0,48.6,640,27,4.2,26,0.68,12.7,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
cb188c0c,/en/squads/cb188c0c/2018-2019/Lille-Stats,vs Lille,1,38.0,68,11,0,4,2,64.5,0.28,-1.5,-0.04,214,531,40.3,779,177,38.9,34.8,295,77.3,52.1,473,18,3.8,41,1.08,16.8,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
d53c0b06,/en/squads/d53c0b06/2018-2019/Lyon-Stats,vs Lyon,2,38.0,70,5,4,3,0,72.7,0.26,+2.7,+0.07,288,786,36.6,824,135,58.6,42.1,348,87.1,56.1,556,28,5.0,22,0.58,12.5,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
5725cc7b,/en/squads/5725cc7b/2018-2019/Marseille-Stats,vs Marseille,2,38.0,60,4,1,10,1,50.1,0.27,-8.9,-0.23,223,656,34.0,854,148,48.2,37.6,342,71.3,50.8,647,21,3.2,32,0.84,13.2,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
fd6114db,/en/squads/fd6114db/2018-2019/Monaco-Stats,vs Monaco,3,38.0,38,4,1,2,0,40.3,0.23,+2.3,+0.06,258,621,41.5,903,169,46.0,37.7,308,66.9,48.8,595,33,5.5,33,0.87,13.2,13,2018-2019,6deb80ae-cf7f-4470-8579-b86133ca4e48
