team_id,team_url,team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,competition_id,season_id,id
25622401,/en/squads/25622401/2019-2020/Amiens-Stats,Amiens,1,28.0,50,1,1,12,1,40.8,0.29,-8.2,-0.29,194,462,42.0,562,93,47.7,38.4,255,76.1,51.0,425,10,2.4,10,0.36,11.8,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
69236f98,/en/squads/69236f98/2019-2020/Angers-Stats,Angers,2,28.0,33,3,2,1,0,27.8,0.28,-5.2,-0.19,134,369,36.3,528,126,39.8,35.9,222,71.6,50.2,362,19,5.2,22,0.79,15.1,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
123f3efe,/en/squads/123f3efe/2019-2020/Bordeaux-Stats,Bordeaux,1,28.0,34,2,0,4,1,32.7,0.28,-0.3,-0.01,159,394,40.4,637,99,40.2,34.8,246,56.1,40.9,434,17,3.9,28,1.00,15.2,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
fb08dbb3,/en/squads/fb08dbb3/2019-2020/Brest-Stats,Brest,2,28.0,37,4,0,4,0,45.7,0.28,+8.7,+0.31,136,393,34.6,817,160,36.2,38.3,243,39.9,35.6,484,21,4.3,28,1.00,5.3,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
8dfb7350,/en/squads/8dfb7350/2019-2020/Dijon-Stats,Dijon,2,28.0,37,1,2,5,2,28.8,0.22,-6.2,-0.22,198,464,42.7,814,170,38.2,31.3,249,61.4,45.6,469,32,6.8,22,0.79,14.0,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
cb188c0c,/en/squads/cb188c0c/2019-2020/Lille-Stats,Lille,1,28.0,27,4,1,1,3,25.0,0.25,+1.0,+0.04,130,390,33.3,563,137,44.0,37.2,200,71.0,52.4,323,11,3.4,24,0.86,17.0,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
d53c0b06,/en/squads/d53c0b06/2019-2020/Lyon-Stats,Lyon,2,28.0,27,2,1,2,3,24.8,0.24,+0.8,+0.03,105,234,44.9,688,163,23.7,27.2,194,36.6,34.0,323,14,4.3,27,0.96,15.4,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
5725cc7b,/en/squads/5725cc7b/2019-2020/Marseille-Stats,Marseille,2,28.0,29,4,0,2,2,32.5,0.29,+5.5,+0.20,120,377,31.8,728,140,38.6,25.0,160,60.0,43.8,341,21,6.2,24,0.86,16.2,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
f83960ae,/en/squads/f83960ae/2019-2020/Metz-Stats,Metz,2,28.0,35,4,0,5,0,32.6,0.22,-2.4,-0.09,200,623,32.1,708,106,60.9,43.8,219,87.7,59.1,482,32,6.6,33,1.18,26.5,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
fd6114db,/en/squads/fd6114db/2019-2020/Monaco-Stats,Monaco,1,28.0,44,6,0,7,1,42.8,0.28,-0.2,-0.01,146,337,43.3,637,136,34.5,,212,55.2,42.3,394,20,5.1,39,1.39,,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
281b0e73,/en/squads/281b0e73/2019-2020/Montpellier-Stats,Montpellier,3,28.0,34,3,1,3,2,32.9,0.21,+0.9,+0.03,202,395,51.1,744,172,35.6,30.9,230,56.5,44.5,389,18,4.6,28,1.00,18.4,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
d7a486cd,/en/squads/d7a486cd/2019-2020/Nantes-Stats,Nantes,2,28.0,31,3,0,3,1,29.2,0.24,-0.8,-0.03,150,465,32.3,704,133,44.9,46.2,198,75.3,51.0,392,10,2.6,31,1.11,10.0,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
132ebc33,/en/squads/132ebc33/2019-2020/Nice-Stats,Nice,2,28.0,38,5,0,6,2,43.5,0.28,+7.5,+0.27,56,172,32.6,621,155,17.4,24.4,228,28.1,30.0,454,15,3.3,17,0.61,13.3,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
squads,/en/squads/1cbf5f9e/Nimes-Stats,Nîmes,2,28.0,44,4,1,4,1,36.4,0.27,-6.6,-0.24,156,450,34.7,589,84,48.7,40.9,214,76.2,51.9,328,11,3.4,31,1.11,14.3,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
e2d8892c,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats,Paris S-G,4,27.0,24,0,0,1,1,21.8,0.27,-1.2,-0.04,38,102,37.3,499,93,14.6,21.6,166,17.5,26.1,249,6,2.4,16,0.59,17.4,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
7fdd64e0,/en/squads/7fdd64e0/2019-2020/Reims-Stats,Reims,2,28.0,21,2,1,3,0,27.3,0.24,+6.3,+0.22,117,361,32.4,821,137,31.7,26.1,210,48.1,42.3,413,27,6.5,20,0.71,9.0,13,2019-2020,6a2810d6-e80d-41f3-9c09-dcf86b47546a
