team_id,team_url,team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,competition_id,season_id,id
69236f98,/en/squads/69236f98/2015-2016/Angers-Stats,Angers,3,38,38,"3,420",38.0,38,1.00,126,88,69.8,13,11,14,17,44.7,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
6283be2c,/en/squads/6283be2c/2015-2016/Bastia-Stats,Bastia,3,38,38,"3,419",38.0,42,1.11,145,103,71.0,14,8,16,15,39.5,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
123f3efe,/en/squads/123f3efe/2015-2016/Bordeaux-Stats,Bordeaux,3,38,38,"3,420",38.0,57,1.50,161,104,64.6,12,14,12,11,28.9,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
74229020,/en/squads/74229020/2015-2016/Caen-Stats,Caen,1,38,38,"3,420",38.0,52,1.37,168,116,69.0,16,6,16,10,26.3,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
73905dde,/en/squads/73905dde/2015-2016/Gazelec-Ajaccio-Stats,Gazélec Ajaccio,3,38,38,"3,420",38.0,58,1.53,160,102,63.8,8,13,17,6,15.8,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
d41b5f53,/en/squads/d41b5f53/2015-2016/Guingamp-Stats,Guingamp,2,38,38,"3,420",38.0,56,1.47,165,109,66.1,11,11,16,13,34.2,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
cb188c0c,/en/squads/cb188c0c/2015-2016/Lille-Stats,Lille,2,38,38,"3,418",38.0,27,0.71,128,101,78.9,15,15,8,18,47.4,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
d2c87802,/en/squads/d2c87802/2015-2016/Lorient-Stats,Lorient,2,38,38,"3,419",38.0,58,1.53,183,125,68.3,11,13,14,8,21.1,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
d53c0b06,/en/squads/d53c0b06/2015-2016/Lyon-Stats,Lyon,2,38,38,"3,420",38.0,43,1.13,139,96,69.1,19,8,11,14,36.8,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
5725cc7b,/en/squads/5725cc7b/2015-2016/Marseille-Stats,Marseille,2,38,38,"3,420",38.0,42,1.11,141,99,70.2,10,18,10,9,23.7,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
fd6114db,/en/squads/fd6114db/2015-2016/Monaco-Stats,Monaco,2,38,38,"3,420",38.0,50,1.32,170,120,70.6,17,14,7,14,36.8,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
281b0e73,/en/squads/281b0e73/2015-2016/Montpellier-Stats,Montpellier,3,38,38,"3,420",38.0,47,1.24,144,97,67.4,14,7,17,9,23.7,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
d7a486cd,/en/squads/d7a486cd/2015-2016/Nantes-Stats,Nantes,2,38,38,"3,420",38.0,44,1.16,142,98,69.0,12,12,14,15,39.5,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
132ebc33,/en/squads/132ebc33/2015-2016/Nice-Stats,Nice,3,38,38,"3,420",38.0,41,1.08,144,103,71.5,18,9,11,12,31.6,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
e2d8892c,/en/squads/e2d8892c/2015-2016/Paris-Saint-Germain-Stats,Paris S-G,3,38,38,"3,420",38.0,19,0.50,114,95,83.3,30,6,2,22,57.9,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
7fdd64e0,/en/squads/7fdd64e0/2015-2016/Reims-Stats,Reims,3,38,38,"3,420",38.0,57,1.50,169,112,66.3,10,9,19,4,10.5,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
b3072e00,/en/squads/b3072e00/2015-2016/Rennes-Stats,Rennes,2,38,38,"3,420",38.0,54,1.42,171,117,68.4,13,13,12,6,15.8,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
d298ef2c,/en/squads/d298ef2c/2015-2016/Saint-Etienne-Stats,Saint-Étienne,1,38,38,"3,420",38.0,37,0.97,144,107,74.3,17,7,14,16,42.1,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
3f8c4b5f,/en/squads/3f8c4b5f/2015-2016/Toulouse-Stats,Toulouse,3,38,38,"3,420",38.0,55,1.45,142,87,61.3,9,13,16,8,21.1,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
54195385,/en/squads/54195385/2015-2016/Troyes-Stats,Troyes,3,38,38,"3,420",38.0,83,2.18,229,146,63.8,3,9,26,3,7.9,,,,,,13,2015-2016,4295ed27-ef20-4006-8ed0-e0837d1c373f
