team_id,team_url,team,players_used_away,minutes_90s_away,cards_yellow_away,cards_red_away,cards_yellow_red_away,fouls_away,fouled_away,offsides_away,crosses_away,interceptions_away,tackles_won_away,pens_won_away,pens_conceded_away,own_goals_away,competition_id,season_id,id
69236f98,/en/squads/69236f98/2015-2016/Angers-Stats,vs Angers,29,38.0,81,2,0,483,491,68,835,658,551,3,7,0,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
6283be2c,/en/squads/6283be2c/2015-2016/Bastia-Stats,vs Bastia,26,38.0,78,7,1,512,503,118,792,614,514,6,2,3,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
123f3efe,/en/squads/123f3efe/2015-2016/Bordeaux-Stats,vs Bordeaux,35,38.0,70,5,1,529,466,85,685,697,609,7,2,2,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
74229020,/en/squads/74229020/2015-2016/Caen-Stats,vs Caen,24,38.0,71,3,1,470,442,46,771,732,589,2,6,0,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
73905dde,/en/squads/73905dde/2015-2016/Gazelec-Ajaccio-Stats,vs Gazélec Ajaccio,23,38.0,58,2,0,414,561,115,836,642,479,3,4,0,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
d41b5f53,/en/squads/d41b5f53/2015-2016/Guingamp-Stats,vs Guingamp,28,38.0,89,13,6,584,478,65,755,569,571,5,4,1,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
cb188c0c,/en/squads/cb188c0c/2015-2016/Lille-Stats,vs Lille,32,38.0,103,9,7,622,539,57,774,689,653,4,3,1,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
d2c87802,/en/squads/d2c87802/2015-2016/Lorient-Stats,vs Lorient,31,38.0,64,4,1,501,435,103,806,726,639,1,7,1,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
d53c0b06,/en/squads/d53c0b06/2015-2016/Lyon-Stats,vs Lyon,30,38.0,99,8,1,574,487,105,573,831,621,2,4,1,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
5725cc7b,/en/squads/5725cc7b/2015-2016/Marseille-Stats,vs Marseille,28,38.0,71,2,1,559,480,87,595,751,714,6,4,1,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
fd6114db,/en/squads/fd6114db/2015-2016/Monaco-Stats,vs Monaco,31,38.0,74,5,3,537,506,82,715,701,604,1,8,3,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
281b0e73,/en/squads/281b0e73/2015-2016/Montpellier-Stats,vs Montpellier,30,38.0,83,5,1,539,443,106,783,746,677,3,3,3,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
d7a486cd,/en/squads/d7a486cd/2015-2016/Nantes-Stats,vs Nantes,29,38.0,70,6,1,438,571,79,732,670,524,4,0,3,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
132ebc33,/en/squads/132ebc33/2015-2016/Nice-Stats,vs Nice,33,38.0,86,8,2,518,433,49,762,754,613,4,5,3,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
e2d8892c,/en/squads/e2d8892c/2015-2016/Paris-Saint-Germain-Stats,vs Paris S-G,28,38.0,57,3,1,447,370,61,595,817,515,3,8,1,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
7fdd64e0,/en/squads/7fdd64e0/2015-2016/Reims-Stats,vs Reims,31,38.0,86,4,2,522,477,100,721,772,571,2,3,0,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
b3072e00,/en/squads/b3072e00/2015-2016/Rennes-Stats,vs Rennes,31,38.0,71,9,3,446,449,80,823,794,626,3,7,3,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
d298ef2c,/en/squads/d298ef2c/2015-2016/Saint-Etienne-Stats,vs Saint-Étienne,31,38.0,64,8,0,468,558,76,752,712,544,2,5,3,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
3f8c4b5f,/en/squads/3f8c4b5f/2015-2016/Toulouse-Stats,vs Toulouse,25,38.0,81,8,3,582,513,48,789,701,657,2,8,2,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
54195385,/en/squads/54195385/2015-2016/Troyes-Stats,vs Troyes,33,38.0,56,6,3,429,416,101,955,699,500,12,3,0,13,2015-2016,04e4ceb3-8ace-49fc-85c2-8a797cdf99d8
