team_id,team_url,team,players_used_away,minutes_90s_away,cards_yellow_away,cards_red_away,cards_yellow_red_away,fouls_away,fouled_away,offsides_away,crosses_away,interceptions_away,tackles_won_away,pens_won_away,pens_conceded_away,own_goals_away,ball_recoveries_away,aerials_won_away,aerials_lost_away,aerials_won_pct_away,competition_id,season_id,id
69236f98,/en/squads/69236f98/2021-2022/Angers-Stats,vs Angers,30,38.0,81,7,4,483,448,94,727,423,504,3,9,3,2142,509,408,55.5,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
123f3efe,/en/squads/123f3efe/2021-2022/Bordeaux-Stats,vs Bordeaux,39,38.0,68,6,1,412,437,77,703,397,377,8,4,2,2193,506,488,50.9,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
fb08dbb3,/en/squads/fb08dbb3/2021-2022/Brest-Stats,vs Brest,25,38.0,81,7,1,441,408,68,672,366,390,3,8,1,2159,540,618,46.6,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
d9676424,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats,vs Clermont Foot,28,38.0,77,6,2,502,367,40,592,475,393,4,3,2,2148,466,432,51.9,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
fd4e0f7d,/en/squads/fd4e0f7d/2021-2022/Lens-Stats,vs Lens,28,38.0,84,7,3,371,402,43,587,474,333,4,5,2,2028,365,428,46.0,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
cb188c0c,/en/squads/cb188c0c/2021-2022/Lille-Stats,vs Lille,26,38.0,86,8,5,462,428,37,687,437,395,5,5,3,2077,492,525,48.4,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
d2c87802,/en/squads/d2c87802/2021-2022/Lorient-Stats,vs Lorient,29,38.0,72,10,2,444,452,37,710,392,388,4,3,0,2101,524,433,54.8,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
d53c0b06,/en/squads/d53c0b06/2021-2022/Lyon-Stats,vs Lyon,30,38.0,63,0,0,447,403,76,611,485,403,4,8,2,2130,409,470,46.5,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
5725cc7b,/en/squads/5725cc7b/2021-2022/Marseille-Stats,vs Marseille,27,38.0,84,7,4,473,336,110,512,404,351,1,10,2,1805,323,368,46.7,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
f83960ae,/en/squads/f83960ae/2021-2022/Metz-Stats,vs Metz,36,38.0,67,2,1,440,484,64,780,359,387,4,1,2,2175,529,527,50.1,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
fd6114db,/en/squads/fd6114db/2021-2022/Monaco-Stats,vs Monaco,27,38.0,66,2,0,428,473,50,539,506,360,8,9,3,2222,498,546,47.7,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
281b0e73,/en/squads/281b0e73/2021-2022/Montpellier-Stats,vs Montpellier,27,38.0,87,4,3,490,395,42,760,411,384,5,4,1,2093,560,437,56.2,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
d7a486cd,/en/squads/d7a486cd/2021-2022/Nantes-Stats,vs Nantes,26,38.0,61,9,1,393,475,54,650,357,409,5,5,2,1992,565,599,48.5,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
132ebc33,/en/squads/132ebc33/2021-2022/Nice-Stats,vs Nice,27,38.0,59,3,1,399,441,69,664,381,386,4,10,0,1984,471,526,47.2,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
e2d8892c,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats,vs Paris S-G,36,38.0,74,5,4,442,340,84,549,455,393,2,8,2,1850,221,262,45.8,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
7fdd64e0,/en/squads/7fdd64e0/2021-2022/Reims-Stats,vs Reims,35,38.0,76,6,2,481,430,34,827,367,335,5,6,1,2030,495,453,52.2,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
b3072e00,/en/squads/b3072e00/2021-2022/Rennes-Stats,vs Rennes,28,38.0,73,2,2,400,408,58,691,392,295,4,4,1,1800,534,547,49.4,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
d298ef2c,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats,vs Saint-Étienne,39,38.0,69,1,0,467,439,84,575,402,415,6,5,1,2136,611,463,56.9,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
c0d3eab4,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats,vs Strasbourg,26,38.0,78,4,1,422,469,45,620,406,284,4,8,4,1980,521,654,44.3,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
54195385,/en/squads/54195385/2021-2022/Troyes-Stats,vs Troyes,35,38.0,89,7,5,493,411,58,692,379,356,8,7,2,2065,460,417,52.5,13,2021-2022,222d6987-edb1-4719-a4c3-0771d84a702b
