team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,competition_id,season_id,id
69236f98,/en/squads/69236f98/2016-2017/Angers-Stats,Angers,29,38.0,60,1,1,435,386,55,732,570,496,4,2,4,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
6283be2c,/en/squads/6283be2c/2016-2017/Bastia-Stats,Bastia,29,38.0,85,7,7,445,501,50,580,608,472,1,8,2,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
123f3efe,/en/squads/123f3efe/2016-2017/Bordeaux-Stats,Bordeaux,27,38.0,67,1,1,441,501,103,690,516,563,6,4,2,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
74229020,/en/squads/74229020/2016-2017/Caen-Stats,Caen,27,38.0,61,1,1,439,457,57,963,693,556,6,8,2,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
8dfb7350,/en/squads/8dfb7350/2016-2017/Dijon-Stats,Dijon,27,38.0,74,3,3,493,472,80,698,628,600,3,11,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
d41b5f53,/en/squads/d41b5f53/2016-2017/Guingamp-Stats,Guingamp,25,38.0,63,3,3,501,506,101,735,576,480,4,11,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
cb188c0c,/en/squads/cb188c0c/2016-2017/Lille-Stats,Lille,31,38.0,64,3,3,540,533,57,685,583,465,8,6,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
d2c87802,/en/squads/d2c87802/2016-2017/Lorient-Stats,Lorient,30,38.0,68,0,0,439,383,73,770,595,431,4,6,2,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
d53c0b06,/en/squads/d53c0b06/2016-2017/Lyon-Stats,Lyon,27,38.0,65,2,2,503,523,103,655,498,531,11,6,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
5725cc7b,/en/squads/5725cc7b/2016-2017/Marseille-Stats,Marseille,27,38.0,71,1,1,520,386,105,693,596,538,4,2,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
f83960ae,/en/squads/f83960ae/2016-2017/Metz-Stats,Metz,31,38.0,75,,2,515,436,91,698,697,502,9,7,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
fd6114db,/en/squads/fd6114db/2016-2017/Monaco-Stats,Monaco,29,38.0,53,1,1,465,449,84,949,534,525,11,5,0,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
281b0e73,/en/squads/281b0e73/2016-2017/Montpellier-Stats,Montpellier,32,38.0,48,2,2,401,455,66,821,595,467,1,8,2,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
e88fc6e5,/en/squads/e88fc6e5/2016-2017/Nancy-Stats,Nancy,27,38.0,78,1,1,499,459,127,685,659,525,1,9,2,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
d7a486cd,/en/squads/d7a486cd/2016-2017/Nantes-Stats,Nantes,27,38.0,78,1,1,543,395,108,814,524,642,4,9,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
132ebc33,/en/squads/132ebc33/2016-2017/Nice-Stats,Nice,27,38.0,60,1,1,424,572,75,411,434,472,8,5,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
e2d8892c,/en/squads/e2d8892c/2016-2017/Paris-Saint-Germain-Stats,Paris S-G,28,38.0,54,1,1,404,409,129,909,521,478,10,3,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
b3072e00,/en/squads/b3072e00/2016-2017/Rennes-Stats,Rennes,31,38.0,59,,1,460,418,80,672,499,523,3,4,1,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
d298ef2c,/en/squads/d298ef2c/2016-2017/Saint-Etienne-Stats,Saint-Étienne,34,38.0,58,,2,484,449,95,761,641,502,6,4,0,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
3f8c4b5f,/en/squads/3f8c4b5f/2016-2017/Toulouse-Stats,Toulouse,30,38.0,90,,1,558,470,47,639,554,536,9,9,0,13,2016-2017,0da1b437-6778-4517-8fa8-b5488eb96abf
