team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,competition_id,season_id,id
25622401,/en/squads/25622401/2017-2018/Amiens-Stats,Amiens,30,38.0,74,5,2,504,459,69,590,523,445,4,4,0,2214,637,725,46.8,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
69236f98,/en/squads/69236f98/2017-2018/Angers-Stats,Angers,27,38.0,70,3,2,492,436,59,653,410,427,3,7,4,2051,592,654,47.5,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
123f3efe,/en/squads/123f3efe/2017-2018/Bordeaux-Stats,Bordeaux,31,38.0,74,2,1,532,470,76,736,464,459,5,8,1,2227,578,631,47.8,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
74229020,/en/squads/74229020/2017-2018/Caen-Stats,Caen,26,38.0,68,4,0,523,433,76,971,476,478,5,5,4,2371,814,770,51.4,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
8dfb7350,/en/squads/8dfb7350/2017-2018/Dijon-Stats,Dijon,26,38.0,70,5,1,492,471,73,567,544,462,5,14,3,2120,603,665,47.6,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
d41b5f53,/en/squads/d41b5f53/2017-2018/Guingamp-Stats,Guingamp,23,38.0,67,2,2,498,517,100,727,475,437,5,7,1,2026,610,635,49.0,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
cb188c0c,/en/squads/cb188c0c/2017-2018/Lille-Stats,Lille,25,38.0,61,6,2,482,430,87,614,492,453,2,7,3,2251,485,460,51.3,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
d53c0b06,/en/squads/d53c0b06/2017-2018/Lyon-Stats,Lyon,26,38.0,72,2,1,475,530,80,572,450,411,6,8,3,2142,573,458,55.6,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
5725cc7b,/en/squads/5725cc7b/2017-2018/Marseille-Stats,Marseille,26,38.0,81,2,0,508,481,78,864,448,505,7,6,2,2246,607,571,51.5,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
f83960ae,/en/squads/f83960ae/2017-2018/Metz-Stats,Metz,36,38.0,80,7,2,532,435,56,701,511,458,2,5,2,2204,615,725,45.9,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
fd6114db,/en/squads/fd6114db/2017-2018/Monaco-Stats,Monaco,32,38.0,71,4,1,508,517,73,764,497,433,8,5,1,2069,612,609,50.1,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
281b0e73,/en/squads/281b0e73/2017-2018/Montpellier-Stats,Montpellier,23,38.0,72,1,0,447,528,83,849,499,450,2,6,0,2220,633,554,53.3,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
d7a486cd,/en/squads/d7a486cd/2017-2018/Nantes-Stats,Nantes,30,38.0,68,6,5,490,409,85,789,426,510,4,4,1,2243,667,692,49.1,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
132ebc33,/en/squads/132ebc33/2017-2018/Nice-Stats,Nice,31,38.0,82,4,2,445,533,63,572,437,398,9,5,3,1939,388,381,50.5,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
e2d8892c,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats,Paris S-G,28,38.0,69,6,4,425,493,93,682,329,435,7,5,1,2023,353,265,57.1,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
b3072e00,/en/squads/b3072e00/2017-2018/Rennes-Stats,Rennes,28,38.0,67,5,3,479,525,89,766,415,409,7,8,2,2194,674,642,51.2,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
d298ef2c,/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats,Saint-Étienne,30,38.0,72,8,1,510,492,90,657,401,447,10,7,1,2035,627,597,51.2,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
c0d3eab4,/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats,Strasbourg,25,38.0,72,4,1,523,437,76,776,515,490,7,7,0,2087,700,664,51.3,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
3f8c4b5f,/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats,Toulouse,25,38.0,93,3,1,590,495,75,822,479,465,9,6,2,2074,748,672,52.7,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
54195385,/en/squads/54195385/2017-2018/Troyes-Stats,Troyes,25,38.0,78,7,2,495,388,63,689,437,410,3,5,1,2018,641,787,44.9,13,2017-2018,2c24bffa-c58d-428a-8cd1-ebfa0c4558e3
