team_id,team_url,team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,competition_id,season_id,id
25622401,/en/squads/25622401/2018-2019/Amiens-Stats,Amiens,26,38.0,11932,16189,73.7,216240,89501,5395,6368,84.7,4838,6050,80.0,1371,2841,48.3,22,23.4,23.6,-1.4,283,973,197,53,1274,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
69236f98,/en/squads/69236f98/2018-2019/Angers-Stats,Angers,24,38.0,12957,16772,77.3,225763,92189,6004,6910,86.9,4953,6020,82.3,1458,2709,53.8,27,33.5,30.9,-6.5,328,885,231,51,1320,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
123f3efe,/en/squads/123f3efe/2018-2019/Bordeaux-Stats,Bordeaux,33,38.0,14526,18571,78.2,254178,98055,6864,7865,87.3,5564,6644,83.7,1602,2899,55.3,26,29.5,29.5,-3.5,330,1004,207,66,1374,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
74229020,/en/squads/74229020/2018-2019/Caen-Stats,Caen,26,38.0,11472,15516,73.9,222111,90244,4946,5804,85.2,4352,5419,80.3,1838,3436,53.5,17,20.6,18.9,-3.6,218,745,146,64,1019,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
8dfb7350,/en/squads/8dfb7350/2018-2019/Dijon-Stats,Dijon,26,38.0,13027,17019,76.5,247662,95270,5326,6175,86.3,5597,6662,84.0,1745,3214,54.3,21,28.1,26.8,-7.1,330,1023,250,75,1334,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
d41b5f53,/en/squads/d41b5f53/2018-2019/Guingamp-Stats,Guingamp,30,38.0,11355,15728,72.2,213602,89565,4897,5937,82.5,4594,5865,78.3,1525,2969,51.4,21,28.8,30.3,-7.8,306,972,216,88,1398,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
cb188c0c,/en/squads/cb188c0c/2018-2019/Lille-Stats,Lille,25,38.0,14521,18325,79.2,253873,91809,6312,7195,87.7,6011,7044,85.3,1520,2790,54.5,49,38.7,31.2,+10.3,384,1114,240,68,1461,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
d53c0b06,/en/squads/d53c0b06/2018-2019/Lyon-Stats,Lyon,25,38.0,19007,22585,84.2,326907,111141,8826,9819,89.9,7788,8746,89.0,1794,2745,65.4,54,49.0,44.8,+5.0,493,1482,341,89,2093,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
5725cc7b,/en/squads/5725cc7b/2018-2019/Marseille-Stats,Marseille,24,38.0,15952,19944,80.0,262210,95452,8017,8977,89.3,5431,6468,84.0,1644,2937,56.0,45,38.5,35.2,+6.5,405,1021,269,108,1474,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
fd6114db,/en/squads/fd6114db/2018-2019/Monaco-Stats,Monaco,42,38.0,14098,18035,78.2,252139,93176,6145,7094,86.6,6061,7206,84.1,1498,2705,55.4,25,31.4,29.7,-6.4,322,1075,258,84,1624,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
281b0e73,/en/squads/281b0e73/2018-2019/Montpellier-Stats,Montpellier,25,38.0,13573,17733,76.5,258702,105789,5776,6744,85.6,5467,6615,82.6,1997,3384,59.0,28,35.1,31.1,-7.1,369,1127,258,93,1497,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
d7a486cd,/en/squads/d7a486cd/2018-2019/Nantes-Stats,Nantes,33,38.0,13321,17765,75.0,229094,96362,6332,7461,84.9,4909,6109,80.4,1471,2845,51.7,28,30.6,27.7,-2.6,380,1049,255,83,1472,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
132ebc33,/en/squads/132ebc33/2018-2019/Nice-Stats,Nice,30,38.0,18039,21274,84.8,320065,111064,7977,8773,90.9,8026,8870,90.5,1708,2766,61.7,18,30.8,27.2,-12.8,329,1072,169,43,1537,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
1cbf5f9e,/en/squads/1cbf5f9e/2018-2019/Nimes-Stats,Nîmes,23,38.0,11364,15574,73.0,201850,84311,5502,6481,84.9,4036,5079,79.5,1399,2975,47.0,37,34.1,27.5,+2.9,365,946,199,64,1229,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
e2d8892c,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats,Paris S-G,30,38.0,21887,25100,87.2,339439,113934,11267,12199,92.4,7815,8653,90.3,1542,2281,67.6,72,63.1,67.1,+8.9,421,1601,461,53,2207,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
7fdd64e0,/en/squads/7fdd64e0/2018-2019/Reims-Stats,Reims,27,38.0,11567,15680,73.8,221473,88002,4875,5802,84.0,4835,6014,80.4,1593,2993,53.2,27,27.7,24.2,-0.7,299,841,220,65,1262,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
b3072e00,/en/squads/b3072e00/2018-2019/Rennes-Stats,Rennes,28,38.0,14148,17863,79.2,255409,93209,6365,7254,87.7,5693,6667,85.4,1674,2912,57.5,34,34.4,31.9,-0.4,324,1013,252,66,1522,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
d298ef2c,/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats,Saint-Étienne,29,38.0,15063,19107,78.8,273799,99072,6606,7526,87.8,6141,7203,85.3,1836,3273,56.1,40,39.2,33.6,+0.8,368,1022,259,81,1543,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
c0d3eab4,/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats,Strasbourg,26,38.0,14722,18749,78.5,276937,98131,6264,7206,86.9,5781,6831,84.6,2129,3501,60.8,43,28.1,26.3,+14.9,310,1056,236,94,1460,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
3f8c4b5f,/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats,Toulouse,29,38.0,12893,16989,75.9,227561,94710,6070,7039,86.2,4882,6027,81.0,1518,2911,52.1,16,29.3,29.4,-13.3,310,991,220,63,1465,13,2018-2019,a6629c96-7d2d-44f6-bf63-dbfb242c8ce1
