team_id,team_url,team,players_used_away,minutes_90s_away,passes_away,passes_live_away,passes_dead_away,passes_free_kicks_away,through_balls_away,passes_switches_away,crosses_away,throw_ins_away,corner_kicks_away,corner_kicks_in_away,corner_kicks_out_away,corner_kicks_straight_away,passes_completed_away,passes_offsides_away,passes_blocked_away,competition_id,season_id,id
69236f98,/en/squads/69236f98/2021-2022/Angers-Stats,vs Angers,30,38.0,20089,18169,1826,477,53,221,727,822,178,69,72,0,16296,94,319,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
123f3efe,/en/squads/123f3efe/2021-2022/Bordeaux-Stats,vs Bordeaux,39,38.0,19419,17487,1855,482,42,154,703,802,210,90,91,1,15514,77,293,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
fb08dbb3,/en/squads/fb08dbb3/2021-2022/Brest-Stats,vs Brest,25,38.0,21518,19645,1805,450,53,111,672,795,205,88,88,0,17707,68,302,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
d9676424,/en/squads/d9676424/2021-2022/Clermont-Foot-Stats,vs Clermont Foot,28,38.0,19625,17890,1695,424,35,165,592,739,164,76,68,2,15954,40,307,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
fd4e0f7d,/en/squads/fd4e0f7d/2021-2022/Lens-Stats,vs Lens,28,38.0,19558,17686,1829,452,42,95,587,817,168,51,71,2,15865,43,287,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
cb188c0c,/en/squads/cb188c0c/2021-2022/Lille-Stats,vs Lille,26,38.0,18332,16397,1898,508,24,152,687,807,186,72,67,2,14511,37,288,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
d2c87802,/en/squads/d2c87802/2021-2022/Lorient-Stats,vs Lorient,29,38.0,21134,19214,1883,501,29,196,710,843,194,96,69,1,17424,37,322,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
d53c0b06,/en/squads/d53c0b06/2021-2022/Lyon-Stats,vs Lyon,30,38.0,16600,14782,1742,471,54,163,611,704,177,78,70,0,12959,76,339,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
5725cc7b,/en/squads/5725cc7b/2021-2022/Marseille-Stats,vs Marseille,27,38.0,15309,13621,1578,385,67,140,512,614,155,59,64,1,12190,110,233,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
f83960ae,/en/squads/f83960ae/2021-2022/Metz-Stats,vs Metz,36,38.0,21004,18933,2007,536,62,168,780,914,253,108,105,3,17036,64,366,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
fd6114db,/en/squads/fd6114db/2021-2022/Monaco-Stats,vs Monaco,27,38.0,17624,15744,1830,559,27,187,539,710,151,48,71,1,13722,50,296,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
281b0e73,/en/squads/281b0e73/2021-2022/Montpellier-Stats,vs Montpellier,27,38.0,19274,17407,1825,437,47,186,760,821,203,90,76,0,15556,42,274,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
d7a486cd,/en/squads/d7a486cd/2021-2022/Nantes-Stats,vs Nantes,26,38.0,21387,19341,1992,524,32,119,650,903,200,88,78,1,17497,54,319,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
132ebc33,/en/squads/132ebc33/2021-2022/Nice-Stats,vs Nice,27,38.0,18844,16936,1839,484,47,182,664,768,168,68,79,0,15122,69,306,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
e2d8892c,/en/squads/e2d8892c/2021-2022/Paris-Saint-Germain-Stats,vs Paris S-G,36,38.0,15650,14026,1540,427,39,185,549,515,155,65,62,0,12815,84,250,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
7fdd64e0,/en/squads/7fdd64e0/2021-2022/Reims-Stats,vs Reims,35,38.0,21846,19896,1916,492,25,216,827,869,210,88,70,1,17907,34,362,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
b3072e00,/en/squads/b3072e00/2021-2022/Rennes-Stats,vs Rennes,28,38.0,16756,14814,1884,470,40,198,691,777,178,68,63,2,13060,58,315,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
d298ef2c,/en/squads/d298ef2c/2021-2022/Saint-Etienne-Stats,vs Saint-Étienne,39,38.0,19112,17052,1976,481,66,131,575,945,162,70,61,2,15123,84,342,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
c0d3eab4,/en/squads/c0d3eab4/2021-2022/Strasbourg-Stats,vs Strasbourg,26,38.0,19277,17386,1846,527,34,159,620,722,190,79,78,0,15468,45,328,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
54195385,/en/squads/54195385/2021-2022/Troyes-Stats,vs Troyes,35,38.0,21179,19368,1753,459,67,165,692,768,202,66,97,1,17526,58,305,13,2021-2022,052e253a-3dbf-4846-89b3-495ed306d8a9
