team_id,team_url,team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,competition_id,season_id,id
25622401,/en/squads/25622401/2019-2020/Amiens-Stats,Amiens,27,28.0,12850,11356,1457,350,28,91,463,669,108,53,28,0,9685,37,229,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
69236f98,/en/squads/69236f98/2019-2020/Angers-Stats,Angers,26,28.0,13458,12001,1429,351,15,97,550,649,146,48,85,2,10518,28,232,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
123f3efe,/en/squads/123f3efe/2019-2020/Bordeaux-Stats,Bordeaux,26,28.0,15092,13672,1380,389,35,93,425,546,137,83,42,0,12252,40,204,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
fb08dbb3,/en/squads/fb08dbb3/2019-2020/Brest-Stats,Brest,24,28.0,14206,12692,1479,332,32,146,520,722,117,63,28,1,11054,35,245,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
8dfb7350,/en/squads/8dfb7350/2019-2020/Dijon-Stats,Dijon,28,28.0,13029,11560,1437,380,30,90,451,622,121,43,57,3,10073,32,213,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
cb188c0c,/en/squads/cb188c0c/2019-2020/Lille-Stats,Lille,25,28.0,14278,12765,1453,387,47,113,528,657,154,61,70,1,11263,60,259,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
d53c0b06,/en/squads/d53c0b06/2019-2020/Lyon-Stats,Lyon,27,28.0,15983,14622,1335,353,39,114,495,604,129,68,27,1,13273,26,218,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
5725cc7b,/en/squads/5725cc7b/2019-2020/Marseille-Stats,Marseille,23,28.0,14767,13347,1397,381,37,132,499,648,151,49,73,1,11918,23,200,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
f83960ae,/en/squads/f83960ae/2019-2020/Metz-Stats,Metz,24,28.0,12493,11124,1338,366,15,80,447,572,119,53,46,1,9568,31,203,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
fd6114db,/en/squads/fd6114db/2019-2020/Monaco-Stats,Monaco,28,28.0,14506,13101,1361,404,52,104,510,541,132,44,67,1,11667,44,235,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
281b0e73,/en/squads/281b0e73/2019-2020/Montpellier-Stats,Montpellier,27,28.0,12825,11351,1432,418,19,147,614,592,130,66,51,4,9713,42,257,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
d7a486cd,/en/squads/d7a486cd/2019-2020/Nantes-Stats,Nantes,29,28.0,13673,12190,1439,383,17,102,464,649,150,68,57,3,10578,44,233,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
132ebc33,/en/squads/132ebc33/2019-2020/Nice-Stats,Nice,31,28.0,15644,14277,1345,401,24,120,395,519,131,51,51,3,13394,22,192,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
squads,/en/squads/1cbf5f9e/Nimes-Stats,Nîmes,28,28.0,11253,9597,1617,455,8,116,544,733,143,54,70,8,8100,39,225,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
e2d8892c,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats,Paris S-G,31,27.0,19009,17723,1229,317,89,113,520,514,181,90,39,4,16726,57,185,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
7fdd64e0,/en/squads/7fdd64e0/2019-2020/Reims-Stats,Reims,26,28.0,13260,11748,1467,412,30,130,539,653,143,31,86,4,10325,45,220,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
b3072e00,/en/squads/b3072e00/2019-2020/Rennes-Stats,Rennes,26,28.0,13199,11752,1407,403,24,120,478,629,124,64,47,1,10388,40,208,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
d298ef2c,/en/squads/d298ef2c/2019-2020/Saint-Etienne-Stats,Saint-Étienne,31,28.0,13149,11633,1473,375,24,119,563,678,140,87,36,2,10048,43,227,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
c0d3eab4,/en/squads/c0d3eab4/2019-2020/Strasbourg-Stats,Strasbourg,25,27.0,12842,11488,1321,342,23,215,579,592,129,46,60,0,10044,33,205,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
3f8c4b5f,/en/squads/3f8c4b5f/2019-2020/Toulouse-Stats,Toulouse,30,28.0,12290,10842,1418,341,15,60,534,582,123,43,72,0,9333,30,214,13,2019-2020,77c55624-bce9-4390-a141-bf99894b7121
