team_id,team_url,team,players_used_away,avg_age_away,games_away,minutes_away,minutes_per_game_away,minutes_pct_away,minutes_90s_away,games_starts_away,minutes_per_start_away,games_complete_away,games_subs_away,minutes_per_sub_away,unused_subs_away,points_per_game_away,on_goals_for_away,on_goals_against_away,plus_minus_away,plus_minus_per90_away,competition_id,season_id,id
69236f98,/en/squads/69236f98/2016-2017/Angers-Stats,vs Angers,29,26.4,38,"3,420",90,100,38.0,418,,,110,18,151,1.61,49,40,+9,+0.24,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
6283be2c,/en/squads/6283be2c/2016-2017/Bastia-Stats,vs Bastia,29,26.1,38,"3,420",90,100,38.0,418,,,101,18,163,1.84,54,29,+25,+0.66,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
123f3efe,/en/squads/123f3efe/2016-2017/Bordeaux-Stats,vs Bordeaux,27,26.3,38,"3,420",90,100,38.0,418,,,108,19,158,1.08,43,53,-10,-0.26,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
74229020,/en/squads/74229020/2016-2017/Caen-Stats,vs Caen,27,26.2,38,"3,420",90,100,38.0,418,,,106,19,160,1.84,65,36,+29,+0.76,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
8dfb7350,/en/squads/8dfb7350/2016-2017/Dijon-Stats,vs Dijon,27,26.4,38,"3,420",90,100,38.0,418,,,100,19,164,1.68,58,46,+12,+0.32,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
d41b5f53,/en/squads/d41b5f53/2016-2017/Guingamp-Stats,vs Guingamp,25,26.2,38,"3,420",90,100,38.0,418,,,110,18,156,1.47,53,46,+7,+0.18,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
cb188c0c,/en/squads/cb188c0c/2016-2017/Lille-Stats,vs Lille,31,26.2,38,"3,420",90,100,38.0,418,,,106,18,160,1.61,47,40,+7,+0.18,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
d2c87802,/en/squads/d2c87802/2016-2017/Lorient-Stats,vs Lorient,30,26.2,38,"3,420",90,100,38.0,418,,,104,20,158,1.89,70,44,+26,+0.68,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
d53c0b06,/en/squads/d53c0b06/2016-2017/Lyon-Stats,vs Lyon,27,26.4,38,"3,420",90,100,38.0,418,,,105,22,162,1.13,48,77,-29,-0.76,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
5725cc7b,/en/squads/5725cc7b/2016-2017/Marseille-Stats,vs Marseille,27,26.0,38,"3,420",90,100,38.0,418,,,111,20,154,1.08,41,57,-16,-0.42,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
f83960ae,/en/squads/f83960ae/2016-2017/Metz-Stats,vs Metz,31,26.2,38,"3,420",90,100,38.0,418,,,104,22,161,1.61,72,39,+33,+0.87,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
fd6114db,/en/squads/fd6114db/2016-2017/Monaco-Stats,vs Monaco,29,26.3,38,"3,420",90,100,38.0,418,,,109,22,155,0.37,31,107,-76,-2.00,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
281b0e73,/en/squads/281b0e73/2016-2017/Montpellier-Stats,vs Montpellier,32,26.1,38,"3,420",90,100,38.0,418,,,113,19,152,1.74,66,48,+18,+0.47,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
e88fc6e5,/en/squads/e88fc6e5/2016-2017/Nancy-Stats,vs Nancy,27,26.4,38,"3,420",90,100,38.0,418,,,104,18,160,1.87,52,29,+23,+0.61,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
d7a486cd,/en/squads/d7a486cd/2016-2017/Nantes-Stats,vs Nantes,27,26.6,38,"3,420",90,100,38.0,418,,,106,24,160,1.42,54,40,+14,+0.37,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
132ebc33,/en/squads/132ebc33/2016-2017/Nice-Stats,vs Nice,27,26.5,38,"3,420",90,100,38.0,418,,,107,19,155,0.63,36,63,-27,-0.71,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
e2d8892c,/en/squads/e2d8892c/2016-2017/Paris-Saint-Germain-Stats,vs Paris S-G,28,26.5,38,"3,420",90,100,38.0,418,,,106,20,160,0.55,27,83,-56,-1.47,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
b3072e00,/en/squads/b3072e00/2016-2017/Rennes-Stats,vs Rennes,31,26.2,38,"3,420",90,100,38.0,418,,,110,20,153,1.32,42,36,+6,+0.16,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
d298ef2c,/en/squads/d298ef2c/2016-2017/Saint-Etienne-Stats,vs Saint-Étienne,34,26.4,38,"3,420",90,100,38.0,418,,,108,18,157,1.32,42,41,+1,+0.03,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
3f8c4b5f,/en/squads/3f8c4b5f/2016-2017/Toulouse-Stats,vs Toulouse,30,26.4,38,"3,420",90,100,38.0,418,,,110,22,156,1.47,41,37,+4,+0.11,13,2016-2017,e2ebe59e-c5e6-4889-8d0d-4f7965eb155b
