team_id,team_url,team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,competition_id,season_id,id
25622401,/en/squads/25622401/2017-2018/Amiens-Stats,Amiens,30,27.5,38,"3,420",90,100,38.0,418,85,303,111,20,155,1.18,37,42,-5,-0.13,32.8,54.9,-22.1,-0.58,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
69236f98,/en/squads/69236f98/2017-2018/Angers-Stats,Angers,27,27.1,38,"3,420",90,100,38.0,418,84,303,112,22,153,1.08,42,52,-10,-0.26,47.6,45.8,+1.8,+0.05,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
123f3efe,/en/squads/123f3efe/2017-2018/Bordeaux-Stats,Bordeaux,31,25.1,38,"3,420",90,100,38.0,418,84,303,112,21,153,1.45,53,48,+5,+0.13,51.0,43.6,+7.5,+0.20,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
74229020,/en/squads/74229020/2017-2018/Caen-Stats,Caen,26,27.3,38,"3,420",90,100,38.0,418,84,320,95,25,170,1.00,27,52,-25,-0.66,42.8,48.0,-5.2,-0.14,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
8dfb7350,/en/squads/8dfb7350/2017-2018/Dijon-Stats,Dijon,26,26.6,38,"3,420",90,100,38.0,418,84,302,111,20,154,1.26,55,73,-18,-0.47,41.6,63.8,-22.2,-0.58,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
d41b5f53,/en/squads/d41b5f53/2017-2018/Guingamp-Stats,Guingamp,23,27.2,38,"3,420",90,100,38.0,418,84,304,113,20,153,1.24,48,59,-11,-0.29,45.5,49.0,-3.5,-0.09,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
cb188c0c,/en/squads/cb188c0c/2017-2018/Lille-Stats,Lille,25,22.6,38,"3,420",90,100,38.0,418,83,303,109,25,157,1.00,41,67,-26,-0.68,36.4,57.9,-21.5,-0.57,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
d53c0b06,/en/squads/d53c0b06/2017-2018/Lyon-Stats,Lyon,26,24.4,38,"3,420",90,100,38.0,418,85,308,108,18,158,2.05,87,43,+44,+1.16,63.4,40.1,+23.3,+0.61,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
5725cc7b,/en/squads/5725cc7b/2017-2018/Marseille-Stats,Marseille,26,27.2,38,"3,420",90,100,38.0,418,84,303,113,21,153,2.03,80,47,+33,+0.87,78.1,41.8,+36.3,+0.96,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
f83960ae,/en/squads/f83960ae/2017-2018/Metz-Stats,Metz,36,27.4,38,"3,420",90,100,38.0,418,84,308,102,22,157,0.68,34,76,-42,-1.11,40.3,71.3,-31.0,-0.81,13,2017-2018,a6e04ef4-ee5a-4c6a-b969-02b2bef9ea03
