team_id,team_url,team,players_used_away,possession_away,minutes_90s_away,touches_away,touches_def_pen_area_away,touches_def_3rd_away,touches_mid_3rd_away,touches_att_3rd_away,touches_att_pen_area_away,touches_live_ball_away,take_ons_away,take_ons_won_away,take_ons_won_pct_away,take_ons_tackled_away,take_ons_tackled_pct_away,carries_away,carries_distance_away,carries_progressive_distance_away,progressive_carries_away,carries_into_final_third_away,carries_into_penalty_area_away,miscontrols_away,dispossessed_away,passes_received_away,progressive_passes_received_away,competition_id,season_id,id
25622401,/en/squads/25622401/2019-2020/Amiens-Stats,vs Amiens,27,54.4,28.0,18606,1513,5459,9183,4163,539,18605,510,309,60.6,201,39.4,10250,54540,28742,587,429,118,529,224,12114,1228,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
69236f98,/en/squads/69236f98/2019-2020/Angers-Stats,vs Angers,26,54.8,28.0,19485,1543,5322,10672,3655,408,19482,452,275,60.8,177,39.2,10660,59554,33888,569,398,94,499,262,13445,1301,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
123f3efe,/en/squads/123f3efe/2019-2020/Bordeaux-Stats,vs Bordeaux,26,46.4,28.0,16064,1528,4746,7807,3719,548,16061,595,365,61.3,230,38.7,8465,49230,25374,580,436,151,424,253,9991,1048,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
fb08dbb3,/en/squads/fb08dbb3/2019-2020/Brest-Stats,vs Brest,24,50.2,28.0,17583,1595,5171,8599,3975,629,17577,472,288,61.0,184,39.0,9449,52699,28452,621,406,153,482,300,11250,1136,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
8dfb7350,/en/squads/8dfb7350/2019-2020/Dijon-Stats,vs Dijon,28,53.5,28.0,18337,1500,5322,9091,4141,570,18336,548,309,56.4,239,43.6,10375,55857,29986,546,392,119,458,277,11953,1290,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
cb188c0c,/en/squads/cb188c0c/2019-2020/Lille-Stats,vs Lille,25,47.1,28.0,16008,1740,5837,7425,2931,426,16002,467,284,60.8,183,39.2,8289,44579,22624,457,309,103,473,241,9791,927,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
d53c0b06,/en/squads/d53c0b06/2019-2020/Lyon-Stats,vs Lyon,27,43.8,28.0,15747,1670,5046,7352,3527,446,15744,442,241,54.5,201,45.5,8481,46819,24967,495,406,119,453,291,9734,969,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
5725cc7b,/en/squads/5725cc7b/2019-2020/Marseille-Stats,vs Marseille,23,46.5,28.0,15914,1652,5413,7686,2987,394,15909,560,325,58.0,235,42.0,8482,46339,24324,416,336,104,480,329,9817,876,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
f83960ae,/en/squads/f83960ae/2019-2020/Metz-Stats,vs Metz,24,54.7,28.0,18311,1343,5108,9221,4164,548,18307,475,262,55.2,213,44.8,10365,58196,32000,550,396,117,466,313,12014,1297,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
fd6114db,/en/squads/fd6114db/2019-2020/Monaco-Stats,vs Monaco,28,49.1,28.0,17209,1769,5484,8266,3638,541,17203,556,321,57.7,235,42.3,9679,53429,28996,586,421,140,486,269,11189,1137,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
281b0e73,/en/squads/281b0e73/2019-2020/Montpellier-Stats,vs Montpellier,27,52.4,28.0,17216,1623,5326,8268,3856,489,17211,571,353,61.8,217,38.0,9285,55632,31723,650,493,114,462,232,11021,1058,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
d7a486cd,/en/squads/d7a486cd/2019-2020/Nantes-Stats,vs Nantes,29,52.0,28.0,18051,1625,5772,9059,3374,446,18045,551,285,51.7,265,48.1,9627,49643,24381,398,313,75,502,284,11642,1045,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
132ebc33,/en/squads/132ebc33/2019-2020/Nice-Stats,vs Nice,31,45.4,28.0,15969,1626,5127,7165,3849,608,15962,516,304,58.9,212,41.1,9222,49328,26176,574,405,135,382,259,10465,1063,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
squads,/en/squads/1cbf5f9e/Nimes-Stats,vs Nîmes,28,55.0,28.0,17246,1596,5320,8556,3547,507,17242,599,350,58.4,249,41.6,9067,50374,27207,547,370,107,487,303,10803,1090,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
e2d8892c,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats,vs Paris S-G,31,34.8,27.0,13137,1836,4937,5702,2663,382,13137,473,282,59.6,191,40.4,7163,39827,21266,435,354,103,356,293,7816,631,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
7fdd64e0,/en/squads/7fdd64e0/2019-2020/Reims-Stats,vs Reims,26,51.1,28.0,16895,1598,5229,8267,3570,443,16889,401,217,54.1,184,45.9,9702,52508,28049,462,408,80,457,306,10897,994,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
b3072e00,/en/squads/b3072e00/2019-2020/Rennes-Stats,vs Rennes,26,50.4,28.0,16554,1464,4931,8044,3754,507,16549,535,315,58.9,218,40.7,9006,47984,25042,499,376,101,446,283,10384,980,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
d298ef2c,/en/squads/d298ef2c/2019-2020/Saint-Etienne-Stats,vs Saint-Étienne,31,51.8,28.0,17404,1613,5159,9066,3354,475,17398,508,289,56.9,219,43.1,9500,49945,25588,456,339,103,454,293,11071,1001,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
c0d3eab4,/en/squads/c0d3eab4/2019-2020/Strasbourg-Stats,vs Strasbourg,25,50.4,27.0,15977,1450,4713,8021,3393,401,15970,403,214,53.1,189,46.9,8833,53100,28834,543,397,94,460,283,10393,1010,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
3f8c4b5f,/en/squads/3f8c4b5f/2019-2020/Toulouse-Stats,vs Toulouse,30,55.8,28.0,18896,1517,5210,9448,4407,625,18891,508,288,56.7,220,43.3,10546,57199,31033,615,418,167,435,329,12734,1365,13,2019-2020,94c0e71f-17db-4ab4-81a4-5b89a88fe2cb
