team_id,team_url,team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,competition_id,season_id,id
25622401,/en/squads/25622401/2018-2019/Amiens-Stats,Amiens,26,46.5,38.0,20420,2115,6267,10079,4295,507,20417,485,257,53.0,227,46.8,10378,57014,28955,518,388,85,645,402,11837,1256,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
69236f98,/en/squads/69236f98/2018-2019/Angers-Stats,Angers,24,43.3,38.0,21133,1925,6496,10339,4544,649,21123,561,316,56.3,245,43.7,10395,59303,31790,700,537,134,611,446,12834,1304,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
123f3efe,/en/squads/123f3efe/2018-2019/Bordeaux-Stats,Bordeaux,33,50.1,38.0,22991,2210,7383,11299,4566,556,22985,657,345,52.5,312,47.5,12741,69799,37229,742,532,140,606,427,14411,1364,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
74229020,/en/squads/74229020/2018-2019/Caen-Stats,Caen,26,44.0,38.0,20025,2201,6881,9794,3563,450,20021,535,268,50.1,267,49.9,9667,53957,26317,500,405,66,656,412,11381,1008,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
8dfb7350,/en/squads/8dfb7350/2018-2019/Dijon-Stats,Dijon,26,47.9,38.0,21354,2162,6625,10126,4857,598,21350,602,350,58.1,252,41.9,11125,67253,35482,677,515,115,603,383,12929,1328,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
d41b5f53,/en/squads/d41b5f53/2018-2019/Guingamp-Stats,Guingamp,30,44.1,38.0,19990,1856,5712,9693,4825,680,19984,573,354,61.8,219,38.2,9165,59010,29292,645,489,139,605,475,11242,1377,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
cb188c0c,/en/squads/cb188c0c/2018-2019/Lille-Stats,Lille,25,51.4,38.0,22423,1942,6276,11493,4899,672,22410,632,365,57.8,267,42.2,12898,73225,39974,757,648,172,550,461,14412,1448,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
d53c0b06,/en/squads/d53c0b06/2018-2019/Lyon-Stats,Lyon,25,60.4,38.0,26905,1993,6483,14139,6516,1008,26895,764,463,60.6,301,39.4,17306,95052,52811,977,708,255,601,454,18891,2073,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
5725cc7b,/en/squads/5725cc7b/2018-2019/Marseille-Stats,Marseille,24,55.2,38.0,24294,1972,6839,12198,5526,787,24289,655,355,54.2,299,45.6,14818,78072,41164,809,639,159,570,366,15837,1461,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
fd6114db,/en/squads/fd6114db/2018-2019/Monaco-Stats,Monaco,42,49.8,38.0,22263,1881,6325,10873,5284,694,22258,574,292,50.9,282,49.1,12649,70228,39454,773,547,134,640,350,14006,1612,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
281b0e73,/en/squads/281b0e73/2018-2019/Montpellier-Stats,Montpellier,25,48.0,38.0,22177,2056,6793,10466,5110,659,22174,563,303,53.8,260,46.2,10848,60471,30342,601,426,127,600,387,13466,1485,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
d7a486cd,/en/squads/d7a486cd/2018-2019/Nantes-Stats,Nantes,33,50.1,38.0,22164,2063,6408,10385,5599,691,22156,507,280,55.2,227,44.8,11768,58910,31689,656,509,131,645,396,13223,1464,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
132ebc33,/en/squads/132ebc33/2018-2019/Nice-Stats,Nice,30,54.8,38.0,25818,2474,8543,12993,4533,667,25809,927,506,54.6,421,45.4,13450,70876,39675,740,517,242,653,409,17947,1523,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
1cbf5f9e,/en/squads/1cbf5f9e/2018-2019/Nimes-Stats,Nîmes,23,45.7,38.0,20197,1847,6344,9054,5034,663,20191,681,362,53.2,319,46.8,10101,58854,31970,717,482,185,645,405,11265,1216,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
e2d8892c,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats,Paris S-G,30,63.7,38.0,28901,1840,6504,15314,7323,1110,28888,748,453,60.6,293,39.2,17807,95583,54256,993,746,253,501,454,21754,2190,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
7fdd64e0,/en/squads/7fdd64e0/2018-2019/Reims-Stats,Reims,27,43.6,38.0,20060,2151,7361,8846,4127,608,20058,588,319,54.3,269,45.7,10123,61064,32182,593,398,123,603,338,11495,1253,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
b3072e00,/en/squads/b3072e00/2018-2019/Rennes-Stats,Rennes,28,50.6,38.0,22207,1905,6565,10831,5086,673,22197,768,390,50.8,378,49.2,12496,73573,39806,884,602,180,611,373,14057,1514,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
d298ef2c,/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats,Saint-Étienne,29,52.5,38.0,23365,2117,7530,10996,5066,769,23360,568,314,55.3,254,44.7,11619,64037,34370,753,492,177,518,408,14976,1530,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
c0d3eab4,/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats,Strasbourg,26,50.1,38.0,22722,2144,7076,10905,4953,565,22716,515,286,55.5,229,44.5,13141,68647,37582,683,549,109,591,399,14623,1449,13,2018-2019,aa6a3500-64bc-44f9-8279-bafd8f4dced4
