team_id,team_url,team,players_used_away,minutes_90s_away,goals_away,shots_away,shots_on_target_away,shots_on_target_pct_away,shots_per90_away,shots_on_target_per90_away,goals_per_shot_away,goals_per_shot_on_target_away,average_shot_distance_away,pens_made_away,pens_att_away,competition_id,season_id,id
69236f98,/en/squads/69236f98/2016-2017/Angers-Stats,vs Angers,29,38.0,45,411,131,31.9,10.82,3.45,0.10,0.33,,2,2,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
6283be2c,/en/squads/6283be2c/2016-2017/Bastia-Stats,vs Bastia,29,38.0,52,484,176,36.4,12.74,4.63,0.10,0.27,,4,8,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
123f3efe,/en/squads/123f3efe/2016-2017/Bordeaux-Stats,vs Bordeaux,27,38.0,41,460,163,35.4,12.11,4.29,0.08,0.23,,4,4,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
74229020,/en/squads/74229020/2016-2017/Caen-Stats,vs Caen,27,38.0,63,472,163,34.5,12.42,4.29,0.12,0.34,,8,8,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
8dfb7350,/en/squads/8dfb7350/2016-2017/Dijon-Stats,vs Dijon,27,38.0,57,556,198,35.6,14.63,5.21,0.09,0.24,,9,12,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
d41b5f53,/en/squads/d41b5f53/2016-2017/Guingamp-Stats,vs Guingamp,25,38.0,52,486,156,32.1,12.79,4.11,0.09,0.29,,7,11,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
cb188c0c,/en/squads/cb188c0c/2016-2017/Lille-Stats,vs Lille,31,38.0,46,437,153,35.0,11.50,4.03,0.10,0.27,,4,6,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
d2c87802,/en/squads/d2c87802/2016-2017/Lorient-Stats,vs Lorient,30,38.0,68,456,198,43.4,12.00,5.21,0.14,0.32,,4,5,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
d53c0b06,/en/squads/d53c0b06/2016-2017/Lyon-Stats,vs Lyon,27,38.0,47,422,139,32.9,11.11,3.66,0.10,0.30,,5,6,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
5725cc7b,/en/squads/5725cc7b/2016-2017/Marseille-Stats,vs Marseille,27,38.0,40,453,163,36.0,11.92,4.29,0.08,0.23,,2,2,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
f83960ae,/en/squads/f83960ae/2016-2017/Metz-Stats,vs Metz,31,38.0,71,594,211,35.5,15.63,5.55,0.11,0.31,,5,7,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
fd6114db,/en/squads/fd6114db/2016-2017/Monaco-Stats,vs Monaco,29,38.0,31,369,118,32.0,9.71,3.11,0.08,0.24,,3,5,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
281b0e73,/en/squads/281b0e73/2016-2017/Montpellier-Stats,vs Montpellier,32,38.0,64,436,165,37.8,11.47,4.34,0.13,0.35,,7,7,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
e88fc6e5,/en/squads/e88fc6e5/2016-2017/Nancy-Stats,vs Nancy,27,38.0,50,488,175,35.9,12.84,4.61,0.09,0.25,,7,8,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
d7a486cd,/en/squads/d7a486cd/2016-2017/Nantes-Stats,vs Nantes,27,38.0,53,422,152,36.0,11.11,4.00,0.10,0.29,,9,9,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
132ebc33,/en/squads/132ebc33/2016-2017/Nice-Stats,vs Nice,27,38.0,35,503,153,30.4,13.24,4.03,0.06,0.20,,4,4,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
e2d8892c,/en/squads/e2d8892c/2016-2017/Paris-Saint-Germain-Stats,vs Paris S-G,28,38.0,26,347,94,27.1,9.13,2.47,0.07,0.26,,2,3,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
b3072e00,/en/squads/b3072e00/2016-2017/Rennes-Stats,vs Rennes,31,38.0,41,406,141,34.7,10.68,3.71,0.10,0.28,,1,4,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
d298ef2c,/en/squads/d298ef2c/2016-2017/Saint-Etienne-Stats,vs Saint-Étienne,34,38.0,42,491,174,35.4,12.92,4.58,0.08,0.23,,2,4,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
3f8c4b5f,/en/squads/3f8c4b5f/2016-2017/Toulouse-Stats,vs Toulouse,30,38.0,41,478,157,32.8,12.58,4.13,0.07,0.21,,8,9,13,2016-2017,cdd2ee34-792f-4077-96e7-fc75931b0287
