team_id,team_url,team,players_used_away,minutes_90s_away,goals_away,shots_away,shots_on_target_away,shots_on_target_pct_away,shots_per90_away,shots_on_target_per90_away,goals_per_shot_away,goals_per_shot_on_target_away,average_shot_distance_away,shots_free_kicks_away,pens_made_away,pens_att_away,xg_away,npxg_away,npxg_per_shot_away,xg_net_away,npxg_net_away,competition_id,season_id,id
7a54bb4f,/en/squads/7a54bb4f/2022-2023/Ajaccio-Stats,vs Ajaccio,36,38.0,72,410,152,37.1,10.79,4.00,0.15,0.41,17.6,18,9,10,53.9,46.3,0.12,+18.1,+16.7,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
69236f98,/en/squads/69236f98/2022-2023/Angers-Stats,vs Angers,33,38.0,77,452,187,41.4,11.89,4.92,0.15,0.36,17.1,19,9,11,61.7,53.2,0.12,+15.3,+14.8,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
5ae09109,/en/squads/5ae09109/2022-2023/Auxerre-Stats,vs Auxerre,33,38.0,62,466,175,37.6,12.26,4.61,0.12,0.33,16.4,15,4,6,58.7,54.5,0.12,+3.3,+3.5,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
fb08dbb3,/en/squads/fb08dbb3/2022-2023/Brest-Stats,vs Brest,29,38.0,52,480,170,35.4,12.63,4.47,0.09,0.26,16.3,17,7,9,56.1,49.0,0.10,-4.1,-4.0,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
d9676424,/en/squads/d9676424/2022-2023/Clermont-Foot-Stats,vs Clermont Foot,28,38.0,49,475,152,32.0,12.50,4.00,0.09,0.27,18.1,19,8,12,58.2,48.7,0.10,-9.2,-7.7,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
fd4e0f7d,/en/squads/fd4e0f7d/2022-2023/Lens-Stats,vs Lens,29,38.0,28,389,126,32.4,10.24,3.32,0.06,0.20,17.8,7,3,3,43.5,41.1,0.11,-15.5,-16.1,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
cb188c0c,/en/squads/cb188c0c/2022-2023/Lille-Stats,vs Lille,26,38.0,41,324,117,36.1,8.53,3.08,0.11,0.32,17.3,8,4,5,40.5,36.6,0.12,+0.5,+0.4,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
d2c87802,/en/squads/d2c87802/2022-2023/Lorient-Stats,vs Lorient,30,38.0,52,563,180,32.0,14.82,4.74,0.09,0.28,17.2,17,2,2,58.2,56.6,0.10,-6.2,-6.6,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
d53c0b06,/en/squads/d53c0b06/2022-2023/Lyon-Stats,vs Lyon,29,38.0,44,417,144,34.5,10.97,3.79,0.08,0.23,17.3,18,11,11,51.6,43.0,0.11,-7.6,-10.0,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
5725cc7b,/en/squads/5725cc7b/2022-2023/Marseille-Stats,vs Marseille,30,38.0,37,422,137,32.5,11.11,3.61,0.08,0.23,18.1,10,5,5,42.5,38.5,0.09,-5.5,-6.5,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
fd6114db,/en/squads/fd6114db/2022-2023/Monaco-Stats,vs Monaco,27,38.0,55,507,190,37.5,13.34,5.00,0.10,0.26,18.0,11,5,5,53.2,49.7,0.10,+1.8,+0.3,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
281b0e73,/en/squads/281b0e73/2022-2023/Montpellier-Stats,vs Montpellier,31,38.0,60,512,192,37.5,13.47,5.05,0.11,0.28,17.6,19,6,11,62.2,53.5,0.11,-2.2,+0.5,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
d7a486cd,/en/squads/d7a486cd/2022-2023/Nantes-Stats,vs Nantes,29,38.0,51,448,176,39.3,11.79,4.63,0.09,0.24,17.3,19,9,9,52.4,45.5,0.10,-1.4,-3.5,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
132ebc33,/en/squads/132ebc33/2022-2023/Nice-Stats,vs Nice,34,38.0,37,441,143,32.4,11.61,3.76,0.08,0.24,18.0,13,3,5,44.6,40.6,0.09,-7.6,-6.6,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
e2d8892c,/en/squads/e2d8892c/2022-2023/Paris-Saint-Germain-Stats,vs Paris S-G,26,38.0,39,442,157,35.5,11.63,4.13,0.08,0.24,18.0,13,2,5,48.3,44.3,0.10,-9.3,-7.3,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
7fdd64e0,/en/squads/7fdd64e0/2022-2023/Reims-Stats,vs Reims,34,38.0,43,485,163,33.6,12.76,4.29,0.08,0.25,17.2,21,3,3,52.7,50.3,0.11,-9.7,-10.3,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
b3072e00,/en/squads/b3072e00/2022-2023/Rennes-Stats,vs Rennes,32,38.0,38,370,121,32.7,9.74,3.18,0.09,0.29,17.3,9,3,5,44.1,40.2,0.11,-6.1,-5.2,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
c0d3eab4,/en/squads/c0d3eab4/2022-2023/Strasbourg-Stats,vs Strasbourg,29,38.0,59,414,164,39.6,10.89,4.32,0.12,0.30,17.1,18,10,11,55.3,47.1,0.12,+3.7,+1.9,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
3f8c4b5f,/en/squads/3f8c4b5f/2022-2023/Toulouse-Stats,vs Toulouse,29,38.0,54,534,172,32.2,14.05,4.53,0.09,0.29,17.9,22,4,7,57.0,51.4,0.10,-3.0,-1.4,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
54195385,/en/squads/54195385/2022-2023/Troyes-Stats,vs Troyes,32,38.0,79,618,220,35.6,16.26,5.79,0.12,0.33,16.5,20,7,8,78.0,71.7,0.12,+1.0,+0.3,13,2022-2023,cfb01c40-eb94-4036-8546-f825bc1de5ce
