team_id,team_url,team,players_used_away,avg_age_away,possession_away,games_away,games_starts_away,minutes_away,minutes_90s_away,goals_away,assists_away,goals_assists_away,goals_pens_away,pens_made_away,pens_att_away,cards_yellow_away,cards_red_away,goals_per90_away,assists_per90_away,goals_assists_per90_away,goals_pens_per90_away,goals_assists_pens_per90_away,competition_id,season_id,id
69236f98,/en/squads/69236f98/2015-2016/Angers-Stats,vs Angers,29,26.5,57.5,38,418,"3,420",38.0,37,25,62,33,4,5,81,2,0.97,0.66,1.63,0.87,1.53,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
6283be2c,/en/squads/6283be2c/2015-2016/Bastia-Stats,vs Bastia,26,26.6,56.6,38,418,"3,420",38.0,41,27,68,37,4,6,78,7,1.08,0.71,1.79,0.97,1.68,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
123f3efe,/en/squads/123f3efe/2015-2016/Bordeaux-Stats,vs Bordeaux,35,26.5,49.2,38,418,"3,420",38.0,55,34,89,50,5,8,70,5,1.45,0.89,2.34,1.32,2.21,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
74229020,/en/squads/74229020/2015-2016/Caen-Stats,vs Caen,24,26.4,59.8,38,418,"3,420",38.0,50,36,86,48,2,2,71,3,1.32,0.95,2.26,1.26,2.21,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
73905dde,/en/squads/73905dde/2015-2016/Gazelec-Ajaccio-Stats,vs Gazélec Ajaccio,23,26.4,53.0,38,418,"3,420",38.0,54,40,94,49,5,5,58,2,1.42,1.05,2.47,1.29,2.34,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
d41b5f53,/en/squads/d41b5f53/2015-2016/Guingamp-Stats,vs Guingamp,28,26.2,57.2,38,418,"3,420",38.0,52,34,86,47,5,7,89,13,1.37,0.89,2.26,1.24,2.13,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
cb188c0c,/en/squads/cb188c0c/2015-2016/Lille-Stats,vs Lille,32,26.5,48.9,38,418,"3,420",38.0,27,20,47,25,2,5,103,9,0.71,0.53,1.24,0.66,1.18,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
d2c87802,/en/squads/d2c87802/2015-2016/Lorient-Stats,vs Lorient,31,26.3,51.0,38,418,"3,420",38.0,58,38,96,55,3,3,64,4,1.53,1.00,2.53,1.45,2.45,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
d53c0b06,/en/squads/d53c0b06/2015-2016/Lyon-Stats,vs Lyon,30,26.6,38.7,38,418,"3,420",38.0,41,26,67,39,2,2,99,8,1.08,0.68,1.76,1.03,1.71,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
5725cc7b,/en/squads/5725cc7b/2015-2016/Marseille-Stats,vs Marseille,28,26.6,43.4,38,418,"3,420",38.0,40,28,68,34,6,7,71,2,1.05,0.74,1.79,0.89,1.63,13,2015-2016,e1d4bd14-b3a5-4316-94c8-94eeb988dcc2
