team_id,team_url,team,players_used_away,avg_age_away,possession_away,games_away,games_starts_away,minutes_away,minutes_90s_away,goals_away,assists_away,goals_assists_away,goals_pens_away,pens_made_away,pens_att_away,cards_yellow_away,cards_red_away,xg_away,npxg_away,xg_assist_away,npxg_xg_assist_away,progressive_carries_away,progressive_passes_away,goals_per90_away,assists_per90_away,goals_assists_per90_away,goals_pens_per90_away,goals_assists_pens_per90_away,xg_per90_away,xg_assist_per90_away,xg_xg_assist_per90_away,npxg_per90_away,npxg_xg_assist_per90_away,competition_id,season_id,id
25622401,/en/squads/25622401/2017-2018/Amiens-Stats,vs Amiens,30,26.0,56.7,38,418,"3,420",38.0,42,30,72,38,4,4,55,2,54.9,51.9,40.2,92.1,807,1751,1.11,0.79,1.89,1.00,1.79,1.45,1.06,2.50,1.36,2.42,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
69236f98,/en/squads/69236f98/2017-2018/Angers-Stats,vs Angers,27,25.8,54.9,38,418,"3,420",38.0,48,34,82,41,7,7,83,7,45.8,40.3,33.4,73.8,749,1777,1.26,0.89,2.16,1.08,1.97,1.21,0.88,2.09,1.06,1.94,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
123f3efe,/en/squads/123f3efe/2017-2018/Bordeaux-Stats,vs Bordeaux,31,25.8,49.4,38,418,"3,420",38.0,47,30,77,43,4,8,73,3,43.6,37.7,28.0,65.7,660,1408,1.24,0.79,2.03,1.13,1.92,1.15,0.74,1.88,0.99,1.73,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
74229020,/en/squads/74229020/2017-2018/Caen-Stats,vs Caen,26,25.9,54.5,38,418,"3,420",38.0,48,31,79,43,5,5,73,2,48.0,44.1,34.2,78.3,666,1553,1.26,0.82,2.08,1.13,1.95,1.26,0.90,2.16,1.16,2.06,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
8dfb7350,/en/squads/8dfb7350/2017-2018/Dijon-Stats,vs Dijon,26,25.8,51.6,38,418,"3,420",38.0,70,46,116,59,11,14,59,3,63.8,52.7,39.8,92.6,783,1635,1.84,1.21,3.05,1.55,2.76,1.68,1.05,2.73,1.39,2.44,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
d41b5f53,/en/squads/d41b5f53/2017-2018/Guingamp-Stats,vs Guingamp,23,25.8,50.3,38,418,"3,420",38.0,58,48,106,53,5,7,76,6,49.0,43.4,36.1,79.5,763,1493,1.53,1.26,2.79,1.39,2.66,1.29,0.95,2.24,1.14,2.09,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
cb188c0c,/en/squads/cb188c0c/2017-2018/Lille-Stats,vs Lille,25,26.1,46.2,38,418,"3,420",38.0,64,44,108,59,5,7,71,2,57.9,52.5,41.3,93.8,697,1459,1.68,1.16,2.84,1.55,2.71,1.52,1.09,2.61,1.38,2.47,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
d53c0b06,/en/squads/d53c0b06/2017-2018/Lyon-Stats,vs Lyon,26,26.0,44.4,38,418,"3,420",38.0,40,24,64,35,5,8,75,7,40.1,34.1,25.0,59.1,689,1348,1.05,0.63,1.68,0.92,1.55,1.06,0.66,1.71,0.90,1.55,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
5725cc7b,/en/squads/5725cc7b/2017-2018/Marseille-Stats,vs Marseille,26,26.0,42.2,38,418,"3,420",38.0,45,30,75,41,4,6,64,5,41.8,37.1,27.5,64.6,616,1231,1.18,0.79,1.97,1.08,1.87,1.10,0.72,1.82,0.98,1.70,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
f83960ae,/en/squads/f83960ae/2017-2018/Metz-Stats,vs Metz,36,25.8,54.5,38,418,"3,420",38.0,74,53,127,71,3,5,54,5,71.3,67.2,54.4,121.6,750,1763,1.95,1.39,3.34,1.87,3.26,1.88,1.43,3.31,1.77,3.20,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
fd6114db,/en/squads/fd6114db/2017-2018/Monaco-Stats,vs Monaco,32,26.0,49.1,38,418,"3,420",38.0,44,34,78,39,5,5,68,4,48.5,45.0,35.8,80.8,647,1381,1.16,0.89,2.05,1.03,1.92,1.28,0.94,2.22,1.18,2.13,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
281b0e73,/en/squads/281b0e73/2017-2018/Montpellier-Stats,vs Montpellier,23,26.0,53.0,38,418,"3,420",38.0,33,23,56,28,5,6,77,2,39.0,34.4,27.5,61.9,701,1461,0.87,0.61,1.47,0.74,1.34,1.03,0.72,1.75,0.91,1.63,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
d7a486cd,/en/squads/d7a486cd/2017-2018/Nantes-Stats,vs Nantes,30,26.2,56.3,38,418,"3,420",38.0,40,32,72,37,3,4,73,2,38.1,34.9,26.0,60.9,799,1757,1.05,0.84,1.89,0.97,1.82,1.00,0.68,1.69,0.92,1.60,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
132ebc33,/en/squads/132ebc33/2017-2018/Nice-Stats,vs Nice,31,26.1,41.9,38,418,"3,420",38.0,49,38,87,46,3,5,70,4,49.5,45.6,34.3,79.9,706,1495,1.29,1.00,2.29,1.21,2.21,1.30,0.90,2.20,1.20,2.10,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
e2d8892c,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats,vs Paris S-G,28,26.0,33.7,38,418,"3,420",38.0,28,19,47,25,3,5,77,3,34.3,30.5,22.9,53.4,691,1057,0.74,0.50,1.24,0.66,1.16,0.90,0.60,1.51,0.80,1.40,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
b3072e00,/en/squads/b3072e00/2017-2018/Rennes-Stats,vs Rennes,28,26.3,50.1,38,418,"3,420",38.0,42,32,74,37,5,8,104,7,49.3,43.0,33.8,76.8,688,1428,1.11,0.84,1.95,0.97,1.82,1.30,0.89,2.19,1.13,2.02,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
d298ef2c,/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats,vs Saint-Étienne,30,26.0,48.7,38,418,"3,420",38.0,49,30,79,43,6,7,68,4,54.1,48.6,37.4,86.0,784,1470,1.29,0.79,2.08,1.13,1.92,1.42,0.98,2.41,1.28,2.26,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
c0d3eab4,/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats,vs Strasbourg,25,25.9,50.9,38,418,"3,420",38.0,67,45,112,61,6,7,80,4,58.4,52.9,42.7,95.6,813,1631,1.76,1.18,2.95,1.61,2.79,1.54,1.12,2.66,1.39,2.52,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
3f8c4b5f,/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats,vs Toulouse,25,26.2,54.3,38,418,"3,420",38.0,52,35,87,46,6,6,77,9,52.1,47.8,37.5,85.3,721,1573,1.37,0.92,2.29,1.21,2.13,1.37,0.99,2.36,1.26,2.24,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
54195385,/en/squads/54195385/2017-2018/Troyes-Stats,vs Troyes,25,25.9,57.4,38,418,"3,420",38.0,58,40,98,54,4,5,51,5,52.0,48.5,37.2,85.7,895,1756,1.53,1.05,2.58,1.42,2.47,1.37,0.98,2.35,1.28,2.26,13,2017-2018,21a5c8f9-c4c0-474e-a92a-15325dbcf589
