team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,competition_id,season_id,id
69236f98,/en/squads/69236f98/2016-2017/Angers-Stats,Angers,29,26.7,46.1,38,418,"3,420",38.0,39,25,64,36,3,4,60,1,1.03,0.66,1.68,0.95,1.61,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
6283be2c,/en/squads/6283be2c/2016-2017/Bastia-Stats,Bastia,29,26.9,43.4,38,418,"3,420",38.0,28,18,46,28,0,1,85,7,0.74,0.47,1.21,0.74,1.21,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
123f3efe,/en/squads/123f3efe/2016-2017/Bordeaux-Stats,Bordeaux,27,25.9,48.3,38,418,"3,420",38.0,51,35,86,47,4,7,67,1,1.34,0.92,2.26,1.24,2.16,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
74229020,/en/squads/74229020/2016-2017/Caen-Stats,Caen,27,28.7,45.8,38,418,"3,420",38.0,35,28,63,31,4,5,61,1,0.92,0.74,1.66,0.82,1.55,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
8dfb7350,/en/squads/8dfb7350/2016-2017/Dijon-Stats,Dijon,27,27.7,46.4,38,418,"3,420",38.0,42,29,71,39,3,4,74,3,1.11,0.76,1.87,1.03,1.79,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
d41b5f53,/en/squads/d41b5f53/2016-2017/Guingamp-Stats,Guingamp,25,27.6,47.5,38,418,"3,420",38.0,46,33,79,42,4,4,63,3,1.21,0.87,2.08,1.11,1.97,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
cb188c0c,/en/squads/cb188c0c/2016-2017/Lille-Stats,Lille,31,26.9,51.1,38,418,"3,420",38.0,40,26,66,34,6,7,64,3,1.05,0.68,1.74,0.89,1.58,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
d2c87802,/en/squads/d2c87802/2016-2017/Lorient-Stats,Lorient,30,26.8,50.5,38,418,"3,420",38.0,43,30,73,39,4,6,68,0,1.13,0.79,1.92,1.03,1.82,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
d53c0b06,/en/squads/d53c0b06/2016-2017/Lyon-Stats,Lyon,27,25.0,59.1,38,418,"3,420",38.0,74,44,118,62,12,14,65,2,1.95,1.16,3.11,1.63,2.79,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
5725cc7b,/en/squads/5725cc7b/2016-2017/Marseille-Stats,Marseille,27,27.4,55.9,38,418,"3,420",38.0,56,37,93,52,4,4,71,1,1.47,0.97,2.45,1.37,2.34,13,2016-2017,ac2a1dbf-ec80-4ef4-b6e7-68b910634910
