team_id,team_url,team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,competition_id,season_id,id
squads,/en/squads/69236f98/Angers-Stats,Angers,30,27.5,41.2,34,374,"3,060",34.0,31,17,48,26,5,6,49,2,36.0,31.3,23.5,54.7,502,953,0.91,0.50,1.41,0.76,1.26,1.06,0.69,1.75,0.92,1.61,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
squads,/en/squads/5ae09109/Auxerre-Stats,Auxerre,29,25.9,42.5,34,374,"3,060",34.0,47,35,82,43,4,5,68,4,41.0,37.3,32.0,69.3,484,1084,1.38,1.03,2.41,1.26,2.29,1.21,0.94,2.15,1.10,2.04,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
squads,/en/squads/fb08dbb3/Brest-Stats,Brest,30,28.2,48.4,34,374,"3,060",34.0,52,32,84,45,7,9,69,3,45.4,38.3,29.4,67.8,470,1096,1.53,0.94,2.47,1.32,2.26,1.33,0.87,2.20,1.13,1.99,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
squads,/en/squads/5c2737db/Le-Havre-Stats,Le Havre,31,26.9,43.1,34,374,"3,060",34.0,37,21,58,28,9,10,56,4,41.4,33.4,24.4,57.8,538,1051,1.09,0.62,1.71,0.82,1.44,1.22,0.72,1.94,0.98,1.70,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
squads,/en/squads/fd4e0f7d/Lens-Stats,Lens,33,27.1,54.1,34,374,"3,060",34.0,40,26,66,35,5,5,86,8,51.8,48.3,36.2,84.4,570,1451,1.18,0.76,1.94,1.03,1.79,1.52,1.06,2.59,1.42,2.48,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
squads,/en/squads/cb188c0c/Lille-Stats,Lille,27,26.1,57.6,34,374,"3,060",34.0,52,29,81,45,7,10,77,2,54.7,47.5,35.1,82.6,669,1616,1.53,0.85,2.38,1.32,2.18,1.61,1.03,2.64,1.40,2.43,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
squads,/en/squads/d53c0b06/Lyon-Stats,Lyon,31,27.4,56.4,34,374,"3,060",34.0,62,46,108,54,8,10,60,0,60.3,52.5,44.4,96.9,709,1615,1.82,1.35,3.18,1.59,2.94,1.77,1.31,3.08,1.54,2.85,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
5725cc7b,/en/squads/5725cc7b/2024-2025/Marseille-Stats,Marseille,32,26.7,63.3,34,374,"3,060",34.0,70,49,119,62,8,10,64,6,63.8,55.8,44.6,100.5,664,1714,2.06,1.44,3.50,1.82,3.26,1.88,1.31,3.19,1.64,2.96,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
fd6114db,/en/squads/fd6114db/2024-2025/Monaco-Stats,Monaco,28,24.4,55.0,34,374,"3,060",34.0,63,49,112,57,6,7,60,4,72.8,67.7,55.3,123.0,670,1638,1.85,1.44,3.29,1.68,3.12,2.14,1.63,3.77,1.99,3.62,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
squads,/en/squads/281b0e73/Montpellier-Stats,Montpellier,35,26.1,45.3,34,374,"3,060",34.0,23,13,36,20,3,4,87,7,33.5,30.4,23.0,53.4,529,1039,0.68,0.38,1.06,0.59,0.97,0.98,0.68,1.66,0.89,1.57,13,2024-2025,6c343084-1f22-49b4-ab9b-09580552665e
