player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches_link,competition_id,season_id,id
/en/players/7a2e46a8/Alisson,7a2e46a8,Alisson,brBRA,GK,2024-2025,Liverpool,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,31,1992,27.9,29,1,0,2,2,30.5,0.30,+3.5,+0.13,68,203,33.5,877,128,19.7,26.6,80,37.5,33.4,255,11,4.3,49,1.76,16.0,/en/players/7a2e46a8/matchlogs/2024-2025/keeper/Alisson-Match-Logs,9,2024-2025,5fa04a3d-b207-48e3-8fbc-dd7878568891
/en/players/2f965a72/Alphonse-Areola,2f965a72,Alphonse Areola,frFRA,GK,7c21e445,West Ham,/en/squads/7c21e445/West-Ham-United-Stats,31,1993,25.1,41,0,0,5,3,35.4,0.31,-2.6,-0.10,135,384,35.2,788,119,34.4,32.1,196,57.7,42.9,394,15,3.8,30,1.19,15.0,/en/players/2f965a72/matchlogs/2024-2025/keeper/Alphonse-Areola-Match-Logs,9,2024-2025,c453079a-8505-456b-9104-80857fade9ef
/en/players/28d596a0/Kepa-Arrizabalaga,28d596a0,Kepa Arrizabalaga,esESP,GK,4ba7cbea,Bournemouth,/en/squads/4ba7cbea/Bournemouth-Stats,29,1994,31.0,39,4,0,4,0,41.0,0.28,+2.0,+0.07,132,365,36.2,831,122,33.2,32.9,192,46.4,38.7,367,22,6.0,54,1.74,16.0,/en/players/28d596a0/matchlogs/2024-2025/keeper/Kepa-Arrizabalaga-Match-Logs,9,2024-2025,f1123456-9668-4285-9d6c-210676414ac5
/en/players/5e253986/Brandon-Austin,5e253986,Brandon Austin,engENG,GK,2024-2025,Tottenham,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,25,1999,1.0,2,0,0,0,0,2.2,0.55,+0.2,+0.20,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.00,12.4,/en/players/5e253986/matchlogs/2024-2025/keeper/Brandon-Austin-Match-Logs,9,2024-2025,25695164-310a-4dbd-a06d-6bfded0b4569
/en/players/072e68ed/Altay-Bayindir,072e68ed,Altay Bayındır,trTUR,GK,19538871,Manchester Utd,/en/squads/19538871/Manchester-United-Stats,26,1998,4.0,10,0,0,0,1,10.1,0.59,+1.1,+0.27,13,62,21.0,128,12,34.4,34.1,24,75.0,53.8,56,4,7.1,7,1.75,12.0,/en/players/072e68ed/matchlogs/2024-2025/keeper/Altay-Bayindir-Match-Logs,9,2024-2025,913c3936-baae-44ff-aefb-d812b65be21f
/en/players/68db6358/Daniel-Bentley,68db6358,Daniel Bentley,engENG,GK,8cec06e1,Wolves,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,31,1993,2.0,4,0,1,0,0,3.9,0.33,-0.1,-0.04,7,21,33.3,52,6,25.0,28.1,13,61.5,46.4,25,0,0.0,3,1.50,16.4,/en/players/68db6358/matchlogs/2024-2025/keeper/Daniel-Bentley-Match-Logs,9,2024-2025,d54a6c64-9ac5-4d36-a6a6-77e2b02d91c4
/en/players/3a949a25/Martin-Dubravka,3a949a25,Martin Dúbravka,skSVK,GK,2024-2025,Newcastle Utd,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,35,1989,10.0,12,0,0,1,0,12.9,0.32,+0.9,+0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.10,15.3,/en/players/3a949a25/matchlogs/2024-2025/keeper/Martin-Dubravka-Match-Logs,9,2024-2025,258b9d5f-3f32-467f-af9f-ccdd42ebd932
/en/players/3bb7b8b4/Ederson,3bb7b8b4,Ederson,brBRA,GK,2024-2025,Manchester City,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,30,1993,25.8,26,2,0,3,1,30.0,0.37,+5.0,+0.19,72,165,43.6,846,108,17.4,27.9,77,23.4,31.9,224,13,5.8,49,1.90,17.5,/en/players/3bb7b8b4/matchlogs/2024-2025/keeper/Ederson-Match-Logs,9,2024-2025,8acf93c3-ef0c-4d36-b227-389e084054c7
/en/players/9328b835/Lukasz-Fabianski,9328b835,Łukasz Fabiański,plPOL,GK,7c21e445,West Ham,/en/squads/7c21e445/West-Ham-United-Stats,39,1985,12.9,21,3,1,3,0,22.6,0.29,+1.6,+0.12,77,226,34.1,394,55,41.9,35.5,100,61.0,45.1,220,10,4.5,12,0.93,13.1,/en/players/9328b835/matchlogs/2024-2025/keeper/Lukasz-Fabianski-Match-Logs,9,2024-2025,0fbd0403-dfdf-4afb-bdaf-54696de70c5a
/en/players/a92ab7be/Mark-Flekken,a92ab7be,Mark Flekken,nlNED,GK,cd051869,Brentford,/en/squads/cd051869/Brentford-Stats,31,1993,36.4,55,1,0,2,2,52.7,0.26,-0.3,-0.01,249,659,37.8,1498,122,33.7,34.4,212,72.6,54.8,581,46,7.9,34,0.93,11.5,/en/players/a92ab7be/matchlogs/2024-2025/keeper/Mark-Flekken-Match-Logs,9,2024-2025,535d6d0f-2836-412f-a4d7-722c6b405c90
/en/players/c3e39f12/Fraser-Forster,c3e39f12,Fraser Forster,engENG,GK,2024-2025,Tottenham,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,36,1988,7.0,15,2,0,1,0,16.5,0.36,+1.5,+0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1,/en/players/c3e39f12/matchlogs/2024-2025/keeper/Fraser-Forster-Match-Logs,9,2024-2025,de1856d9-1f42-45d9-bbe0-b5bab5aa8a80
/en/players/e5a76dfe/Dean-Henderson,e5a76dfe,Dean Henderson,engENG,GK,47c64c55,Crystal Palace,/en/squads/47c64c55/Crystal-Palace-Stats,27,1997,38.0,51,1,1,5,3,51.2,0.35,+3.2,+0.08,157,600,26.2,942,115,47.5,38.5,273,56.0,44.9,559,30,5.4,40,1.05,14.3,/en/players/e5a76dfe/matchlogs/2024-2025/keeper/Dean-Henderson-Match-Logs,9,2024-2025,c954bc82-d013-4cd3-9e62-fbd5cbefb28c
/en/players/c924b17d/Mads-Hermansen,c924b17d,Mads Hermansen,dkDEN,GK,a2d435b3,Leicester City,/en/squads/a2d435b3/Leicester-City-Stats,24,2000,26.5,58,3,0,3,3,56.4,0.35,+1.4,+0.05,114,471,24.2,926,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1,/en/players/c924b17d/matchlogs/2024-2025/keeper/Mads-Hermansen-Match-Logs,9,2024-2025,a3a18425-4f4d-4eff-8445-38e98509c134
/en/players/12bb4d6a/Vitezslav-Jaros,12bb4d6a,Vitezslav Jaros,czCZE,GK,2024-2025,Liverpool,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,23,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,+0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.00,11.0,/en/players/12bb4d6a/matchlogs/2024-2025/keeper/Vitezslav-Jaros-Match-Logs,9,2024-2025,44edc7ae-ee0e-421c-b390-b0472f7c6717
