player_link,player_id,player_name,nationality,position,team_id,team_name,team_link,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches_link,competition_id,season_id,id
/en/players/774cf58b/Max-Aarons,774cf58b,Max Aarons,engENG,DF,2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,23,2000,13.7,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,+0.2,7,25,13,2,43,/en/players/774cf58b/matchlogs/2023-2024/passing/Max-Aarons-Match-Logs,9,2023-2024,2dac8120-0cab-44f9-96ed-eda547e137e8
/en/players/b7e62e1d/Joshua-Acheampong,b7e62e1d,Joshua Acheampong,engENG,DF,2023-2024,Chelsea,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,17,2006,0.1,1,2,50.0,18,7,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,/en/players/b7e62e1d/matchlogs/2023-2024/passing/Joshua-Acheampong-Match-Logs,9,2023-2024,40c82ac5-4b92-4d0e-81ba-0dc5b7858b41
/en/players/2b09d998/Tyler-Adams,2b09d998,Tyler Adams,usUSA,MF,2023-2024,Bournemouth,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,24,1999,1.3,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,/en/players/2b09d998/matchlogs/2023-2024/passing/Tyler-Adams-Match-Logs,9,2023-2024,dcb3448f-63d5-4920-b17f-86f788cf15e5
/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Tosin Adarabioyo,engENG,DF,2023-2024,Fulham,/en/squads/fd962109/2023-2024/Fulham-Stats,25,1997,18.0,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,/en/players/c81d773d/matchlogs/2023-2024/passing/Tosin-Adarabioyo-Match-Logs,9,2023-2024,5c0ee5cb-53e1-46e5-be14-4ea8d32c6910
/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Elijah Adebayo,engENG,FW,2023-2024,Luton Town,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,25,1998,15.8,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,/en/players/0480ebc7/matchlogs/2023-2024/passing/Elijah-Adebayo-Match-Logs,9,2023-2024,5bd0c663-5943-4d55-bdbe-4a02ecaf6816
/en/players/4dcec659/Simon-Adingra,4dcec659,Simon Adingra,ciCIV,FW,2023-2024,Brighton,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,21,2002,24.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,/en/players/4dcec659/matchlogs/2023-2024/passing/Simon-Adingra-Match-Logs,9,2023-2024,7288bf50-a7e4-4bdc-893f-3c6877de7264
/en/players/288e1e13/Nayef-Aguerd,288e1e13,Nayef Aguerd,maMAR,DF,2023-2024,West Ham,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,27,1996,20.6,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,/en/players/288e1e13/matchlogs/2023-2024/passing/Nayef-Aguerd-Match-Logs,9,2023-2024,be0cb9ec-e3d0-46d0-8863-58a7dee5a076
/en/players/938fa024/Brandon-Aguilera,938fa024,Brandon Aguilera,crCRC,FW,2023-2024,Nott'ham Forest,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,20,2003,0.1,4,8,50.0,48,23,3,6,50.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,/en/players/938fa024/matchlogs/2023-2024/passing/Brandon-Aguilera-Match-Logs,9,2023-2024,613de369-8f8c-4d30-91e1-9ae4e141be59
/en/players/a6c58494/Naouirou-Ahamada,a6c58494,Naouirou Ahamada,frFRA,"MF,FW",2023-2024,Crystal Palace,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,21,2002,3.9,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,/en/players/a6c58494/matchlogs/2023-2024/passing/Naouirou-Ahamada-Match-Logs,9,2023-2024,ede58b46-5664-4e38-ae72-30a88e6dbaaf
/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,Anel Ahmedhodžić,baBIH,DF,2023-2024,Sheffield Utd,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,24,1999,29.4,749,993,75.4,12780,5078,334,386,86.5,348,425,81.9,54,137,39.4,0,0.8,0.6,-0.8,7,41,3,1,43,/en/players/eab957a3/matchlogs/2023-2024/passing/Anel-Ahmedhodzic-Match-Logs,9,2023-2024,409f0736-29e9-45a2-aaaa-cddff5f4df24
