rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,a2d435b3,/en/squads/a2d435b3/2015-2016/Leicester-City-Stats,Leicester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a2d435b3.png,19,12,6,1,35,18,+17,42,2.21,19,11,6,2,33,18,+15,39,2.05,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
2,18bb7c10,/en/squads/18bb7c10/2015-2016/Arsenal-Stats,Arsenal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.18bb7c10.png,19,12,4,3,31,11,+20,40,2.11,19,8,7,4,34,25,+9,31,1.63,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
3,361ca564,/en/squads/361ca564/2015-2016/Tottenham-Hotspur-Stats,Tottenham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.361ca564.png,19,10,6,3,35,15,+20,36,1.89,19,9,7,3,34,20,+14,34,1.79,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
4,b8fd03ef,/en/squads/b8fd03ef/2015-2016/Manchester-City-Stats,Manchester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b8fd03ef.png,19,12,2,5,47,21,+26,38,2.00,19,7,7,5,24,20,+4,28,1.47,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
5,19538871,/en/squads/19538871/2015-2016/Manchester-United-Stats,Manchester Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19538871.png,19,12,5,2,27,9,+18,41,2.16,19,7,4,8,22,26,-4,25,1.32,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
6,33c895d4,/en/squads/33c895d4/2015-2016/Southampton-Stats,Southampton,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.33c895d4.png,19,11,3,5,39,22,+17,36,1.89,19,7,6,6,20,19,+1,27,1.42,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
7,7c21e445,/en/squads/7c21e445/2015-2016/West-Ham-United-Stats,West Ham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7c21e445.png,19,9,7,3,34,26,+8,34,1.79,19,7,7,5,31,25,+6,28,1.47,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
8,822bd0ba,/en/squads/822bd0ba/2015-2016/Liverpool-Stats,Liverpool,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.822bd0ba.png,19,8,8,3,33,22,+11,32,1.68,19,8,4,7,30,28,+2,28,1.47,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
9,17892952,/en/squads/17892952/2015-2016/Stoke-City-Stats,Stoke City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.17892952.png,19,8,4,7,22,24,-2,28,1.47,19,6,5,8,19,31,-12,23,1.21,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
10,cff3d9bb,/en/squads/cff3d9bb/2015-2016/Chelsea-Stats,Chelsea,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cff3d9bb.png,19,5,9,5,32,30,+2,24,1.26,19,7,5,7,27,23,+4,26,1.37,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
11,d3fd31cc,/en/squads/d3fd31cc/2015-2016/Everton-Stats,Everton,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d3fd31cc.png,19,6,5,8,35,30,+5,23,1.21,19,5,9,5,24,25,-1,24,1.26,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
12,fb10988f,/en/squads/fb10988f/2015-2016/Swansea-City-Stats,Swansea City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fb10988f.png,19,8,6,5,20,20,0,30,1.58,19,4,5,10,22,32,-10,17,0.89,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
13,2abfe087,/en/squads/2abfe087/2015-2016/Watford-Stats,Watford,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.2abfe087.png,19,6,6,7,20,19,+1,24,1.26,19,6,3,10,20,31,-11,21,1.11,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
14,60c6b05f,/en/squads/60c6b05f/2015-2016/West-Bromwich-Albion-Stats,West Brom,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.60c6b05f.png,19,6,5,8,20,26,-6,23,1.21,19,4,8,7,14,22,-8,20,1.05,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
15,47c64c55,/en/squads/47c64c55/2015-2016/Crystal-Palace-Stats,Crystal Palace,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.47c64c55.png,19,6,3,10,19,23,-4,21,1.11,19,5,6,8,20,28,-8,21,1.11,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
16,4ba7cbea,/en/squads/4ba7cbea/2015-2016/Bournemouth-Stats,Bournemouth,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4ba7cbea.png,19,5,5,9,23,34,-11,20,1.05,19,6,4,9,22,33,-11,22,1.16,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
17,8ef52968,/en/squads/8ef52968/2015-2016/Sunderland-Stats,Sunderland,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8ef52968.png,19,6,6,7,23,20,+3,24,1.26,19,3,6,10,25,42,-17,15,0.79,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
18,b2b47a98,/en/squads/b2b47a98/2015-2016/Newcastle-United-Stats,Newcastle Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b2b47a98.png,19,7,7,5,32,24,+8,28,1.47,19,2,3,14,12,41,-29,9,0.47,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
19,1c781004,/en/squads/1c781004/2015-2016/Norwich-City-Stats,Norwich City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1c781004.png,19,6,5,8,26,30,-4,23,1.21,19,3,2,14,13,37,-24,11,0.58,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
20,8602292d,/en/squads/8602292d/2015-2016/Aston-Villa-Stats,Aston Villa,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8602292d.png,19,2,5,12,14,35,-21,11,0.58,19,1,3,15,13,41,-28,6,0.32,9,2015-2016,4853f87c-3a70-47e6-b1be-273e90534cc8
