rank,team_id,team_url,team,logo_url,games,wins,ties,losses,goals_for,goals_against,goal_diff,points,points_avg,attendance_per_g,top_team_scorers,top_keeper,notes,competition_id,season_id,id
1,a2d435b3,/en/squads/a2d435b3/2015-2016/Leicester-City-Stats,Leicester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a2d435b3.png,38,23,12,3,68,36,+32,81,2.13,"32,021",Jamie Vardy-24,Kasper Schmeichel,→ Champions League via league finish,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
2,18bb7c10,/en/squads/18bb7c10/2015-2016/Arsenal-Stats,Arsenal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.18bb7c10.png,38,20,11,7,65,36,+29,71,1.87,"59,944",Olivier Giroud-16,Petr Čech,→ Champions League via league finish,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
3,361ca564,/en/squads/361ca564/2015-2016/Tottenham-Hotspur-Stats,Tottenham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.361ca564.png,38,19,13,6,69,35,+34,70,1.84,"35,776",Harry Kane-25,Hugo Lloris,→ Champions League via league finish,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
4,b8fd03ef,/en/squads/b8fd03ef/2015-2016/Manchester-City-Stats,Manchester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b8fd03ef.png,38,19,9,10,71,41,+30,66,1.74,"54,041",Sergio Agüero-24,Joe Hart,→ Champions League via league finish,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
5,19538871,/en/squads/19538871/2015-2016/Manchester-United-Stats,Manchester Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19538871.png,38,19,9,10,49,35,+14,66,1.74,"75,279",Anthony Martial-11,David de Gea,→ Europa League via cup win1,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
6,33c895d4,/en/squads/33c895d4/2015-2016/Southampton-Stats,Southampton,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.33c895d4.png,38,18,9,11,59,41,+18,63,1.66,"30,751","Sadio Mané,Graziano Pellè-11",Fraser Forster,→ Europa League via league finish2,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
7,7c21e445,/en/squads/7c21e445/2015-2016/West-Ham-United-Stats,West Ham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7c21e445.png,38,16,14,8,65,51,+14,62,1.63,"34,910","Dimitri Payet,Andy Carroll-9",Adrián,→ Europa League via league finish3,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
8,822bd0ba,/en/squads/822bd0ba/2015-2016/Liverpool-Stats,Liverpool,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.822bd0ba.png,38,16,12,10,63,50,+13,60,1.58,"43,910",Roberto Firmino-10,Simon Mignolet,,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
9,17892952,/en/squads/17892952/2015-2016/Stoke-City-Stats,Stoke City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.17892952.png,38,14,9,15,41,55,-14,51,1.34,"27,534",Marko Arnautović-11,Jack Butland,,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
10,cff3d9bb,/en/squads/cff3d9bb/2015-2016/Chelsea-Stats,Chelsea,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cff3d9bb.png,38,12,14,12,59,53,+6,50,1.32,"41,500",Diego Costa-12,Thibaut Courtois,,9,2015-2016,757e21ac-eecc-4ceb-8e98-0a3d00f227ef
