rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,b8fd03ef,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,Manchester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b8fd03ef.png,19,16,2,1,61,14,+47,50,2.63,43.5,10.7,+32.7,+1.72,19,16,2,1,45,13,+32,50,2.63,35.2,13.1,+22.1,+1.16,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
2,19538871,/en/squads/19538871/2017-2018/Manchester-United-Stats,Manchester Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19538871.png,19,15,2,2,38,9,+29,47,2.47,31.9,15.1,+16.8,+0.88,19,10,4,5,30,19,+11,34,1.79,23.8,25.6,-1.7,-0.09,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
3,361ca564,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats,Tottenham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.361ca564.png,19,13,4,2,40,16,+24,43,2.26,34.4,15.0,+19.4,+1.02,19,10,4,5,34,20,+14,34,1.79,30.3,18.9,+11.4,+0.60,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
4,822bd0ba,/en/squads/822bd0ba/2017-2018/Liverpool-Stats,Liverpool,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.822bd0ba.png,19,12,7,0,45,10,+35,43,2.26,40.9,10.6,+30.3,+1.60,19,9,5,5,39,28,+11,32,1.68,31.9,23.1,+8.8,+0.46,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
5,cff3d9bb,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,Chelsea,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cff3d9bb.png,19,11,4,4,30,16,+14,37,1.95,30.3,14.9,+15.4,+0.81,19,10,3,6,32,22,+10,33,1.74,24.1,18.9,+5.2,+0.27,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
6,18bb7c10,/en/squads/18bb7c10/2017-2018/Arsenal-Stats,Arsenal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.18bb7c10.png,19,15,2,2,54,20,+34,47,2.47,44.5,21.0,+23.6,+1.24,19,4,4,11,20,31,-11,16,0.84,23.7,26.8,-3.1,-0.16,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
7,943e8050,/en/squads/943e8050/2017-2018/Burnley-Stats,Burnley,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.943e8050.png,19,7,5,7,16,17,-1,26,1.37,17.2,24.2,-7.0,-0.37,19,7,7,5,20,22,-2,28,1.47,15.1,27.0,-11.8,-0.62,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
8,d3fd31cc,/en/squads/d3fd31cc/2017-2018/Everton-Stats,Everton,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d3fd31cc.png,19,10,4,5,28,22,+6,34,1.79,21.3,22.9,-1.7,-0.09,19,3,6,10,16,36,-20,15,0.79,19.2,29.4,-10.2,-0.54,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
9,a2d435b3,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,Leicester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a2d435b3.png,19,7,6,6,25,22,+3,27,1.42,26.9,19.4,+7.5,+0.39,19,5,5,9,31,38,-7,20,1.05,23.1,28.7,-5.6,-0.29,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
10,b2b47a98,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,Newcastle Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b2b47a98.png,19,8,4,7,21,17,+4,28,1.47,22.3,20.7,+1.5,+0.08,19,4,4,11,18,30,-12,16,0.84,19.4,31.7,-12.3,-0.65,9,2017-2018,17b2db5f-99a3-4ff5-bf22-73b25a5e0283
