rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,b8fd03ef,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,Manchester City,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b8fd03ef.png,19,14,5,0,51,16,+35,47,2.47,40.7,14.0,+26.7,+1.41,19,14,2,3,45,18,+27,44,2.32,39.8,21.6,+18.2,+0.96,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
2,18bb7c10,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,Arsenal,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.18bb7c10.png,19,15,2,2,48,16,+32,47,2.47,43.5,13.5,+30.0,+1.58,19,13,3,3,43,13,+30,42,2.21,32.6,14.5,+18.2,+0.96,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
3,822bd0ba,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,Liverpool,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.822bd0ba.png,19,15,3,1,49,17,+32,48,2.53,54.7,17.6,+37.1,+1.95,19,9,7,3,37,24,+13,34,1.79,33.0,28.1,+4.9,+0.26,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
4,8602292d,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,Aston Villa,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8602292d.png,19,12,4,3,48,28,+20,40,2.11,39.0,26.3,+12.7,+0.67,19,8,4,7,28,33,-5,28,1.47,24.3,33.6,-9.3,-0.49,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
5,361ca564,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats,Tottenham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.361ca564.png,19,13,0,6,38,27,+11,39,2.05,39.2,29.3,+9.9,+0.52,19,7,6,6,36,34,+2,27,1.42,28.9,34.1,-5.2,-0.27,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
6,cff3d9bb,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,Chelsea,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cff3d9bb.png,19,11,4,4,44,26,+18,37,1.95,44.2,24.9,+19.2,+1.01,19,7,5,7,33,37,-4,26,1.37,30.3,33.1,-2.8,-0.15,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
7,b2b47a98,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,Newcastle Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b2b47a98.png,19,12,4,3,49,22,+27,40,2.11,46.4,25.0,+21.4,+1.12,19,6,2,11,36,40,-4,20,1.05,29.6,36.4,-6.7,-0.36,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
8,19538871,/en/squads/19538871/2023-2024/Manchester-United-Stats,Manchester Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.19538871.png,19,10,3,6,31,28,+3,33,1.74,32.3,31.5,+0.8,+0.04,19,8,3,8,26,30,-4,27,1.42,24.1,37.4,-13.2,-0.70,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
9,7c21e445,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,West Ham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7c21e445.png,19,7,8,4,31,28,+3,29,1.53,26.3,29.7,-3.5,-0.18,19,7,2,10,29,46,-17,23,1.21,26.1,41.4,-15.3,-0.80,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
10,47c64c55,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,Crystal Palace,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.47c64c55.png,19,8,4,7,37,26,+11,28,1.47,27.3,20.9,+6.5,+0.34,19,5,6,8,20,32,-12,21,1.11,21.2,31.1,-9.9,-0.52,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
11,d07537b9,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,Brighton,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d07537b9.png,19,8,6,5,30,27,+3,30,1.58,32.1,25.4,+6.8,+0.36,19,4,6,9,25,35,-10,18,0.95,24.7,30.1,-5.4,-0.28,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
12,4ba7cbea,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,Bournemouth,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.4ba7cbea.png,19,7,6,6,27,28,-1,27,1.42,27.4,24.3,+3.1,+0.17,19,6,3,10,27,39,-12,21,1.11,28.5,33.8,-5.3,-0.28,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
13,fd962109,/en/squads/fd962109/2023-2024/Fulham-Stats,Fulham,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd962109.png,19,9,2,8,31,24,+7,29,1.53,27.9,27.8,+0.1,0.00,19,4,6,9,24,37,-13,18,0.95,22.9,35.1,-12.2,-0.64,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
14,8cec06e1,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats,Wolves,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8cec06e1.png,19,8,3,8,26,30,-4,27,1.42,23.2,30.5,-7.2,-0.38,19,5,4,10,24,35,-11,19,1.00,23.5,37.2,-13.7,-0.72,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
15,d3fd31cc,/en/squads/d3fd31cc/2023-2024/Everton-Stats,Everton,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d3fd31cc.png,19,8,4,7,22,18,+4,28,1.47,32.1,22.5,+9.7,+0.51,19,5,5,9,18,33,-15,20,1.05,21.9,32.7,-10.8,-0.57,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
16,cd051869,/en/squads/cd051869/2023-2024/Brentford-Stats,Brentford,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cd051869.png,19,5,7,7,29,34,-5,22,1.16,30.8,29.7,+1.1,+0.06,19,5,2,12,27,31,-4,17,0.89,27.4,26.3,+1.2,+0.06,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
17,e4a775cb,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,Nott'ham Forest,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e4a775cb.png,19,5,5,9,27,30,-3,20,1.05,25.0,21.8,+3.2,+0.17,19,4,4,11,22,37,-15,16,0.84,24.9,31.5,-6.5,-0.34,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
18,e297cd13,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,Luton Town,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e297cd13.png,19,4,4,11,28,37,-9,16,0.84,25.8,31.1,-5.3,-0.28,19,2,4,13,24,48,-24,10,0.53,16.6,46.9,-30.2,-1.59,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
19,943e8050,/en/squads/943e8050/2023-2024/Burnley-Stats,Burnley,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.943e8050.png,19,2,4,13,19,43,-24,10,0.53,22.6,29.1,-6.5,-0.34,19,3,5,11,22,35,-13,14,0.74,18.0,41.3,-23.2,-1.22,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
20,1df6b87e,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,Sheffield Utd,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1df6b87e.png,19,2,4,13,19,57,-38,10,0.53,24.3,37.8,-13.5,-0.71,19,1,3,15,16,47,-31,6,0.32,14.0,38.8,-24.8,-1.30,9,2023-2024,54b935aa-3360-4223-ac0b-0f6decac486f
