team_id,team_url,team,players_used_away,minutes_90s_away,tackles_away,tackles_won_away,tackles_def_3rd_away,tackles_mid_3rd_away,tackles_att_3rd_away,challenge_tackles_away,challenges_away,challenge_tackles_pct_away,challenges_lost_away,blocks_away,blocked_shots_away,blocked_passes_away,interceptions_away,tackles_interceptions_away,clearances_away,errors_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,vs Arsenal,25,38.0,679,376,396,205,78,304,587,51.8,283,492,220,272,299,978,875,23,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
8602292d,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,vs Aston Villa,31,38.0,731,435,305,309,117,315,660,47.7,345,413,147,266,304,1035,751,20,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
4ba7cbea,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,vs Bournemouth,30,38.0,800,480,389,303,108,414,796,52.0,382,476,161,315,264,1064,813,14,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
cd051869,/en/squads/cd051869/2023-2024/Brentford-Stats,vs Brentford,28,38.0,540,329,251,183,106,269,512,52.5,243,444,125,319,293,833,916,17,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
d07537b9,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,vs Brighton,30,38.0,664,396,330,253,81,322,619,52.0,297,454,165,289,355,1019,733,12,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
943e8050,/en/squads/943e8050/2023-2024/Burnley-Stats,vs Burnley,31,38.0,625,387,310,222,93,329,629,52.3,300,413,111,302,292,917,691,12,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
cff3d9bb,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,vs Chelsea,32,38.0,735,438,361,259,115,365,763,47.8,398,458,147,311,374,1109,708,21,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
47c64c55,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,vs Crystal Palace,26,38.0,746,446,338,302,106,320,661,48.4,341,452,133,319,301,1047,695,17,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
d3fd31cc,/en/squads/d3fd31cc/2023-2024/Everton-Stats,vs Everton,26,38.0,587,335,304,216,67,267,517,51.6,250,423,130,293,262,849,873,18,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
fd962109,/en/squads/fd962109/2023-2024/Fulham-Stats,vs Fulham,25,38.0,557,333,222,237,98,232,503,46.1,271,505,124,381,321,878,815,16,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
822bd0ba,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,vs Liverpool,30,38.0,738,438,413,269,56,331,662,50.0,331,553,224,329,378,1116,1060,18,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
e297cd13,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,vs Luton Town,28,38.0,716,418,348,269,99,331,685,48.3,354,469,140,329,269,985,839,18,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
b8fd03ef,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,vs Manchester City,25,38.0,638,335,379,193,66,282,659,42.8,377,537,207,330,314,952,847,13,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
19538871,/en/squads/19538871/2023-2024/Manchester-United-Stats,vs Manchester Utd,31,38.0,645,373,344,210,91,303,614,49.3,311,489,172,317,378,1023,713,18,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
b2b47a98,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,vs Newcastle Utd,32,38.0,688,409,314,283,91,288,643,44.8,355,481,152,329,342,1030,735,24,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
e4a775cb,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,vs Nott'ham Forest,33,38.0,554,341,234,219,101,268,543,49.4,275,391,113,278,289,843,747,12,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
1df6b87e,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,vs Sheffield Utd,35,38.0,608,358,288,225,95,286,537,53.3,251,413,106,307,275,883,610,9,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
361ca564,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats,vs Tottenham,29,38.0,738,411,375,256,107,363,722,50.3,359,598,170,428,416,1154,783,16,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
7c21e445,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,vs West Ham,26,38.0,718,406,310,315,93,321,674,47.6,353,451,108,343,253,971,766,15,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
8cec06e1,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats,vs Wolves,27,38.0,713,431,296,288,129,324,739,43.8,415,394,107,287,329,1042,613,16,9,2023-2024,b3e69b65-eb5e-429c-89e2-ce5a04cc009f
