team_id,team_url,team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2022-2023/Arsenal-Stats,Arsenal,26,38.0,568,343,238,212,118,249,510,48.8,261,362,86,276,237,805,599,23,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
8602292d,/en/squads/8602292d/2022-2023/Aston-Villa-Stats,Aston Villa,26,38.0,632,338,305,251,76,312,648,48.1,336,438,118,320,324,956,714,14,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
4ba7cbea,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats,Bournemouth,31,38.0,618,371,316,249,53,256,614,41.7,358,499,170,329,353,971,1027,11,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
cd051869,/en/squads/cd051869/2022-2023/Brentford-Stats,Brentford,25,38.0,588,338,271,228,89,253,597,42.4,344,456,168,288,341,929,822,14,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
d07537b9,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats,Brighton,29,38.0,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
cff3d9bb,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats,Chelsea,32,38.0,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
47c64c55,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats,Crystal Palace,26,38.0,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
d3fd31cc,/en/squads/d3fd31cc/2022-2023/Everton-Stats,Everton,28,38.0,708,424,362,257,89,309,619,49.9,310,510,180,330,390,1098,874,17,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
fd962109,/en/squads/fd962109/2022-2023/Fulham-Stats,Fulham,29,38.0,625,350,295,229,101,299,588,50.9,289,455,125,330,340,965,749,15,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
5bfb9659,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats,Leeds United,29,38.0,840,480,376,343,121,412,870,47.4,458,536,131,405,392,1232,734,18,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
a2d435b3,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats,Leicester City,28,38.0,699,412,345,291,63,308,677,45.5,369,517,170,347,367,1066,777,12,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
822bd0ba,/en/squads/822bd0ba/2022-2023/Liverpool-Stats,Liverpool,28,38.0,590,370,228,250,112,281,651,43.2,370,350,74,276,333,923,568,20,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
b8fd03ef,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats,Manchester City,24,38.0,471,272,185,198,88,212,462,45.9,250,339,95,244,223,694,402,9,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
19538871,/en/squads/19538871/2022-2023/Manchester-United-Stats,Manchester Utd,26,38.0,657,400,343,231,83,300,600,50.0,300,496,146,350,352,1009,771,11,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
b2b47a98,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats,Newcastle Utd,27,38.0,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
e4a775cb,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats,Nott'ham Forest,33,38.0,659,387,380,201,78,296,589,50.3,293,500,156,344,349,1008,944,7,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
33c895d4,/en/squads/33c895d4/2022-2023/Southampton-Stats,Southampton,36,38.0,714,426,378,279,57,297,612,48.5,315,542,165,377,427,1141,852,11,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
361ca564,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats,Tottenham,29,38.0,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,20,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
7c21e445,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats,West Ham,25,38.0,608,336,290,226,92,270,563,48.0,293,415,139,276,408,1016,810,10,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
8cec06e1,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats,Wolves,32,38.0,660,370,363,222,75,285,616,46.3,331,497,175,322,279,939,817,19,9,2022-2023,ba7c3e0b-157f-4098-8e37-f89ebce7b3bb
