team_id,team_url,team,players_used_away,minutes_90s_away,sca_away,sca_per90_away,sca_passes_live_away,sca_passes_dead_away,sca_take_ons_away,sca_shots_away,sca_fouled_away,sca_defense_away,gca_away,gca_per90_away,gca_passes_live_away,gca_passes_dead_away,gca_take_ons_away,gca_shots_away,gca_fouled_away,gca_defense_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,vs Arsenal,25,38.0,531,13.97,376,35,30,44,23,23,44,1.16,24,4,4,5,2,5,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
8602292d,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,vs Aston Villa,31,38.0,820,21.58,586,72,53,58,34,17,102,2.68,70,9,6,8,4,5,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
4ba7cbea,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,vs Bournemouth,30,38.0,934,24.58,681,77,60,68,31,17,112,2.95,82,3,6,11,8,2,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
cd051869,/en/squads/cd051869/2023-2024/Brentford-Stats,vs Brentford,28,38.0,980,25.79,778,54,58,46,21,23,119,3.13,94,5,7,7,3,3,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
d07537b9,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,vs Brighton,30,38.0,814,21.42,599,51,64,48,33,19,95,2.50,68,3,7,7,7,3,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
943e8050,/en/squads/943e8050/2023-2024/Burnley-Stats,vs Burnley,31,38.0,1095,28.82,815,89,53,64,49,25,128,3.37,89,7,9,10,8,5,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
cff3d9bb,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,vs Chelsea,32,38.0,967,25.45,669,92,53,67,56,30,95,2.50,69,8,3,10,4,1,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
47c64c55,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,vs Crystal Palace,26,38.0,832,21.89,607,86,34,52,42,11,104,2.74,84,7,3,5,4,1,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
d3fd31cc,/en/squads/d3fd31cc/2023-2024/Everton-Stats,vs Everton,26,38.0,951,25.03,695,79,53,75,33,16,81,2.13,56,3,5,9,7,1,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
fd962109,/en/squads/fd962109/2023-2024/Fulham-Stats,vs Fulham,25,38.0,916,24.11,660,76,58,60,46,16,99,2.61,65,4,12,6,11,1,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
822bd0ba,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,vs Liverpool,30,38.0,720,18.95,481,72,60,42,45,20,61,1.61,37,7,6,7,3,1,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
e297cd13,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,vs Luton Town,28,38.0,1146,30.16,853,82,69,80,40,22,133,3.50,94,9,12,11,5,2,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
b8fd03ef,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,vs Manchester City,25,38.0,495,13.03,363,44,36,27,14,11,56,1.47,41,3,5,4,3,0,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
19538871,/en/squads/19538871/2023-2024/Manchester-United-Stats,vs Manchester Utd,31,38.0,1179,31.03,846,120,61,78,54,20,99,2.61,60,9,9,8,11,2,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
b2b47a98,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,vs Newcastle Utd,32,38.0,932,24.53,703,73,57,51,33,15,109,2.87,79,6,11,7,6,0,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
e4a775cb,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,vs Nott'ham Forest,33,38.0,897,23.61,680,69,45,45,45,13,113,2.97,83,10,6,5,8,1,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
1df6b87e,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,vs Sheffield Utd,35,38.0,1210,31.84,890,113,82,69,44,12,175,4.61,130,12,11,13,8,1,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
361ca564,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats,vs Tottenham,29,38.0,835,21.97,565,100,50,63,44,13,103,2.71,62,10,8,11,10,2,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
7c21e445,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,vs West Ham,26,38.0,1192,31.37,927,75,54,86,41,9,126,3.32,87,5,11,11,10,2,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
8cec06e1,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats,vs Wolves,27,38.0,1009,26.55,737,76,47,77,42,30,113,2.97,80,6,9,8,8,2,9,2023-2024,06b440e0-563b-4041-964f-8fc6b7451e31
