team_id,team_url,team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2021-2022/Arsenal-Stats,Arsenal,27,38.0,1030,27.11,788,68,57,66,39,12,99,2.61,69,8,4,13,4,1,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
8602292d,/en/squads/8602292d/2021-2022/Aston-Villa-Stats,Aston Villa,31,38.0,837,22.03,608,85,49,41,48,6,93,2.45,65,9,9,7,3,0,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
cd051869,/en/squads/cd051869/2021-2022/Brentford-Stats,Brentford,29,38.0,739,19.45,487,96,37,62,43,14,78,2.05,46,11,4,8,9,0,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
d07537b9,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats,Brighton,26,38.0,870,22.89,630,84,49,55,40,12,72,1.89,49,8,4,6,4,1,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
943e8050,/en/squads/943e8050/2021-2022/Burnley-Stats,Burnley,23,38.0,674,17.74,455,81,28,50,50,10,60,1.58,39,9,5,3,4,0,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
cff3d9bb,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats,Chelsea,26,38.0,1064,28.00,818,62,48,75,49,12,135,3.55,97,9,8,10,9,2,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
47c64c55,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats,Crystal Palace,24,38.0,711,18.71,500,63,43,46,43,16,81,2.13,53,3,7,8,9,1,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
d3fd31cc,/en/squads/d3fd31cc/2021-2022/Everton-Stats,Everton,33,38.0,742,19.53,533,69,43,42,45,10,68,1.79,46,4,4,6,8,0,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
5bfb9659,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats,Leeds United,29,38.0,825,21.71,589,68,52,60,42,14,66,1.74,36,2,10,10,5,3,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
a2d435b3,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats,Leicester City,28,38.0,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
822bd0ba,/en/squads/822bd0ba/2021-2022/Liverpool-Stats,Liverpool,27,38.0,1249,32.87,912,105,63,104,49,16,163,4.29,121,9,9,19,5,0,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
b8fd03ef,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats,Manchester City,26,38.0,1286,33.84,997,78,70,88,42,11,158,4.16,112,10,6,19,8,3,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
19538871,/en/squads/19538871/2021-2022/Manchester-United-Stats,Manchester Utd,29,38.0,917,24.13,706,65,56,38,39,13,104,2.74,77,6,6,7,5,3,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
b2b47a98,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats,Newcastle Utd,29,38.0,758,19.95,504,81,61,57,44,11,70,1.84,46,4,5,9,6,0,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
1c781004,/en/squads/1c781004/2021-2022/Norwich-City-Stats,Norwich City,28,38.0,637,16.76,435,67,41,33,50,11,35,0.92,27,2,1,1,3,1,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
33c895d4,/en/squads/33c895d4/2021-2022/Southampton-Stats,Southampton,25,38.0,814,21.42,585,68,43,51,49,18,71,1.87,44,5,6,4,9,3,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
361ca564,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats,Tottenham,25,38.0,882,23.21,678,51,46,61,37,9,117,3.08,95,3,4,8,6,1,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
2abfe087,/en/squads/2abfe087/2021-2022/Watford-Stats,Watford,30,38.0,693,18.24,475,59,48,43,52,16,57,1.50,36,5,4,7,3,2,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
7c21e445,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats,West Ham,25,38.0,770,20.26,569,68,47,50,28,8,102,2.68,72,10,5,9,5,1,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
8cec06e1,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats,Wolves,26,38.0,692,18.21,496,44,65,37,31,19,58,1.53,37,4,5,8,2,2,9,2021-2022,e590a667-264e-4fd3-a8c3-e0b599b4a095
