team_id,team_url,team,players_used_away,minutes_90s_away,gk_goals_against_away,gk_pens_allowed_away,gk_free_kick_goals_against_away,gk_corner_kick_goals_against_away,gk_own_goals_against_away,gk_psxg_away,gk_psnpxg_per_shot_on_target_against_away,gk_psxg_net_away,gk_psxg_net_per90_away,gk_passes_completed_launched_away,gk_passes_launched_away,gk_passes_pct_launched_away,gk_passes_away,gk_passes_throws_away,gk_pct_passes_launched_away,gk_passes_length_avg_away,gk_goal_kicks_away,gk_pct_goal_kicks_launched_away,gk_goal_kick_length_avg_away,gk_crosses_away,gk_crosses_stopped_away,gk_crosses_stopped_pct_away,gk_def_actions_outside_pen_area_away,gk_def_actions_outside_pen_area_per90_away,gk_avg_distance_def_actions_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2017-2018/Arsenal-Stats,vs Arsenal,2,38.0,74,4,0,10,1,78.7,0.33,+5.7,+0.15,310,817,37.9,879,129,62.1,45.1,311,87.1,60.6,455,16,3.5,46,1.21,14.8,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
4ba7cbea,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,vs Bournemouth,1,38.0,45,3,1,10,0,40.5,0.25,-4.5,-0.12,320,830,38.6,968,108,61.8,44.5,273,85.0,57.7,545,24,4.4,29,0.76,13.7,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
d07537b9,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,vs Brighton,1,38.0,34,5,0,3,1,33.7,0.25,+0.7,+0.02,233,675,34.5,964,165,46.3,38.6,282,81.2,57.8,526,36,6.8,46,1.21,13.4,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
943e8050,/en/squads/943e8050/2017-2018/Burnley-Stats,vs Burnley,2,38.0,36,0,1,3,1,33.0,0.27,-2.0,-0.05,285,833,34.2,1058,149,55.7,42.0,279,87.5,59.9,561,41,7.3,57,1.50,14.7,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
cff3d9bb,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,vs Chelsea,2,38.0,62,3,2,5,2,59.9,0.27,-0.1,0.00,274,756,36.2,953,173,52.3,41.3,310,83.2,58.8,544,26,4.8,37,0.97,13.6,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
47c64c55,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,vs Crystal Palace,2,38.0,45,8,1,7,1,48.6,0.29,+4.6,+0.12,274,632,43.4,790,138,50.4,40.8,328,71.3,54.4,533,25,4.7,31,0.82,14.3,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
d3fd31cc,/en/squads/d3fd31cc/2017-2018/Everton-Stats,vs Everton,1,38.0,44,5,0,3,2,41.4,0.29,-0.6,-0.02,273,689,39.6,910,141,52.4,41.1,268,79.1,56.2,504,25,5.0,51,1.34,14.6,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
f5922ca5,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,vs Huddersfield,1,38.0,28,2,0,3,3,29.9,0.26,+4.9,+0.13,219,632,34.7,940,144,47.0,38.6,264,72.0,53.5,601,23,3.8,57,1.50,17.0,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
a2d435b3,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,vs Leicester City,3,38.0,56,5,1,8,3,47.0,0.29,-6.0,-0.16,235,665,35.3,836,141,53.0,41.4,277,80.1,55.7,568,45,7.9,47,1.24,13.2,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
822bd0ba,/en/squads/822bd0ba/2017-2018/Liverpool-Stats,vs Liverpool,2,38.0,84,2,2,7,2,75.1,0.32,-6.9,-0.18,358,986,36.3,1021,171,61.3,40.1,395,91.1,62.4,555,38,6.8,52,1.37,14.1,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
b8fd03ef,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,vs Manchester City,2,38.0,106,6,1,10,3,90.2,0.33,-12.8,-0.34,311,936,33.2,875,105,65.6,45.7,407,88.9,61.2,492,17,3.5,24,0.63,12.2,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
19538871,/en/squads/19538871/2017-2018/Manchester-United-Stats,vs Manchester Utd,2,38.0,68,1,2,6,1,55.9,0.31,-11.1,-0.29,241,701,34.4,871,147,55.2,41.7,276,79.7,57.3,556,30,5.4,47,1.24,14.2,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
b2b47a98,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,vs Newcastle Utd,3,38.0,39,0,1,8,1,42.8,0.29,+4.8,+0.13,284,708,40.1,976,175,49.2,39.5,287,79.4,56.0,479,24,5.0,51,1.34,16.7,9,2017-2018,7e21622a-4e55-4bf2-833d-b7939933341f
