team_id,team_url,team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2021-2022/Arsenal-Stats,Arsenal,2,38,38,"3,420",38.0,48,1.26,147,100,70.7,22,3,13,13,34.2,6,5,0,1,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
8602292d,/en/squads/8602292d/2021-2022/Aston-Villa-Stats,Aston Villa,3,38,38,"3,420",38.0,54,1.42,149,96,66.4,13,6,19,11,28.9,6,4,1,1,20.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
cd051869,/en/squads/cd051869/2021-2022/Brentford-Stats,Brentford,3,38,38,"3,420",38.0,56,1.47,179,125,71.5,13,7,18,9,23.7,5,5,0,0,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
d07537b9,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats,Brighton,2,38,38,"3,419",38.0,44,1.16,146,102,71.9,12,15,11,11,28.9,4,3,0,1,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
943e8050,/en/squads/943e8050/2021-2022/Burnley-Stats,Burnley,2,38,38,"3,420",38.0,53,1.39,178,127,73.0,7,14,17,9,23.7,5,5,0,0,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
cff3d9bb,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats,Chelsea,2,38,38,"3,420",38.0,33,0.87,115,83,76.5,21,11,6,16,42.1,6,6,0,0,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
47c64c55,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats,Crystal Palace,2,38,38,"3,420",38.0,46,1.21,144,99,70.1,11,15,12,12,31.6,4,3,1,0,25.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
d3fd31cc,/en/squads/d3fd31cc/2021-2022/Everton-Stats,Everton,2,38,38,"3,420",38.0,66,1.74,188,127,66.0,11,6,21,8,21.1,2,2,0,0,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
5bfb9659,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats,Leeds United,2,38,38,"3,420",38.0,79,2.08,224,146,67.0,9,11,18,5,13.2,5,5,0,0,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
a2d435b3,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats,Leicester City,2,38,38,"3,420",38.0,59,1.55,192,132,72.9,14,10,14,7,18.4,9,7,2,0,22.2,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
822bd0ba,/en/squads/822bd0ba/2021-2022/Liverpool-Stats,Liverpool,2,38,38,"3,420",38.0,26,0.68,107,82,75.7,28,8,2,21,55.3,0,0,0,0,,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
b8fd03ef,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats,Manchester City,2,38,38,"3,420",38.0,26,0.68,85,59,70.6,29,6,3,21,55.3,1,1,0,0,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
19538871,/en/squads/19538871/2021-2022/Manchester-United-Stats,Manchester Utd,1,38,38,"3,420",38.0,57,1.50,180,124,70.0,16,10,12,8,21.1,5,3,2,0,40.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
b2b47a98,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats,Newcastle Utd,3,38,38,"3,420",38.0,62,1.63,165,104,65.5,13,10,15,8,21.1,6,5,1,0,16.7,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
1c781004,/en/squads/1c781004/2021-2022/Norwich-City-Stats,Norwich City,2,38,38,"3,420",38.0,84,2.21,222,139,66.2,5,7,26,6,15.8,12,9,1,2,10.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
33c895d4,/en/squads/33c895d4/2021-2022/Southampton-Stats,Southampton,3,38,38,"3,420",38.0,67,1.76,183,118,64.5,9,13,16,8,21.1,2,2,0,0,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
361ca564,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats,Tottenham,1,38,38,"3,420",38.0,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
2abfe087,/en/squads/2abfe087/2021-2022/Watford-Stats,Watford,2,38,38,"3,420",38.0,77,2.03,188,113,62.2,6,5,27,4,10.5,7,6,1,0,14.3,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
7c21e445,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats,West Ham,2,38,38,"3,420",38.0,51,1.34,165,113,70.3,16,8,14,8,21.1,6,2,3,1,60.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
8cec06e1,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats,Wolves,2,38,38,"3,420",38.0,43,1.13,167,125,79.6,15,6,17,11,28.9,10,9,0,1,0.0,9,2021-2022,183f8cc8-cb41-4f07-89dd-b4c254ea1900
