team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2016-2017/Arsenal-Stats,Arsenal,29,38.0,69,0,0,394,390,99,701,558,492,4,10,1,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
4ba7cbea,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,Bournemouth,27,38.0,56,2,2,372,492,54,642,481,466,11,4,4,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
943e8050,/en/squads/943e8050/2016-2017/Burnley-Stats,Burnley,27,38.0,67,1,1,428,415,103,676,569,473,4,5,2,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
cff3d9bb,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,Chelsea,24,38.0,72,0,0,394,474,65,697,523,482,4,2,1,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
47c64c55,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,Crystal Palace,31,38.0,79,0,0,471,470,57,880,575,521,6,2,0,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
d3fd31cc,/en/squads/d3fd31cc/2016-2017/Everton-Stats,Everton,27,38.0,74,1,1,457,419,83,775,472,557,3,5,1,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
bd8769d1,/en/squads/bd8769d1/2016-2017/Hull-City-Stats,Hull City,28,38.0,67,0,0,403,390,71,748,587,474,2,14,5,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
a2d435b3,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,Leicester City,25,38.0,73,0,0,447,332,65,735,559,508,5,4,2,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
822bd0ba,/en/squads/822bd0ba/2016-2017/Liverpool-Stats,Liverpool,23,38.0,54,0,0,396,383,78,815,425,540,5,5,0,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
b8fd03ef,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,Manchester City,25,38.0,71,0,0,395,427,93,810,527,476,9,5,1,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
19538871,/en/squads/19538871/2016-2017/Manchester-United-Stats,Manchester Utd,31,38.0,80,1,1,498,443,102,852,610,507,2,5,1,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
7f59c601,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,Middlesbrough,27,38.0,79,1,1,480,399,51,735,570,558,2,5,0,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
33c895d4,/en/squads/33c895d4/2016-2017/Southampton-Stats,Southampton,26,38.0,61,1,1,426,415,75,960,539,507,5,9,0,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
17892952,/en/squads/17892952/2016-2017/Stoke-City-Stats,Stoke City,26,38.0,72,1,1,434,440,87,725,528,489,5,2,5,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
8ef52968,/en/squads/8ef52968/2016-2017/Sunderland-Stats,Sunderland,31,38.0,84,3,3,437,392,80,633,574,495,3,4,2,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
fb10988f,/en/squads/fb10988f/2016-2017/Swansea-City-Stats,Swansea City,27,38.0,56,0,0,399,425,50,867,471,481,3,10,5,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
361ca564,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,Tottenham,24,38.0,62,0,0,431,463,74,763,331,512,9,2,1,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
2abfe087,/en/squads/2abfe087/2016-2017/Watford-Stats,Watford,33,38.0,90,3,3,514,417,63,696,532,468,3,4,2,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
60c6b05f,/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,West Brom,23,38.0,80,0,0,448,343,61,770,564,441,0,3,1,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
7c21e445,/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,West Ham,29,38.0,86,4,4,408,461,80,759,634,452,4,8,0,9,2016-2017,bbdc7c08-beca-4114-96b2-66b67aeb0653
