team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2018-2019/Arsenal-Stats,Arsenal,28,38.0,74,2,1,412,455,89,605,412,366,4,7,1,2000,555,637,46.6,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
4ba7cbea,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,Bournemouth,28,38.0,60,1,0,340,441,57,613,371,299,8,5,3,1910,701,736,48.8,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
d07537b9,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats,Brighton,21,38.0,62,4,1,463,301,90,636,463,391,5,10,0,1979,824,780,51.4,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
943e8050,/en/squads/943e8050/2018-2019/Burnley-Stats,Burnley,23,38.0,75,1,0,360,356,106,692,367,311,1,3,4,1955,1016,1025,49.8,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
75fae011,/en/squads/75fae011/2018-2019/Cardiff-City-Stats,Cardiff City,25,38.0,66,1,0,374,390,77,562,529,375,2,7,0,1975,966,966,50.0,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
cff3d9bb,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,Chelsea,24,38.0,49,0,0,339,424,83,692,353,365,5,2,0,2171,523,504,50.9,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
47c64c55,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats,Crystal Palace,26,38.0,59,2,1,386,391,78,577,445,446,10,5,1,1996,680,706,49.1,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
d3fd31cc,/en/squads/d3fd31cc/2018-2019/Everton-Stats,Everton,23,38.0,57,4,1,432,418,69,814,453,441,4,5,2,2157,872,877,49.9,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
fd962109,/en/squads/fd962109/2018-2019/Fulham-Stats,Fulham,28,38.0,72,2,2,423,342,90,611,434,362,2,7,2,2072,742,718,50.8,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
f5922ca5,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,Huddersfield,31,38.0,57,4,1,420,370,63,768,531,425,1,9,1,2063,844,807,51.1,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
a2d435b3,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats,Leicester City,25,38.0,63,5,3,351,378,72,779,438,393,6,5,0,2087,811,679,54.4,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
822bd0ba,/en/squads/822bd0ba/2018-2019/Liverpool-Stats,Liverpool,23,38.0,41,2,2,315,347,77,721,314,377,7,1,0,2111,593,587,50.3,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
b8fd03ef,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats,Manchester City,21,38.0,44,1,0,328,301,98,783,362,327,4,4,0,2000,540,522,50.8,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
19538871,/en/squads/19538871/2018-2019/Manchester-United-Stats,Manchester Utd,28,38.0,77,4,2,433,397,90,638,355,347,11,6,3,1969,687,550,55.5,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
b2b47a98,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats,Newcastle Utd,24,38.0,57,2,0,423,332,59,711,506,433,2,6,1,2034,785,914,46.2,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
33c895d4,/en/squads/33c895d4/2018-2019/Southampton-Stats,Southampton,30,38.0,75,3,2,420,341,61,666,549,428,4,3,3,2053,767,873,46.8,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
361ca564,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats,Tottenham,28,38.0,58,3,1,376,364,74,643,325,373,3,5,3,2107,599,611,49.5,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
2abfe087,/en/squads/2abfe087/2018-2019/Watford-Stats,Watford,25,38.0,80,4,1,433,382,89,570,428,391,1,5,3,2021,753,797,48.6,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
7c21e445,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats,West Ham,26,38.0,59,1,0,331,388,71,631,457,393,5,5,1,2104,636,620,50.6,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
8cec06e1,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats,Wolves,21,38.0,73,1,0,409,325,73,622,501,408,4,4,4,2239,803,788,50.5,9,2018-2019,653ceb71-7ac6-4331-bcf6-861beba16219
