team_id,team_url,team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,Arsenal,25,38.0,64,2,1,391,394,87,670,292,348,9,3,1,1752,503,499,50.2,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
8602292d,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,Aston Villa,31,38.0,94,2,0,412,473,47,651,236,311,4,2,4,1619,334,363,47.9,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
4ba7cbea,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,Bournemouth,30,38.0,79,3,0,507,376,56,709,357,410,3,7,1,2013,582,671,46.4,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
cd051869,/en/squads/cd051869/2023-2024/Brentford-Stats,Brentford,28,38.0,89,2,0,385,419,70,706,378,399,3,2,0,1892,632,607,51.0,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
d07537b9,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,Brighton,30,38.0,90,3,0,414,454,84,671,288,366,6,6,2,1751,406,345,54.1,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
943e8050,/en/squads/943e8050/2023-2024/Burnley-Stats,Burnley,31,38.0,77,7,3,429,353,76,550,280,342,3,7,3,1727,561,696,44.6,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
cff3d9bb,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,Chelsea,32,38.0,109,4,2,446,451,85,558,298,376,11,5,3,1846,440,402,52.3,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
47c64c55,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,Crystal Palace,26,38.0,73,2,2,457,427,72,583,323,464,4,3,2,1909,553,555,49.9,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
d3fd31cc,/en/squads/d3fd31cc/2023-2024/Everton-Stats,Everton,26,38.0,82,1,1,457,361,89,752,358,442,2,8,3,1970,676,577,54.0,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
fd962109,/en/squads/fd962109/2023-2024/Fulham-Stats,Fulham,25,38.0,84,4,3,384,364,51,736,371,384,2,8,4,1837,487,509,48.9,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
822bd0ba,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,Liverpool,30,38.0,69,5,2,463,376,100,817,292,418,8,1,2,2034,583,441,56.9,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
e297cd13,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,Luton Town,28,38.0,71,0,0,443,448,67,841,325,368,2,4,4,1868,635,631,50.2,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
b8fd03ef,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,Manchester City,25,38.0,53,2,1,289,410,42,700,233,305,8,3,1,1734,325,288,53.0,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
19538871,/en/squads/19538871/2023-2024/Manchester-United-Stats,Manchester Utd,31,38.0,83,1,1,401,340,91,594,313,409,6,7,1,1851,436,450,49.2,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
b2b47a98,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,Newcastle Utd,32,38.0,79,1,1,386,469,59,648,285,391,9,5,1,1836,453,418,52.0,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
e4a775cb,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,Nott'ham Forest,33,38.0,82,3,2,428,371,77,595,331,430,1,4,2,1807,584,557,51.2,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
1df6b87e,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,Sheffield Utd,35,38.0,101,5,3,423,318,64,428,348,405,3,7,7,1637,586,694,45.8,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
361ca564,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats,Tottenham,29,38.0,92,4,2,425,510,83,710,355,451,2,7,3,1907,359,388,48.1,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
7c21e445,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,West Ham,26,38.0,82,3,3,390,392,71,661,361,426,4,10,4,1817,576,570,50.3,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
8cec06e1,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats,Wolves,27,38.0,102,4,2,476,405,78,578,284,430,4,8,1,1885,441,491,47.3,9,2023-2024,edbea015-d360-4c46-9289-a2a9f99b662e
