team_id,team_url,team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2017-2018/Arsenal-Stats,Arsenal,30,38.0,20878,25193,82.9,353044,121329,9800,10957,89.4,8683,9926,87.5,1749,2912,60.1,61,53.3,55.2,+7.7,444,1658,478,49,2223,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
4ba7cbea,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,Bournemouth,22,38.0,13450,17962,74.9,251392,100287,5626,6838,82.3,5928,7241,81.9,1638,3176,51.6,36,29.1,30.3,+6.9,348,1220,291,67,1526,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
d07537b9,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,Brighton,24,38.0,11838,16372,72.3,227791,89034,4898,5881,83.3,4601,5764,79.8,1872,3610,51.9,25,26.2,22.5,-1.2,283,885,193,65,1230,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
943e8050,/en/squads/943e8050/2017-2018/Burnley-Stats,Burnley,24,38.0,10524,15340,68.6,209049,89786,4349,5306,82.0,4168,5417,76.9,1695,3719,45.6,26,23.6,23.5,+2.4,278,974,213,89,1103,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
cff3d9bb,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,Chelsea,26,38.0,18967,23101,82.1,329238,111578,8564,9566,89.5,7753,8910,87.0,1892,3091,61.2,42,41.5,43.3,+0.5,482,1431,398,74,1998,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
47c64c55,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,Crystal Palace,28,38.0,11809,16114,73.3,208774,89985,5714,6694,85.4,4344,5524,78.6,1358,2967,45.8,26,33.3,28.6,-7.3,331,1037,273,58,1308,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
d3fd31cc,/en/squads/d3fd31cc/2017-2018/Everton-Stats,Everton,30,38.0,11953,16472,72.6,221336,88831,5380,6360,84.6,4511,5598,80.6,1579,3385,46.6,26,24.7,24.5,+1.3,263,1044,211,70,1161,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
f5922ca5,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,Huddersfield,25,38.0,12036,16822,71.5,222821,88700,5283,6357,83.1,4787,6127,78.1,1549,3270,47.4,19,23.7,19.8,-4.7,260,937,180,77,1210,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
a2d435b3,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,Leicester City,27,38.0,12357,17124,72.2,226357,89044,5532,6632,83.4,4543,5830,77.9,1720,3430,50.1,38,34.9,31.1,+3.1,297,1010,225,72,1271,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
822bd0ba,/en/squads/822bd0ba/2017-2018/Liverpool-Stats,Liverpool,27,38.0,20367,24900,81.8,367077,125520,8322,9359,88.9,9546,10936,87.3,1998,3478,57.4,58,52.7,47.7,+5.3,488,1763,464,67,2236,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
b8fd03ef,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,Manchester City,25,38.0,26164,29961,87.3,421270,127277,13122,14165,92.6,10259,11378,90.2,1810,2720,66.5,85,57.9,60.7,+27.1,498,2026,525,44,2570,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
19538871,/en/squads/19538871/2017-2018/Manchester-United-Stats,Manchester Utd,27,38.0,17765,21865,81.2,292678,102023,8463,9383,90.2,6387,7424,86.0,1751,3131,55.9,53,40.5,42.2,+12.5,377,1324,357,73,1564,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
b2b47a98,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,Newcastle Utd,27,38.0,11071,15659,70.7,199740,86134,5153,6161,83.6,4100,5358,76.5,1385,3119,44.4,29,32.1,26.1,-3.1,321,911,220,75,1145,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
33c895d4,/en/squads/33c895d4/2017-2018/Southampton-Stats,Southampton,26,38.0,14336,19027,75.3,248346,90480,6923,7931,87.3,5463,6720,81.3,1497,3220,46.5,23,29.5,31.3,-6.5,343,1154,288,77,1609,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
17892952,/en/squads/17892952/2017-2018/Stoke-City-Stats,Stoke City,30,38.0,10122,14569,69.5,194245,88499,4435,5386,82.3,3825,5023,76.1,1514,3194,47.4,28,27.4,25.8,+0.6,288,921,230,60,1150,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
fb10988f,/en/squads/fb10988f/2017-2018/Swansea-City-Stats,Swansea City,26,38.0,13223,17437,75.8,247025,93673,5802,6660,87.1,5291,6513,81.2,1760,3374,52.2,20,20.2,19.7,-0.2,223,973,190,57,1194,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
361ca564,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats,Tottenham,25,38.0,19284,23695,81.4,363818,126442,7604,8618,88.2,9105,10458,87.1,2278,3694,61.7,51,49.0,43.6,+2.0,462,1793,394,63,2249,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
2abfe087,/en/squads/2abfe087/2017-2018/Watford-Stats,Watford,29,38.0,12758,17513,72.8,225604,93079,6170,7329,84.2,4621,5948,77.7,1528,3090,49.4,27,29.2,29.4,-2.2,320,1071,285,79,1455,9,2017-2018,12bd3ad2-8524-428a-ada1-57489168608c
