team_id,team_url,team,players_used_away,minutes_90s_away,passes_away,passes_live_away,passes_dead_away,passes_free_kicks_away,through_balls_away,passes_switches_away,crosses_away,throw_ins_away,corner_kicks_away,corner_kicks_in_away,corner_kicks_out_away,corner_kicks_straight_away,passes_completed_away,passes_offsides_away,passes_blocked_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2021-2022/Arsenal-Stats,vs Arsenal,27,38.0,18006,16238,1704,401,49,102,606,744,175,90,50,3,14226,64,295,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
8602292d,/en/squads/8602292d/2021-2022/Aston-Villa-Stats,vs Aston Villa,31,38.0,19079,17229,1811,424,48,233,685,815,220,118,64,3,15222,39,372,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
cd051869,/en/squads/cd051869/2021-2022/Brentford-Stats,vs Brentford,29,38.0,20238,18429,1738,405,73,104,812,774,229,128,69,2,15770,71,329,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
d07537b9,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats,vs Brighton,26,38.0,17380,15605,1733,417,36,113,680,740,211,106,55,6,13304,42,374,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
943e8050,/en/squads/943e8050/2021-2022/Burnley-Stats,vs Burnley,23,38.0,21508,19529,1925,473,44,168,861,846,265,95,79,5,16821,54,364,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
cff3d9bb,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats,vs Chelsea,26,38.0,15424,13651,1706,451,63,90,533,697,151,66,52,4,11678,67,346,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
47c64c55,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats,vs Crystal Palace,24,38.0,18471,16628,1790,453,42,130,664,825,184,74,96,0,14264,53,360,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
d3fd31cc,/en/squads/d3fd31cc/2021-2022/Everton-Stats,vs Everton,33,38.0,22270,20390,1837,397,44,129,719,859,219,114,62,8,18019,43,415,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
5bfb9659,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats,vs Leeds United,29,38.0,17052,15102,1897,498,100,92,568,829,181,86,79,3,13019,53,366,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
a2d435b3,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats,vs Leicester City,28,38.0,18823,17017,1733,391,63,150,738,788,218,129,63,2,14828,73,382,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
822bd0ba,/en/squads/822bd0ba/2021-2022/Liverpool-Stats,vs Liverpool,27,38.0,15214,13387,1683,403,89,105,460,678,117,70,37,0,11072,144,323,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
b8fd03ef,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats,vs Manchester City,26,38.0,13251,11640,1517,376,50,89,397,493,108,52,37,3,9984,94,252,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
19538871,/en/squads/19538871/2021-2022/Manchester-United-Stats,vs Manchester Utd,29,38.0,18933,17152,1709,462,61,139,648,668,207,105,67,3,15051,72,310,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
b2b47a98,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats,vs Newcastle Utd,29,38.0,21214,19431,1725,433,72,125,685,764,190,94,72,4,17236,58,292,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
1c781004,/en/squads/1c781004/2021-2022/Norwich-City-Stats,vs Norwich City,28,38.0,21657,19892,1709,380,77,162,793,784,251,131,78,1,17698,56,326,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
33c895d4,/en/squads/33c895d4/2021-2022/Southampton-Stats,vs Southampton,25,38.0,18812,16984,1763,422,41,109,721,817,197,114,48,4,14361,65,349,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
361ca564,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats,vs Tottenham,25,38.0,19252,17557,1652,434,39,130,740,680,192,84,71,10,15570,43,348,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
2abfe087,/en/squads/2abfe087/2021-2022/Watford-Stats,vs Watford,30,38.0,21809,19879,1875,469,69,174,801,850,234,115,86,8,17339,55,332,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
7c21e445,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats,vs West Ham,25,38.0,20172,18525,1612,361,50,92,758,651,200,114,65,2,16243,35,280,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
8cec06e1,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats,vs Wolves,26,38.0,19655,17914,1656,391,84,111,721,745,204,101,73,3,15751,85,367,9,2021-2022,972d6669-19d7-437d-8dda-87e10679dceb
