team_id,team_url,team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2019-2020/Arsenal-Stats,Arsenal,29,38.0,20410,18463,1874,487,67,153,699,756,231,96,71,3,16634,73,320,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
8602292d,/en/squads/8602292d/2019-2020/Aston-Villa-Stats,Aston Villa,28,38.0,15672,13604,2006,562,17,153,798,797,200,109,34,8,11652,62,307,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
4ba7cbea,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats,Bournemouth,27,38.0,16387,14488,1832,450,28,92,646,790,194,104,57,0,12042,67,390,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
d07537b9,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats,Brighton,25,38.0,20056,18194,1791,394,34,200,689,853,178,78,78,0,15881,71,365,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
943e8050,/en/squads/943e8050/2019-2020/Burnley-Stats,Burnley,22,38.0,14694,12767,1838,408,29,99,743,868,170,158,1,0,10049,89,287,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
cff3d9bb,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats,Chelsea,27,38.0,25213,23308,1842,401,61,215,862,876,247,106,82,2,20958,63,361,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
47c64c55,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats,Crystal Palace,25,38.0,16395,14377,1965,501,19,79,588,886,177,93,32,36,12274,53,318,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
d3fd31cc,/en/squads/d3fd31cc/2019-2020/Everton-Stats,Everton,24,38.0,17736,15790,1888,463,55,165,804,853,203,105,80,2,13433,58,362,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
a2d435b3,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats,Leicester City,24,38.0,21800,19817,1919,495,68,126,779,883,221,70,100,7,17600,64,368,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
822bd0ba,/en/squads/822bd0ba/2019-2020/Liverpool-Stats,Liverpool,24,38.0,25891,23952,1886,440,68,283,896,879,257,63,125,2,21276,53,343,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
b8fd03ef,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats,Manchester City,24,38.0,28190,26549,1573,352,85,243,915,684,298,113,54,7,24557,68,329,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
19538871,/en/squads/19538871/2019-2020/Manchester-United-Stats,Manchester Utd,29,38.0,21725,19836,1833,466,64,171,635,822,204,86,63,11,17744,56,381,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
b2b47a98,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats,Newcastle Utd,28,38.0,14566,12726,1765,463,18,151,591,715,151,68,45,13,10606,75,304,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
1c781004,/en/squads/1c781004/2019-2020/Norwich-City-Stats,Norwich City,30,38.0,18869,16961,1858,461,47,124,473,773,162,75,77,2,14965,50,373,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
1df6b87e,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats,Sheffield Utd,26,38.0,16858,14962,1818,375,15,206,866,882,212,150,18,18,12125,78,341,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
33c895d4,/en/squads/33c895d4/2019-2020/Southampton-Stats,Southampton,25,38.0,17468,15450,1960,448,27,133,690,950,210,106,87,5,12488,58,331,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
361ca564,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats,Tottenham,29,38.0,20296,18404,1826,464,79,113,641,785,200,116,51,1,16101,66,344,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
2abfe087,/en/squads/2abfe087/2019-2020/Watford-Stats,Watford,26,38.0,15775,13907,1800,398,11,134,684,838,167,92,49,2,11230,68,285,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
7c21e445,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats,West Ham,29,38.0,16861,14967,1828,432,38,156,737,815,190,111,54,6,12451,66,358,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
8cec06e1,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats,Wolves,21,38.0,18474,16650,1775,405,40,203,718,816,193,55,80,0,14298,49,323,9,2019-2020,679fcc81-917a-452f-804b-4645ab62d761
