team_id,team_url,team,players_used_away,avg_age_away,games_away,minutes_away,minutes_per_game_away,minutes_pct_away,minutes_90s_away,games_starts_away,minutes_per_start_away,games_complete_away,games_subs_away,minutes_per_sub_away,unused_subs_away,points_per_game_away,on_goals_for_away,on_goals_against_away,plus_minus_away,plus_minus_per90_away,on_xg_for_away,on_xg_against_away,xg_plus_minus_away,xg_plus_minus_per90_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2017-2018/Arsenal-Stats,vs Arsenal,30,27.0,38,"3,420",90,100,38.0,418,,,105,18,161,1.18,51,74,-23,-0.61,47.8,68.3,-20.5,-0.54,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
4ba7cbea,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,vs Bournemouth,22,26.9,38,"3,420",90,100,38.0,418,,,106,18,160,1.55,61,45,+16,+0.42,59.2,38.8,+20.4,+0.54,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
d07537b9,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,vs Brighton,24,27.0,38,"3,420",90,100,38.0,418,,,105,16,161,1.61,54,34,+20,+0.53,50.8,37.0,+13.8,+0.36,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
943e8050,/en/squads/943e8050/2017-2018/Burnley-Stats,vs Burnley,24,27.0,38,"3,420",90,100,38.0,418,,,96,18,169,1.26,39,36,+3,+0.08,51.2,32.3,+18.9,+0.50,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
cff3d9bb,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,vs Chelsea,26,26.9,38,"3,420",90,100,38.0,418,,,107,19,159,0.97,38,62,-24,-0.63,33.8,54.4,-20.6,-0.54,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
47c64c55,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,vs Crystal Palace,28,27.0,38,"3,420",90,100,38.0,418,,,107,21,159,1.55,55,45,+10,+0.26,48.2,53.5,-5.2,-0.14,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
d3fd31cc,/en/squads/d3fd31cc/2017-2018/Everton-Stats,vs Everton,30,27.0,38,"3,420",90,100,38.0,418,,,102,18,164,1.45,58,44,+14,+0.37,52.4,40.5,+11.9,+0.31,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
f5922ca5,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,vs Huddersfield,25,27.0,38,"3,420",90,100,38.0,418,,,106,20,159,1.76,58,28,+30,+0.79,48.5,31.3,+17.2,+0.45,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
a2d435b3,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,vs Leicester City,27,26.8,38,"3,420",90,100,38.0,418,,,105,18,161,1.47,60,56,+4,+0.11,48.1,50.0,-1.9,-0.05,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
822bd0ba,/en/squads/822bd0ba/2017-2018/Liverpool-Stats,vs Liverpool,27,27.1,38,"3,420",90,100,38.0,418,,,107,20,158,0.71,38,84,-46,-1.21,33.8,72.9,-39.1,-1.03,9,2017-2018,ad9c2ff5-7598-4345-aa88-c7035fc2ff64
