team_id,team_url,team,players_used_away,avg_age_away,games_away,minutes_away,minutes_per_game_away,minutes_pct_away,minutes_90s_away,games_starts_away,minutes_per_start_away,games_complete_away,games_subs_away,minutes_per_sub_away,unused_subs_away,points_per_game_away,on_goals_for_away,on_goals_against_away,plus_minus_away,plus_minus_per90_away,on_xg_for_away,on_xg_against_away,xg_plus_minus_away,xg_plus_minus_per90_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,vs Arsenal,25,26.3,38,"3,420",90,100,38.0,418,84,270,147,22,192,0.53,29,91,-62,-1.63,27.9,76.1,-48.2,-1.27,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
8602292d,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,vs Aston Villa,31,26.2,38,"3,420",90,100,38.0,418,83,258,156,19,184,1.00,61,76,-15,-0.39,59.9,63.3,-3.4,-0.09,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
4ba7cbea,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,vs Bournemouth,30,26.2,38,"3,420",90,100,38.0,418,82,262,154,19,187,1.50,67,54,+13,+0.34,58.1,55.9,+2.2,+0.06,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
cd051869,/en/squads/cd051869/2023-2024/Brentford-Stats,vs Brentford,28,26.1,38,"3,420",90,100,38.0,418,83,280,136,19,206,1.74,65,56,+9,+0.24,56.0,58.2,-2.2,-0.06,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
d07537b9,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,vs Brighton,30,26.3,38,"3,420",90,100,38.0,418,80,263,153,18,188,1.42,62,55,+7,+0.18,55.4,56.8,-1.4,-0.04,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
943e8050,/en/squads/943e8050/2023-2024/Burnley-Stats,vs Burnley,31,26.3,38,"3,420",90,100,38.0,418,82,273,145,18,195,2.13,78,41,+37,+0.97,70.4,40.6,+29.7,+0.78,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
cff3d9bb,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,vs Chelsea,32,26.3,38,"3,420",90,100,38.0,418,84,263,154,21,187,1.11,63,77,-14,-0.37,58.1,74.5,-16.4,-0.43,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
47c64c55,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,vs Crystal Palace,26,26.3,38,"3,420",90,100,38.0,418,85,258,158,18,183,1.45,58,57,+1,+0.03,52.0,48.6,+3.4,+0.09,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
d3fd31cc,/en/squads/d3fd31cc/2023-2024/Everton-Stats,vs Everton,26,26.3,38,"3,420",90,100,38.0,418,85,271,146,19,194,1.50,51,40,+11,+0.29,55.2,54.0,+1.2,+0.03,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
fd962109,/en/squads/fd962109/2023-2024/Fulham-Stats,vs Fulham,25,26.1,38,"3,420",90,100,38.0,418,82,263,158,21,183,1.55,61,55,+6,+0.16,62.9,50.8,+12.1,+0.32,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
822bd0ba,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,vs Liverpool,30,26.2,38,"3,420",90,100,38.0,418,82,273,143,19,197,0.58,41,86,-45,-1.18,45.7,87.8,-42.0,-1.11,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
e297cd13,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,vs Luton Town,28,26.5,38,"3,420",90,100,38.0,418,82,263,155,18,187,2.11,85,52,+33,+0.87,78.0,42.4,+35.5,+0.94,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
b8fd03ef,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,vs Manchester City,25,26.4,38,"3,420",90,100,38.0,418,85,256,161,19,180,0.42,34,96,-62,-1.63,35.6,80.5,-44.9,-1.18,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
19538871,/en/squads/19538871/2023-2024/Manchester-United-Stats,vs Manchester Utd,31,26.2,38,"3,420",90,100,38.0,418,84,275,143,16,198,1.26,58,57,+1,+0.03,68.9,56.5,+12.5,+0.33,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
b2b47a98,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,vs Newcastle Utd,32,26.2,38,"3,420",90,100,38.0,418,83,262,153,19,189,1.26,62,85,-23,-0.61,61.4,76.0,-14.6,-0.38,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
e4a775cb,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,vs Nott'ham Forest,33,26.4,38,"3,420",90,100,38.0,418,83,262,152,21,189,1.82,67,49,+18,+0.47,53.3,49.9,+3.4,+0.09,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
1df6b87e,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,vs Sheffield Utd,35,26.4,38,"3,420",90,100,38.0,418,81,265,152,17,188,2.39,104,35,+69,+1.82,76.6,38.3,+38.3,+1.01,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
361ca564,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats,vs Tottenham,29,26.4,38,"3,420",90,100,38.0,418,82,261,154,19,187,1.11,61,74,-13,-0.34,63.4,68.2,-4.8,-0.13,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
7c21e445,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,vs West Ham,26,26.1,38,"3,420",90,100,38.0,418,85,266,153,16,188,1.37,74,60,+14,+0.37,71.1,52.3,+18.8,+0.49,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
8cec06e1,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats,vs Wolves,27,26.4,38,"3,420",90,100,38.0,418,83,265,151,17,189,1.61,65,50,+15,+0.39,67.7,46.7,+21.0,+0.55,9,2023-2024,e57d5e63-d067-429a-b5bd-6f3b1c180a76
