team_id,team_url,team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2016-2017/Arsenal-Stats,Arsenal,29,26.9,38,"3,420",90,100,38.0,418,,,111,0,155,1.97,77,44,+33,+0.87,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
4ba7cbea,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,Bournemouth,27,27.0,38,"3,420",90,100,38.0,418,,,110,0,156,1.21,55,67,-12,-0.32,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
943e8050,/en/squads/943e8050/2016-2017/Burnley-Stats,Burnley,27,27.7,38,"3,420",90,100,38.0,418,,,105,0,161,1.05,39,55,-16,-0.42,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
cff3d9bb,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,Chelsea,24,27.2,38,"3,420",90,100,38.0,418,,,114,0,152,2.45,85,33,+52,+1.37,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
47c64c55,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,Crystal Palace,31,27.7,38,"3,420",90,100,38.0,418,,,110,0,156,1.08,50,63,-13,-0.34,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
d3fd31cc,/en/squads/d3fd31cc/2016-2017/Everton-Stats,Everton,27,27.5,38,"3,420",90,100,38.0,418,,,107,0,158,1.61,62,44,+18,+0.47,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
bd8769d1,/en/squads/bd8769d1/2016-2017/Hull-City-Stats,Hull City,28,27.4,38,"3,420",90,100,38.0,418,,,101,0,165,0.89,37,80,-43,-1.13,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
a2d435b3,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,Leicester City,25,27.8,38,"3,420",90,100,38.0,418,,,106,0,160,1.16,48,63,-15,-0.39,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
822bd0ba,/en/squads/822bd0ba/2016-2017/Liverpool-Stats,Liverpool,23,26.1,38,"3,420",90,100,38.0,418,,,100,0,166,2.00,78,42,+36,+0.95,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
b8fd03ef,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,Manchester City,25,28.5,38,"3,420",90,100,38.0,418,,,106,0,159,2.05,80,39,+41,+1.08,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
19538871,/en/squads/19538871/2016-2017/Manchester-United-Stats,Manchester Utd,31,26.7,38,"3,420",90,100,38.0,418,,,110,0,156,1.82,54,29,+25,+0.66,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
7f59c601,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,Middlesbrough,27,27.3,38,"3,420",90,100,38.0,418,,,94,0,172,0.74,27,53,-26,-0.68,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
33c895d4,/en/squads/33c895d4/2016-2017/Southampton-Stats,Southampton,26,26.0,38,"3,420",90,100,38.0,418,,,109,0,157,1.21,41,48,-7,-0.18,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
17892952,/en/squads/17892952/2016-2017/Stoke-City-Stats,Stoke City,26,28.7,38,"3,420",90,100,38.0,418,,,93,0,173,1.16,41,56,-15,-0.39,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
8ef52968,/en/squads/8ef52968/2016-2017/Sunderland-Stats,Sunderland,31,26.8,38,"3,420",90,100,38.0,418,,,94,0,172,0.63,29,69,-40,-1.05,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
fb10988f,/en/squads/fb10988f/2016-2017/Swansea-City-Stats,Swansea City,27,27.4,38,"3,420",90,100,38.0,418,,,105,0,161,1.08,45,70,-25,-0.66,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
361ca564,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,Tottenham,24,25.3,38,"3,420",90,100,38.0,418,,,111,0,155,2.26,86,26,+60,+1.58,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
2abfe087,/en/squads/2abfe087/2016-2017/Watford-Stats,Watford,33,29.0,38,"3,420",90,100,38.0,418,,,108,0,158,1.05,40,68,-28,-0.74,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
60c6b05f,/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,West Brom,23,29.4,38,"3,420",90,100,38.0,418,,,109,0,158,1.18,43,51,-8,-0.21,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
7c21e445,/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,West Ham,29,27.1,38,"3,420",90,100,38.0,418,,,109,0,156,1.18,47,64,-17,-0.45,9,2016-2017,c62967f4-c7ee-400a-a542-528a721f7801
