team_id,team_url,team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2019-2020/Arsenal-Stats,Arsenal,29,25.8,38,"3,420",90,100,38.0,418,83,,123,21,163,1.47,56,48,+8,+0.21,47.0,55.3,-8.3,-0.22,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
8602292d,/en/squads/8602292d/2019-2020/Aston-Villa-Stats,Aston Villa,28,25.7,38,"3,420",90,100,38.0,418,84,,113,22,173,0.92,41,67,-26,-0.68,44.3,67.8,-23.5,-0.62,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
4ba7cbea,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats,Bournemouth,27,25.2,38,"3,420",90,100,38.0,418,84,,108,23,176,0.89,40,65,-25,-0.66,44.8,62.3,-17.5,-0.46,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
d07537b9,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats,Brighton,25,26.4,38,"3,420",90,100,38.0,418,84,,128,20,155,1.08,39,54,-15,-0.39,45.4,55.0,-9.5,-0.25,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
943e8050,/en/squads/943e8050/2019-2020/Burnley-Stats,Burnley,22,28.0,38,"3,420",90,100,38.0,418,86,,74,20,206,1.42,43,50,-7,-0.18,47.4,49.8,-2.4,-0.06,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
cff3d9bb,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats,Chelsea,27,25.5,38,"3,420",90,100,38.0,418,84,,117,20,166,1.74,69,54,+15,+0.39,69.2,38.6,+30.6,+0.81,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
47c64c55,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats,Crystal Palace,25,29.4,38,"3,420",90,100,38.0,418,85,,98,20,185,1.13,31,50,-19,-0.50,35.8,57.0,-21.2,-0.56,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
d3fd31cc,/en/squads/d3fd31cc/2019-2020/Everton-Stats,Everton,24,25.5,38,"3,420",90,100,38.0,418,83,,120,24,164,1.29,44,56,-12,-0.32,50.8,48.3,+2.5,+0.07,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
a2d435b3,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats,Leicester City,24,26.1,38,"3,420",90,100,38.0,418,84,,112,21,172,1.63,67,41,+26,+0.68,62.2,45.5,+16.7,+0.44,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
822bd0ba,/en/squads/822bd0ba/2019-2020/Liverpool-Stats,Liverpool,24,26.6,38,"3,420",90,100,38.0,418,85,,127,17,157,2.61,85,33,+52,+1.37,68.9,37.7,+31.2,+0.82,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
b8fd03ef,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats,Manchester City,24,26.9,38,"3,420",90,100,38.0,418,83,,120,22,166,2.13,102,35,+67,+1.76,92.0,36.2,+55.7,+1.47,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
19538871,/en/squads/19538871/2019-2020/Manchester-United-Stats,Manchester Utd,29,24.8,38,"3,420",90,100,38.0,418,85,,119,16,165,1.74,66,36,+30,+0.79,62.2,37.7,+24.5,+0.64,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
b2b47a98,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats,Newcastle Utd,28,26.5,38,"3,420",90,100,38.0,418,84,,118,20,166,1.16,38,58,-20,-0.53,35.5,65.6,-30.1,-0.79,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
1c781004,/en/squads/1c781004/2019-2020/Norwich-City-Stats,Norwich City,30,26.0,38,"3,420",90,100,38.0,418,85,,126,17,157,0.55,26,75,-49,-1.29,37.0,66.5,-29.5,-0.78,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
1df6b87e,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats,Sheffield Utd,26,26.9,38,"3,420",90,100,38.0,418,84,,110,22,171,1.42,39,39,0,0.00,43.0,51.0,-7.9,-0.21,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
33c895d4,/en/squads/33c895d4/2019-2020/Southampton-Stats,Southampton,25,25.9,38,"3,420",90,100,38.0,418,85,,111,18,171,1.37,51,60,-9,-0.24,56.1,52.8,+3.3,+0.09,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
361ca564,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats,Tottenham,29,26.7,38,"3,420",90,100,38.0,418,85,,113,18,171,1.55,61,47,+14,+0.37,47.9,54.2,-6.3,-0.17,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
2abfe087,/en/squads/2abfe087/2019-2020/Watford-Stats,Watford,26,28.9,38,"3,420",90,100,38.0,418,84,,113,20,171,0.89,36,64,-28,-0.74,48.9,58.1,-9.3,-0.24,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
7c21e445,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats,West Ham,29,27.4,38,"3,420",90,100,38.0,418,85,,107,21,177,1.03,49,62,-13,-0.34,48.6,63.8,-15.2,-0.40,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
8cec06e1,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats,Wolves,21,26.6,38,"3,420",90,100,38.0,418,86,,97,19,187,1.55,51,40,+11,+0.29,54.1,38.0,+16.1,+0.42,9,2019-2020,d869901d-3e36-4036-a75e-7a2585d1853a
