team_id,team_url,team,players_used_away,possession_away,minutes_90s_away,touches_away,touches_def_pen_area_away,touches_def_3rd_away,touches_mid_3rd_away,touches_att_3rd_away,touches_att_pen_area_away,touches_live_ball_away,take_ons_away,take_ons_won_away,take_ons_won_pct_away,take_ons_tackled_away,take_ons_tackled_pct_away,carries_away,carries_distance_away,carries_progressive_distance_away,progressive_carries_away,carries_into_final_third_away,carries_into_penalty_area_away,miscontrols_away,dispossessed_away,passes_received_away,progressive_passes_received_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2018-2019/Arsenal-Stats,vs Arsenal,28,41.9,38.0,20743,2232,6287,9435,5238,832,20736,537,307,57.2,228,42.5,10747,58396,30164,683,495,184,551,380,12212,1265,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
4ba7cbea,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,vs Bournemouth,28,53.1,38.0,24695,2164,6511,11786,6614,916,24690,494,278,56.3,216,43.7,13627,72502,37072,741,582,203,551,309,15971,1652,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
d07537b9,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats,vs Brighton,21,57.6,38.0,26121,1782,6315,12989,7048,973,26111,582,318,54.6,264,45.4,14786,81420,45177,845,676,196,548,415,17547,1815,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
943e8050,/en/squads/943e8050/2018-2019/Burnley-Stats,vs Burnley,23,58.8,38.0,25526,2181,7421,11647,6656,1065,25523,539,302,56.0,237,44.0,14232,77331,42340,917,592,247,548,347,16502,1710,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
75fae011,/en/squads/75fae011/2018-2019/Cardiff-City-Stats,vs Cardiff City,25,64.6,38.0,26490,2114,7085,13042,6588,995,26484,607,366,60.3,241,39.7,14676,82808,44834,872,646,232,631,414,17425,1711,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
cff3d9bb,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,vs Chelsea,24,37.1,38.0,20301,2645,7508,8559,4459,609,20300,541,300,55.5,241,44.5,10700,54769,25744,501,394,133,542,377,12010,1116,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
47c64c55,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats,vs Crystal Palace,26,54.8,38.0,25658,2115,6318,12495,7063,865,25653,590,309,52.4,281,47.6,14615,77347,41997,827,662,144,642,452,16640,1879,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
d3fd31cc,/en/squads/d3fd31cc/2018-2019/Everton-Stats,vs Everton,23,48.5,38.0,22290,2294,7169,10332,5017,712,22285,512,291,56.8,219,42.8,11609,63158,33311,598,428,154,575,478,13052,1351,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
fd962109,/en/squads/fd962109/2018-2019/Fulham-Stats,vs Fulham,28,51.2,38.0,24767,2137,6782,11798,6404,1026,24761,524,300,57.3,224,42.7,13459,71206,38700,816,572,253,582,372,15968,1703,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
f5922ca5,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,vs Huddersfield,31,52.8,38.0,24854,2275,7026,12324,5712,824,24846,625,362,57.9,263,42.1,13507,69842,36344,742,550,194,610,445,15783,1578,9,2018-2019,d6a1ce65-7626-4e43-b8b9-83a283601b1c
