team_id,team_url,team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,Arsenal,25,58.2,38.0,26493,1974,6714,11407,8560,1480,26483,671,283,42.2,304,45.3,16297,81171,41510,821,575,327,525,375,18917,2088,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
8602292d,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,Aston Villa,31,53.1,38.0,23059,2807,8171,9636,5459,1010,23055,757,345,45.6,315,41.6,14451,78629,41239,775,490,217,477,416,15824,1438,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
4ba7cbea,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,Bournemouth,30,44.4,38.0,20700,2486,6820,8469,5686,1033,20697,872,382,43.8,414,47.5,11015,66369,34635,709,513,240,637,386,11771,1296,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
cd051869,/en/squads/cd051869/2023-2024/Brentford-Stats,Brentford,28,45.2,38.0,21227,2878,7944,8253,5210,982,21224,577,243,42.1,269,46.6,10970,56621,29411,505,363,156,556,271,12416,1276,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
d07537b9,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,Brighton,30,59.8,38.0,29112,3197,9449,13090,6766,1081,29106,715,297,41.5,322,45.0,19020,92960,48884,864,584,269,579,342,21577,1767,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
943e8050,/en/squads/943e8050/2023-2024/Burnley-Stats,Burnley,31,47.4,38.0,22181,2907,8021,9196,5155,819,22178,699,300,42.9,329,47.1,12244,66914,35421,727,460,240,517,296,13779,1162,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
cff3d9bb,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,Chelsea,32,58.6,38.0,27725,3035,9367,12068,6558,1039,27713,869,398,45.8,365,42.0,16624,84615,44082,873,543,291,604,370,19899,1600,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
47c64c55,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,Crystal Palace,26,42.3,38.0,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,506,383,170,606,426,12811,1161,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
d3fd31cc,/en/squads/d3fd31cc/2023-2024/Everton-Stats,Everton,26,40.8,38.0,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,495,389,127,560,320,11254,1119,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
fd962109,/en/squads/fd962109/2023-2024/Fulham-Stats,Fulham,25,50.6,38.0,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,670,508,151,520,325,16183,1452,9,2023-2024,3e843557-8f12-4a6e-9041-399f264a4d27
