team_id,team_url,team,players_used_away,minutes_90s_away,goals_away,shots_away,shots_on_target_away,shots_on_target_pct_away,shots_per90_away,shots_on_target_per90_away,goals_per_shot_away,goals_per_shot_on_target_away,average_shot_distance_away,pens_made_away,pens_att_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2015-2016/Arsenal-Stats,vs Arsenal,25,38.0,33,450,152,33.8,11.84,4.00,0.07,0.21,,1,1,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
8602292d,/en/squads/8602292d/2015-2016/Aston-Villa-Stats,vs Aston Villa,29,38.0,73,501,191,38.1,13.18,5.03,0.14,0.37,,3,5,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
4ba7cbea,/en/squads/4ba7cbea/2015-2016/Bournemouth-Stats,vs Bournemouth,28,38.0,67,438,155,35.4,11.53,4.08,0.14,0.41,,4,6,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
cff3d9bb,/en/squads/cff3d9bb/2015-2016/Chelsea-Stats,vs Chelsea,28,38.0,52,483,175,36.2,12.71,4.61,0.10,0.28,,3,4,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
47c64c55,/en/squads/47c64c55/2015-2016/Crystal-Palace-Stats,vs Crystal Palace,30,38.0,48,568,173,30.5,14.95,4.55,0.08,0.25,,4,4,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
d3fd31cc,/en/squads/d3fd31cc/2015-2016/Everton-Stats,vs Everton,31,38.0,55,552,187,33.9,14.53,4.92,0.09,0.27,,5,6,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
a2d435b3,/en/squads/a2d435b3/2015-2016/Leicester-City-Stats,vs Leicester City,23,38.0,36,518,143,27.6,13.63,3.76,0.06,0.22,,4,4,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
822bd0ba,/en/squads/822bd0ba/2015-2016/Liverpool-Stats,vs Liverpool,34,38.0,49,399,133,33.3,10.50,3.50,0.12,0.35,,2,3,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
b8fd03ef,/en/squads/b8fd03ef/2015-2016/Manchester-City-Stats,vs Manchester City,25,38.0,39,337,128,38.0,8.87,3.37,0.11,0.30,,1,1,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
19538871,/en/squads/19538871/2015-2016/Manchester-United-Stats,vs Manchester Utd,33,38.0,33,411,125,30.4,10.82,3.29,0.08,0.25,,2,2,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
b2b47a98,/en/squads/b2b47a98/2015-2016/Newcastle-United-Stats,vs Newcastle Utd,31,38.0,63,551,179,32.5,14.50,4.71,0.11,0.33,,4,5,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
1c781004,/en/squads/1c781004/2015-2016/Norwich-City-Stats,vs Norwich City,28,38.0,66,491,173,35.2,12.92,4.55,0.12,0.33,,9,10,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
33c895d4,/en/squads/33c895d4/2015-2016/Southampton-Stats,vs Southampton,26,38.0,41,462,139,30.1,12.16,3.66,0.09,0.29,,1,1,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
17892952,/en/squads/17892952/2015-2016/Stoke-City-Stats,vs Stoke City,27,38.0,55,536,180,33.6,14.11,4.74,0.09,0.28,,5,5,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
8ef52968,/en/squads/8ef52968/2015-2016/Sunderland-Stats,vs Sunderland,31,38.0,61,573,223,38.9,15.08,5.87,0.09,0.24,,7,8,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
fb10988f,/en/squads/fb10988f/2015-2016/Swansea-City-Stats,vs Swansea City,27,38.0,49,521,168,32.2,13.71,4.42,0.09,0.28,,2,2,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
361ca564,/en/squads/361ca564/2015-2016/Tottenham-Hotspur-Stats,vs Tottenham,24,38.0,32,422,122,28.9,11.11,3.21,0.07,0.25,,2,2,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
2abfe087,/en/squads/2abfe087/2015-2016/Watford-Stats,vs Watford,25,38.0,48,500,170,34.0,13.16,4.47,0.09,0.26,,4,7,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
60c6b05f,/en/squads/60c6b05f/2015-2016/West-Bromwich-Albion-Stats,vs West Brom,28,38.0,46,548,159,29.0,14.42,4.18,0.07,0.26,,5,6,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
7c21e445,/en/squads/7c21e445/2015-2016/West-Ham-United-Stats,vs West Ham,28,38.0,49,522,167,32.0,13.74,4.39,0.08,0.26,,6,8,9,2015-2016,b88059a5-8d46-45e5-be2b-d41682b8c833
