team_id,team_url,team,players_used_away,minutes_90s_away,goals_away,shots_away,shots_on_target_away,shots_on_target_pct_away,shots_per90_away,shots_on_target_per90_away,goals_per_shot_away,goals_per_shot_on_target_away,average_shot_distance_away,shots_free_kicks_away,pens_made_away,pens_att_away,xg_away,npxg_away,npxg_per_shot_away,xg_net_away,npxg_net_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2021-2022/Arsenal-Stats,vs Arsenal,27,38.0,47,419,142,33.9,11.03,3.74,0.10,0.30,17.6,16,5,6,45.7,40.9,0.10,+1.3,+1.1,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
8602292d,/en/squads/8602292d/2021-2022/Aston-Villa-Stats,vs Aston Villa,31,38.0,52,471,144,30.6,12.39,3.79,0.10,0.33,17.4,22,4,6,49.0,44.1,0.10,+3.0,+3.9,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
cd051869,/en/squads/cd051869/2021-2022/Brentford-Stats,vs Brentford,29,38.0,54,498,174,34.9,13.11,4.58,0.10,0.28,18.2,22,5,5,48.5,44.6,0.09,+5.5,+4.4,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
d07537b9,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats,vs Brighton,26,38.0,44,472,143,30.3,12.42,3.76,0.09,0.29,18.6,21,3,4,42.9,39.8,0.09,+1.1,+1.2,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
943e8050,/en/squads/943e8050/2021-2022/Burnley-Stats,vs Burnley,23,38.0,51,598,173,28.9,15.74,4.55,0.08,0.27,17.7,16,5,5,57.1,53.2,0.09,-6.1,-7.2,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
cff3d9bb,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats,vs Chelsea,26,38.0,32,335,109,32.5,8.82,2.87,0.08,0.24,18.1,11,6,6,33.2,28.9,0.09,-1.2,-2.9,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
47c64c55,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats,vs Crystal Palace,24,38.0,44,439,140,31.9,11.55,3.68,0.09,0.29,17.9,20,3,4,40.7,37.6,0.09,+3.3,+3.4,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
d3fd31cc,/en/squads/d3fd31cc/2021-2022/Everton-Stats,vs Everton,33,38.0,61,520,186,35.8,13.68,4.89,0.11,0.32,17.7,19,2,2,55.4,53.9,0.11,+5.6,+5.1,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
5bfb9659,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats,vs Leeds United,29,38.0,78,576,219,38.0,15.16,5.76,0.13,0.33,17.3,23,5,5,67.8,64.0,0.11,+10.2,+9.0,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
a2d435b3,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats,vs Leicester City,28,38.0,58,556,183,32.9,14.63,4.82,0.09,0.28,16.4,15,7,9,59.3,52.6,0.10,-1.3,-1.6,9,2021-2022,abc6f6ff-d33a-42c9-bcb9-a88cdf1d7ef8
