team_id,team_url,team,players_used_away,minutes_90s_away,goals_away,shots_away,shots_on_target_away,shots_on_target_pct_away,shots_per90_away,shots_on_target_per90_away,goals_per_shot_away,goals_per_shot_on_target_away,average_shot_distance_away,shots_free_kicks_away,pens_made_away,pens_att_away,xg_away,npxg_away,npxg_per_shot_away,xg_net_away,npxg_net_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,vs Arsenal,25,38.0,28,320,80,25.0,8.42,2.11,0.08,0.33,18.3,12,2,3,27.9,25.7,0.08,+0.1,+0.3,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
8602292d,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,vs Aston Villa,31,38.0,57,453,171,37.7,11.92,4.50,0.12,0.33,15.7,13,1,2,59.9,58.2,0.13,-2.9,-2.2,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
4ba7cbea,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,vs Bournemouth,30,38.0,66,527,187,35.5,13.87,4.92,0.11,0.32,16.6,9,6,7,58.1,52.5,0.10,+7.9,+7.5,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
cd051869,/en/squads/cd051869/2023-2024/Brentford-Stats,vs Brentford,28,38.0,65,546,182,33.3,14.37,4.79,0.12,0.35,17.8,10,2,2,56.0,54.4,0.10,+9.0,+8.6,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
d07537b9,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,vs Brighton,30,38.0,60,462,159,34.4,12.16,4.18,0.12,0.34,16.3,15,6,6,55.4,50.7,0.11,+4.6,+3.3,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
943e8050,/en/squads/943e8050/2023-2024/Burnley-Stats,vs Burnley,31,38.0,75,608,237,39.0,16.00,6.24,0.11,0.29,16.1,16,6,7,70.4,64.9,0.11,+4.6,+4.1,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
cff3d9bb,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,vs Chelsea,32,38.0,60,551,182,33.0,14.50,4.79,0.10,0.31,16.9,25,3,5,58.1,54.1,0.10,+1.9,+2.9,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
47c64c55,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,vs Crystal Palace,26,38.0,56,457,151,33.0,12.03,3.97,0.12,0.35,15.8,8,3,3,52.0,49.6,0.11,+4.0,+3.4,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
d3fd31cc,/en/squads/d3fd31cc/2023-2024/Everton-Stats,vs Everton,26,38.0,48,530,157,29.6,13.95,4.13,0.08,0.25,16.9,12,8,8,55.2,49.1,0.10,-7.2,-9.1,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
fd962109,/en/squads/fd962109/2023-2024/Fulham-Stats,vs Fulham,25,38.0,57,515,182,35.3,13.55,4.79,0.10,0.27,16.6,16,8,8,62.9,56.9,0.11,-5.9,-7.9,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
822bd0ba,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,vs Liverpool,30,38.0,39,413,146,35.4,10.87,3.84,0.09,0.26,17.3,17,1,1,45.7,45.0,0.11,-6.7,-7.0,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
e297cd13,/en/squads/e297cd13/2023-2024/Luton-Town-Stats,vs Luton Town,28,38.0,81,656,219,33.4,17.26,5.76,0.12,0.35,16.6,18,4,4,78.0,74.9,0.12,+3.0,+2.1,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
b8fd03ef,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats,vs Manchester City,25,38.0,33,291,106,36.4,7.66,2.79,0.10,0.28,16.2,6,3,3,35.6,33.2,0.12,-2.6,-3.2,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
19538871,/en/squads/19538871/2023-2024/Manchester-United-Stats,vs Manchester Utd,31,38.0,57,660,196,29.7,17.37,5.16,0.08,0.26,16.7,17,7,7,68.9,63.4,0.10,-11.9,-13.4,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
b2b47a98,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats,vs Newcastle Utd,32,38.0,61,529,190,35.9,13.92,5.00,0.11,0.30,16.9,13,4,5,61.4,57.4,0.11,-0.4,-0.4,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
e4a775cb,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats,vs Nott'ham Forest,33,38.0,65,505,159,31.5,13.29,4.18,0.12,0.38,17.1,21,4,4,53.3,50.1,0.10,+11.7,+10.9,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
1df6b87e,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats,vs Sheffield Utd,35,38.0,97,671,258,38.5,17.66,6.79,0.14,0.36,16.6,14,5,7,76.6,71.2,0.11,+20.4,+20.8,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
361ca564,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats,vs Tottenham,29,38.0,58,478,160,33.5,12.58,4.21,0.11,0.32,15.9,12,7,7,63.4,58.4,0.13,-5.4,-7.4,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
7c21e445,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats,vs West Ham,26,38.0,70,642,231,36.0,16.89,6.08,0.10,0.27,17.5,16,8,10,71.1,63.2,0.10,-1.1,-1.2,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
8cec06e1,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats,vs Wolves,27,38.0,64,568,195,34.3,14.95,5.13,0.10,0.29,16.6,13,8,8,67.7,61.4,0.11,-3.7,-5.4,9,2023-2024,5df18036-e290-4fe0-bf2b-9e75ce286c3a
