team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2016-2017/Arsenal-Stats,Arsenal,29,38.0,73,568,201,35.4,14.95,5.29,0.12,0.34,,4,6,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
4ba7cbea,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,Bournemouth,27,38.0,53,452,160,35.4,11.89,4.21,0.10,0.29,,7,10,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
943e8050,/en/squads/943e8050/2016-2017/Burnley-Stats,Burnley,27,38.0,39,388,121,31.2,10.21,3.18,0.09,0.27,,6,6,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
cff3d9bb,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,Chelsea,24,38.0,83,582,205,35.2,15.32,5.39,0.14,0.40,,2,4,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
47c64c55,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,Crystal Palace,31,38.0,48,441,137,31.1,11.61,3.61,0.10,0.32,,4,7,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
d3fd31cc,/en/squads/d3fd31cc/2016-2017/Everton-Stats,Everton,27,38.0,58,500,192,38.4,13.16,5.05,0.11,0.29,,3,4,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
bd8769d1,/en/squads/bd8769d1/2016-2017/Hull-City-Stats,Hull City,28,38.0,36,396,126,31.8,10.42,3.32,0.08,0.26,,3,3,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
a2d435b3,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,Leicester City,25,38.0,46,435,145,33.3,11.45,3.82,0.10,0.29,,4,6,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
822bd0ba,/en/squads/822bd0ba/2016-2017/Liverpool-Stats,Liverpool,23,38.0,77,639,236,36.9,16.82,6.21,0.11,0.30,,7,8,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
b8fd03ef,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats,Manchester City,25,38.0,75,633,215,34.0,16.66,5.66,0.11,0.32,,7,9,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
19538871,/en/squads/19538871/2016-2017/Manchester-United-Stats,Manchester Utd,31,38.0,54,589,207,35.1,15.50,5.45,0.09,0.25,,3,4,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
7f59c601,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,Middlesbrough,27,38.0,26,349,98,28.1,9.18,2.58,0.07,0.24,,2,2,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
33c895d4,/en/squads/33c895d4/2016-2017/Southampton-Stats,Southampton,26,38.0,39,549,179,32.6,14.45,4.71,0.07,0.20,,3,6,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
17892952,/en/squads/17892952/2016-2017/Stoke-City-Stats,Stoke City,26,38.0,37,426,135,31.7,11.21,3.55,0.08,0.24,,4,6,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
8ef52968,/en/squads/8ef52968/2016-2017/Sunderland-Stats,Sunderland,31,38.0,28,388,122,31.4,10.21,3.21,0.06,0.19,,5,5,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
fb10988f,/en/squads/fb10988f/2016-2017/Swansea-City-Stats,Swansea City,27,38.0,45,403,145,36.0,10.61,3.82,0.10,0.29,,3,3,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
361ca564,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,Tottenham,24,38.0,84,670,257,38.4,17.63,6.76,0.11,0.30,,7,9,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
2abfe087,/en/squads/2abfe087/2016-2017/Watford-Stats,Watford,33,38.0,39,424,143,33.7,11.16,3.76,0.08,0.25,,3,3,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
60c6b05f,/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,West Brom,23,38.0,43,399,124,31.1,10.50,3.26,0.11,0.34,,1,1,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
7c21e445,/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,West Ham,29,38.0,46,498,136,27.3,13.11,3.58,0.09,0.32,,3,4,9,2016-2017,bd567ebd-5c35-4085-b46f-7f3e50584836
