team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2024-2025/Arsenal-Stats,Arsenal,25,38.0,67,544,178,32.7,14.32,4.68,0.12,0.37,15.1,10,2,2,59.9,58.4,0.11,+7.1,+6.6,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/8602292d/Aston-Villa-Stats,Aston Villa,28,38.0,56,478,159,33.3,12.58,4.18,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,+1.7,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/4ba7cbea/Bournemouth-Stats,Bournemouth,29,38.0,57,574,192,33.4,15.11,5.05,0.09,0.27,16.7,10,6,7,64.0,58.5,0.10,-7.0,-7.5,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/cd051869/Brentford-Stats,Brentford,28,38.0,65,434,173,39.9,11.42,4.55,0.14,0.35,14.9,10,5,6,59.0,54.4,0.13,+6.0,+5.6,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,Brighton,32,38.0,64,526,183,34.8,13.84,4.82,0.11,0.31,17.2,25,7,7,58.7,53.3,0.10,+5.3,+3.7,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
cff3d9bb,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats,Chelsea,29,38.0,61,590,203,34.4,15.53,5.34,0.10,0.28,16.7,17,4,5,67.8,63.8,0.11,-6.8,-6.8,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/47c64c55/Crystal-Palace-Stats,Crystal Palace,29,38.0,49,512,175,34.2,13.47,4.61,0.09,0.26,16.8,19,3,4,60.4,57.3,0.11,-11.4,-11.3,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/d3fd31cc/Everton-Stats,Everton,26,38.0,39,404,139,34.4,10.63,3.66,0.09,0.27,16.8,11,2,2,41.8,40.2,0.10,-2.8,-3.2,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/fd962109/Fulham-Stats,Fulham,26,38.0,53,516,167,32.4,13.58,4.39,0.10,0.30,16.4,10,3,4,49.0,45.9,0.09,+4.0,+4.1,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/b74092de/Ipswich-Town-Stats,Ipswich Town,32,38.0,35,374,120,32.1,9.84,3.16,0.09,0.28,17.7,10,2,2,34.4,32.8,0.09,+0.6,+0.2,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/a2d435b3/Leicester-City-Stats,Leicester City,32,38.0,33,332,105,31.6,8.74,2.76,0.09,0.30,17.3,8,2,3,32.6,30.4,0.09,+0.4,+0.6,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
822bd0ba,/en/squads/822bd0ba/2024-2025/Liverpool-Stats,Liverpool,24,38.0,85,639,215,33.6,16.82,5.66,0.12,0.35,15.9,11,9,9,82.2,75.2,0.12,+2.8,+0.8,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
b8fd03ef,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats,Manchester City,30,38.0,71,603,208,34.5,15.87,5.47,0.11,0.33,16.9,21,3,4,68.1,64.9,0.11,+2.9,+3.1,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/19538871/Manchester-United-Stats,Manchester Utd,31,38.0,42,524,168,32.1,13.79,4.42,0.07,0.23,17.4,15,4,4,52.6,49.4,0.10,-10.6,-11.4,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
b2b47a98,/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats,Newcastle Utd,24,38.0,66,519,163,31.4,13.66,4.29,0.12,0.37,15.9,14,5,6,63.8,59.5,0.12,+2.2,+1.5,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/e4a775cb/Nottingham-Forest-Stats,Nott'ham Forest,23,38.0,57,460,162,35.2,12.11,4.26,0.12,0.33,17.5,15,3,3,45.5,43.2,0.10,+11.5,+10.8,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/33c895d4/Southampton-Stats,Southampton,36,38.0,25,341,106,31.1,8.97,2.79,0.07,0.24,16.3,7,0,2,32.7,30.9,0.09,-7.7,-5.9,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
361ca564,/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats,Tottenham,31,38.0,61,493,177,35.9,12.97,4.66,0.12,0.33,16.0,13,3,4,58.8,55.7,0.12,+2.2,+2.3,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/7c21e445/West-Ham-United-Stats,West Ham,27,38.0,43,473,137,29.0,12.45,3.61,0.08,0.29,16.3,14,3,3,47.0,44.7,0.10,-4.0,-4.7,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
squads,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats,Wolves,32,38.0,53,431,155,36.0,11.34,4.08,0.12,0.34,18.1,18,0,0,43.7,43.7,0.10,+9.3,+9.3,9,2024-2025,27067eb8-458c-42ea-81a5-8933b9e85df2
