team_id,team_url,team,players_used_away,avg_age_away,possession_away,games_away,games_starts_away,minutes_away,minutes_90s_away,goals_away,assists_away,goals_assists_away,goals_pens_away,pens_made_away,pens_att_away,cards_yellow_away,cards_red_away,goals_per90_away,assists_per90_away,goals_assists_per90_away,goals_pens_per90_away,goals_assists_pens_per90_away,competition_id,season_id,id
18bb7c10,/en/squads/18bb7c10/2015-2016/Arsenal-Stats,vs Arsenal,25,26.7,41.7,38,418,"3,420",38.0,33,25,58,32,1,1,70,3,0.87,0.66,1.53,0.84,1.50,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
8602292d,/en/squads/8602292d/2015-2016/Aston-Villa-Stats,vs Aston Villa,29,27.1,53.6,38,418,"3,420",38.0,73,53,126,70,3,5,52,0,1.92,1.39,3.32,1.84,3.24,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
4ba7cbea,/en/squads/4ba7cbea/2015-2016/Bournemouth-Stats,vs Bournemouth,28,26.7,48.8,38,418,"3,420",38.0,67,47,114,63,4,6,56,5,1.76,1.24,3.00,1.66,2.89,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
cff3d9bb,/en/squads/cff3d9bb/2015-2016/Chelsea-Stats,vs Chelsea,28,27.1,43.8,38,418,"3,420",38.0,52,32,84,49,3,4,115,5,1.37,0.84,2.21,1.29,2.13,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
47c64c55,/en/squads/47c64c55/2015-2016/Crystal-Palace-Stats,vs Crystal Palace,30,26.8,54.2,38,418,"3,420",38.0,48,32,80,44,4,4,68,3,1.26,0.84,2.11,1.16,2.00,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
d3fd31cc,/en/squads/d3fd31cc/2015-2016/Everton-Stats,vs Everton,31,27.0,48.1,38,418,"3,420",38.0,55,42,97,50,5,6,62,1,1.45,1.11,2.55,1.32,2.42,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
a2d435b3,/en/squads/a2d435b3/2015-2016/Leicester-City-Stats,vs Leicester City,23,26.9,57.4,38,418,"3,420",38.0,36,23,59,32,4,4,68,2,0.95,0.61,1.55,0.84,1.45,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
822bd0ba,/en/squads/822bd0ba/2015-2016/Liverpool-Stats,vs Liverpool,34,27.1,42.8,38,418,"3,420",38.0,49,33,82,47,2,3,50,3,1.29,0.87,2.16,1.24,2.11,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
b8fd03ef,/en/squads/b8fd03ef/2015-2016/Manchester-City-Stats,vs Manchester City,25,27.0,43.1,38,418,"3,420",38.0,39,31,70,38,1,1,58,2,1.03,0.82,1.84,1.00,1.82,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
19538871,/en/squads/19538871/2015-2016/Manchester-United-Stats,vs Manchester Utd,33,27.2,41.5,38,418,"3,420",38.0,33,23,56,31,2,2,57,2,0.87,0.61,1.47,0.82,1.42,9,2015-2016,b8e1540c-2e66-4c95-80f2-2ccb5e641578
