rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,e0652b02,/en/squads/e0652b02/2015-2016/Juventus-Stats,Juventus,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e0652b02.png,19,16,2,1,37,6,+31,50,2.63,19,13,2,4,38,14,+24,41,2.16,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
2,d48ad4ff,/en/squads/d48ad4ff/2015-2016/Napoli-Stats,Napoli,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d48ad4ff.png,19,16,3,0,49,12,+37,51,2.68,19,9,4,6,31,20,+11,31,1.63,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
3,cf74a709,/en/squads/cf74a709/2015-2016/Roma-Stats,Roma,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cf74a709.png,19,13,5,1,44,17,+27,44,2.32,19,10,6,3,39,24,+15,36,1.89,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
4,d609edc0,/en/squads/d609edc0/2015-2016/Internazionale-Stats,Inter,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d609edc0.png,19,13,2,4,29,15,+14,41,2.16,19,7,5,7,21,23,-2,26,1.37,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
5,421387cf,/en/squads/421387cf/2015-2016/Fiorentina-Stats,Fiorentina,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.421387cf.png,19,11,5,3,34,16,+18,38,2.00,19,7,5,7,26,26,0,26,1.37,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
6,e2befd26,/en/squads/e2befd26/2015-2016/Sassuolo-Stats,Sassuolo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2befd26.png,19,8,8,3,25,20,+5,32,1.68,19,8,5,6,24,20,+4,29,1.53,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
7,dc56fe14,/en/squads/dc56fe14/2015-2016/Milan-Stats,Milan,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.dc56fe14.png,19,9,6,4,28,22,+6,33,1.74,19,6,6,7,21,21,0,24,1.26,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
8,7213da33,/en/squads/7213da33/2015-2016/Lazio-Stats,Lazio,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7213da33.png,19,10,3,6,32,23,+9,33,1.74,19,5,6,8,20,29,-9,21,1.11,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
9,cc919b35,/en/squads/cc919b35/2015-2016/Chievo-Stats,Chievo,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cc919b35.png,19,7,8,4,25,18,+7,29,1.53,19,6,3,10,18,27,-9,21,1.11,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
10,a3d88bd8,/en/squads/a3d88bd8/2015-2016/Empoli-Stats,Empoli,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.a3d88bd8.png,19,7,6,6,22,20,+2,27,1.42,19,5,4,10,18,29,-11,19,1.00,11,2015-2016,0ffee1da-5f5b-4bf0-b7d9-154d84b02d55
