rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,competition_id,season_id,id
1,e0652b02,/en/squads/e0652b02/2018-2019/Juventus-Stats,Juventus,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e0652b02.png,19,15,4,0,39,13,+26,49,2.58,33.6,16.0,+17.5,+0.92,19,13,2,4,31,17,+14,41,2.16,27.2,19.8,+7.4,+0.39,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
2,d48ad4ff,/en/squads/d48ad4ff/2018-2019/Napoli-Stats,Napoli,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d48ad4ff.png,19,13,4,2,41,16,+25,43,2.26,34.3,15.3,+19.0,+1.00,19,11,3,5,33,20,+13,36,1.89,27.5,23.0,+4.5,+0.24,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
3,922493f3,/en/squads/922493f3/2018-2019/Atalanta-Stats,Atalanta,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.922493f3.png,19,10,5,4,36,19,+17,35,1.84,36.9,14.4,+22.5,+1.18,19,10,4,5,41,27,+14,34,1.79,35.3,26.7,+8.6,+0.45,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
4,d609edc0,/en/squads/d609edc0/2018-2019/Internazionale-Stats,Inter,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d609edc0.png,19,11,5,3,27,10,+17,38,2.00,30.5,15.0,+15.5,+0.82,19,9,4,6,30,23,+7,31,1.63,33.3,23.3,+10.1,+0.53,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
5,dc56fe14,/en/squads/dc56fe14/2018-2019/Milan-Stats,Milan,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.dc56fe14.png,19,12,4,3,31,17,+14,40,2.11,29.1,20.0,+9.1,+0.48,19,7,7,5,24,19,+5,28,1.47,19.7,21.2,-1.5,-0.08,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
6,cf74a709,/en/squads/cf74a709/2018-2019/Roma-Stats,Roma,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cf74a709.png,19,12,5,2,43,26,+17,41,2.16,38.5,23.4,+15.2,+0.80,19,6,7,6,23,22,+1,25,1.32,25.8,28.8,-3.0,-0.16,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
7,105360fe,/en/squads/105360fe/2018-2019/Torino-Stats,Torino,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.105360fe.png,19,12,2,5,32,19,+13,38,2.00,28.5,22.6,+5.9,+0.31,19,4,13,2,20,18,+2,25,1.32,18.1,25.2,-7.0,-0.37,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
8,7213da33,/en/squads/7213da33/2018-2019/Lazio-Stats,Lazio,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.7213da33.png,19,9,5,5,36,25,+11,32,1.68,36.0,23.1,+13.0,+0.68,19,8,3,8,20,21,-1,27,1.42,24.4,23.9,+0.5,+0.02,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
9,8ff9e3b3,/en/squads/8ff9e3b3/2018-2019/Sampdoria-Stats,Sampdoria,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8ff9e3b3.png,19,10,2,7,28,16,+12,32,1.68,27.3,21.4,+5.9,+0.31,19,5,6,8,32,35,-3,21,1.11,23.1,33.6,-10.5,-0.55,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
10,1d8099f8,/en/squads/1d8099f8/2018-2019/Bologna-Stats,Bologna,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.1d8099f8.png,19,9,4,6,28,22,+6,31,1.63,24.9,20.6,+4.3,+0.23,19,2,7,10,20,34,-14,13,0.68,21.9,28.4,-6.5,-0.34,11,2018-2019,8b0bd703-c992-4096-b236-24dae015e46c
