team_id,team_url,team,players_used_away,minutes_90s_away,tackles_away,tackles_won_away,tackles_def_3rd_away,tackles_mid_3rd_away,tackles_att_3rd_away,challenge_tackles_away,challenges_away,challenge_tackles_pct_away,challenges_lost_away,blocks_away,blocked_shots_away,blocked_passes_away,interceptions_away,tackles_interceptions_away,clearances_away,errors_away,competition_id,season_id,id
922493f3,/en/squads/922493f3/2022-2023/Atalanta-Stats,vs Atalanta,27,38.0,742,458,420,245,77,355,695,51.1,340,454,133,321,360,1102,704,9,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
1d8099f8,/en/squads/1d8099f8/2022-2023/Bologna-Stats,vs Bologna,27,38.0,548,325,255,220,73,243,508,47.8,265,455,117,338,320,868,571,10,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
9aad3a77,/en/squads/9aad3a77/2022-2023/Cremonese-Stats,vs Cremonese,33,38.0,548,331,253,216,79,251,488,51.4,237,384,120,264,307,855,706,13,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
a3d88bd8,/en/squads/a3d88bd8/2022-2023/Empoli-Stats,vs Empoli,32,38.0,683,387,316,265,102,311,624,49.8,313,457,130,327,330,1013,632,8,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
421387cf,/en/squads/421387cf/2022-2023/Fiorentina-Stats,vs Fiorentina,30,38.0,618,339,338,227,53,273,596,45.8,323,448,176,272,331,949,844,12,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
0e72edf2,/en/squads/0e72edf2/2022-2023/Hellas-Verona-Stats,vs Hellas Verona,36,38.0,604,346,304,231,69,275,549,50.1,274,378,105,273,272,876,694,4,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
d609edc0,/en/squads/d609edc0/2022-2023/Internazionale-Stats,vs Inter,25,38.0,461,262,213,183,65,200,416,48.1,216,373,149,224,330,791,802,10,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
e0652b02,/en/squads/e0652b02/2022-2023/Juventus-Stats,vs Juventus,29,38.0,605,349,281,238,86,255,546,46.7,291,387,132,255,362,967,702,9,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
7213da33,/en/squads/7213da33/2022-2023/Lazio-Stats,vs Lazio,24,38.0,529,301,219,242,68,239,524,45.6,285,405,107,298,329,858,537,15,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
ffcbe334,/en/squads/ffcbe334/2022-2023/Lecce-Stats,vs Lecce,29,38.0,574,327,305,211,58,245,485,50.5,240,374,117,257,306,880,691,7,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
dc56fe14,/en/squads/dc56fe14/2022-2023/Milan-Stats,vs Milan,30,38.0,644,381,345,235,64,324,692,46.8,368,421,140,281,335,979,788,13,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
21680aa4,/en/squads/21680aa4/2022-2023/Monza-Stats,vs Monza,31,38.0,546,323,222,235,89,237,519,45.7,282,377,105,272,316,862,555,6,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
d48ad4ff,/en/squads/d48ad4ff/2022-2023/Napoli-Stats,vs Napoli,27,38.0,700,406,403,226,71,361,698,51.7,337,436,161,275,331,1031,726,14,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
cf74a709,/en/squads/cf74a709/2022-2023/Roma-Stats,vs Roma,30,38.0,633,388,303,253,77,315,589,53.5,274,399,138,261,290,923,621,11,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
c5577084,/en/squads/c5577084/2022-2023/Salernitana-Stats,vs Salernitana,30,38.0,564,331,225,257,82,261,525,49.7,264,372,96,276,299,863,564,8,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
8ff9e3b3,/en/squads/8ff9e3b3/2022-2023/Sampdoria-Stats,vs Sampdoria,40,38.0,557,354,244,234,79,222,482,46.1,260,431,99,332,317,874,649,5,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
e2befd26,/en/squads/e2befd26/2022-2023/Sassuolo-Stats,vs Sassuolo,31,38.0,634,360,319,244,71,270,569,47.5,299,426,124,302,306,940,625,10,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
68449f6d,/en/squads/68449f6d/2022-2023/Spezia-Stats,vs Spezia,34,38.0,669,367,314,257,98,303,581,52.2,278,430,117,313,354,1023,749,6,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
105360fe,/en/squads/105360fe/2022-2023/Torino-Stats,vs Torino,28,38.0,590,312,309,234,47,276,579,47.7,303,407,122,285,306,896,626,5,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
04eea015,/en/squads/04eea015/2022-2023/Udinese-Stats,vs Udinese,30,38.0,686,389,341,251,94,350,680,51.5,330,438,146,292,301,987,593,11,11,2022-2023,4a11306a-93d0-4e4b-8f8a-acc42bcf7738
