team_id,team_url,team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,competition_id,season_id,id
922493f3,/en/squads/922493f3/2017-2018/Atalanta-Stats,Atalanta,25,38.0,725,488,334,313,78,272,650,41.8,378,430,107,323,476,1201,820,11,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
4fcb34fd,/en/squads/4fcb34fd/2017-2018/Benevento-Stats,Benevento,41,38.0,581,409,320,206,55,191,551,34.7,360,398,140,258,449,1030,925,25,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
1d8099f8,/en/squads/1d8099f8/2017-2018/Bologna-Stats,Bologna,30,38.0,661,456,356,257,48,231,588,39.3,357,488,127,361,462,1123,1121,14,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
c4260e09,/en/squads/c4260e09/2017-2018/Cagliari-Stats,Cagliari,29,38.0,640,447,323,239,78,214,559,38.3,345,425,126,299,431,1071,1018,4,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
cc919b35,/en/squads/cc919b35/2017-2018/Chievo-Stats,Chievo,25,38.0,543,367,273,199,71,208,566,36.7,358,443,158,285,444,987,1140,14,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
3074d7b1,/en/squads/3074d7b1/2017-2018/Crotone-Stats,Crotone,29,38.0,697,440,365,255,77,222,613,36.2,391,449,119,330,578,1275,1233,10,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
421387cf,/en/squads/421387cf/2017-2018/Fiorentina-Stats,Fiorentina,27,38.0,742,497,362,284,96,267,656,40.7,389,438,75,363,489,1231,983,17,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
658bf2de,/en/squads/658bf2de/2017-2018/Genoa-Stats,Genoa,33,38.0,551,395,281,223,47,191,524,36.5,333,412,119,293,394,945,950,11,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
0e72edf2,/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats,Hellas Verona,32,38.0,664,459,351,245,68,213,603,35.3,390,425,146,279,541,1205,1113,24,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
d609edc0,/en/squads/d609edc0/2017-2018/Internazionale-Stats,Inter,22,38.0,632,435,318,252,62,237,612,38.7,375,349,109,240,402,1034,804,11,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
e0652b02,/en/squads/e0652b02/2017-2018/Juventus-Stats,Juventus,24,38.0,517,359,234,204,79,155,447,34.7,292,312,77,235,421,938,747,17,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
7213da33,/en/squads/7213da33/2017-2018/Lazio-Stats,Lazio,24,38.0,677,450,299,298,80,223,632,35.3,409,410,107,303,494,1171,789,12,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
dc56fe14,/en/squads/dc56fe14/2017-2018/Milan-Stats,Milan,24,38.0,533,376,244,214,75,181,466,38.8,285,422,103,319,354,887,855,20,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
d48ad4ff,/en/squads/d48ad4ff/2017-2018/Napoli-Stats,Napoli,23,38.0,599,407,208,308,83,221,581,38.0,360,403,67,336,341,940,565,16,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
cf74a709,/en/squads/cf74a709/2017-2018/Roma-Stats,Roma,27,38.0,548,384,251,212,85,183,470,38.9,287,320,104,216,477,1025,821,19,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
8ff9e3b3,/en/squads/8ff9e3b3/2017-2018/Sampdoria-Stats,Sampdoria,27,38.0,624,423,254,274,96,223,600,37.2,377,505,117,388,335,959,856,25,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
e2befd26,/en/squads/e2befd26/2017-2018/Sassuolo-Stats,Sassuolo,28,38.0,568,375,294,208,66,204,594,34.3,390,396,98,298,506,1074,1085,16,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
1d2fe027,/en/squads/1d2fe027/2017-2018/SPAL-Stats,SPAL,29,38.0,586,414,308,217,61,209,539,38.8,330,389,145,244,527,1113,1111,11,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
105360fe,/en/squads/105360fe/2017-2018/Torino-Stats,Torino,27,38.0,609,405,295,256,58,182,465,39.1,283,380,112,268,421,1030,960,15,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
04eea015,/en/squads/04eea015/2017-2018/Udinese-Stats,Udinese,27,38.0,618,415,321,240,57,224,565,39.6,341,482,154,328,459,1077,992,13,11,2017-2018,d473e4cb-fe1c-4083-8e33-28763bbe5f26
