team_id,team_url,team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,competition_id,season_id,id
922493f3,/en/squads/922493f3/2024-2025/Atalanta-Stats,Atalanta,3,38.0,37,2,0,4,2,41.1,0.29,+6.1,+0.16,133,413,32.2,980,193,27.6,32.3,233,61.4,47.5,363,21,5.8,56,1.47,14.5,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
squads,/en/squads/1d8099f8/Bologna-Stats,Bologna,2,38.0,47,2,0,3,2,40.3,0.37,-4.7,-0.12,171,467,36.6,1386,158,28.6,31.6,187,37.4,35.6,312,29,9.3,32,0.84,13.0,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
squads,/en/squads/c4260e09/Cagliari-Stats,Cagliari,4,38.0,56,6,0,10,0,54.8,0.33,-1.2,-0.03,232,597,38.9,999,165,42.9,35.5,336,50.0,40.7,540,28,5.2,36,0.95,11.8,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
squads,/en/squads/28c9c3cd/Como-Stats,Como,3,38.0,52,7,0,7,0,44.6,0.27,-7.4,-0.19,150,405,37.0,1164,163,32.0,28.6,205,16.1,21.3,433,29,6.7,65,1.71,12.9,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
squads,/en/squads/a3d88bd8/Empoli-Stats,Empoli,3,38.0,59,1,0,7,1,50.1,0.31,-7.9,-0.21,199,654,30.4,944,125,58.3,41.8,328,31.7,28.6,556,37,6.7,20,0.53,12.6,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
squads,/en/squads/421387cf/Fiorentina-Stats,Fiorentina,2,38.0,41,1,0,3,1,40.7,0.27,+0.7,+0.02,226,515,43.9,923,143,40.8,35.8,293,47.1,39.2,498,14,2.8,31,0.84,14.5,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
squads,/en/squads/658bf2de/Genoa-Stats,Genoa,4,38.0,49,6,0,5,3,49.8,0.28,+3.8,+0.10,190,506,37.5,960,142,37.2,42.3,314,47.5,39.7,527,24,4.6,17,0.45,3.3,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
squads,/en/squads/0e72edf2/Hellas-Verona-Stats,Hellas Verona,2,38.0,66,2,0,6,1,53.8,0.31,-11.2,-0.29,217,761,28.5,793,93,60.9,55.4,313,88.8,59.3,544,32,5.9,26,0.68,20.3,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
d609edc0,/en/squads/d609edc0/2024-2025/Internazionale-Stats,Inter,2,38.0,32,3,0,3,1,35.8,0.26,+4.8,+0.13,114,277,41.2,1364,151,17.7,28.6,202,17.8,25.4,437,17,3.9,17,0.46,15.8,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
e0652b02,/en/squads/e0652b02/2024-2025/Juventus-Stats,Juventus,2,38.0,35,5,0,6,0,31.8,0.23,-3.2,-0.09,139,377,36.9,939,156,31.1,29.4,237,35.9,32.2,519,32,6.2,33,0.87,14.0,11,2024-2025,7d1b6cce-70ca-4976-89b8-06c61de2b5f7
